OID_,DEM_Large_S3_Regm2,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
63,-13,-4.406663691150471,20.700113047536480,-13.0409098,1.4174829,26.3175793,4.3966527
64,-13,-4.399207051150471,20.700113047536480,-13.0407896,1.4928087,26.5591564,4.5135293
65,-13,-4.391750411150471,20.700113047536480,-13.0406151,1.5668235,26.7797012,4.6244283
66,-13,-4.384293771150471,20.700113047536480,-13.0403843,1.6352253,26.9799156,4.7271128
67,-13,-4.376837131150471,20.700113047536480,-13.0400982,1.6976434,27.1602173,4.8196878
68,-13,-4.369380491150471,20.700113047536480,-13.0397549,1.7566129,27.3201370,4.9005580
69,-13,-4.361923851150471,20.700113047536480,-13.0393562,1.8123668,27.4589500,4.9684229
70,-13,-4.354467211150471,20.700113047536480,-13.0389032,1.8606964,27.5769539,5.0223465
71,-13,-4.347010571150471,20.700113047536480,-13.0383987,1.8986247,27.6697750,5.0618382
72,-13,-4.339553931150471,20.700113047536480,-13.0378447,1.9251999,27.7350082,5.0868506
73,-13,-4.332097291150471,20.700113047536480,-13.0372429,1.9386721,27.7722092,5.0978198
74,-13,-4.324640651150471,20.700113047536480,-13.0365973,1.9355117,27.7787647,5.0956240
75,-13,-4.317184011150471,20.700113047536480,-13.0359077,1.9191282,27.7535381,5.0814095
76,-13,-4.309727371150471,20.700113047536480,-13.0351744,1.8902251,27.6986122,5.0563669
77,-13,-4.302270731150471,20.700113047536480,-13.0343990,1.8558357,27.6120663,5.0216241
78,-13,-4.294814091150471,20.700113047536480,-13.0335817,1.8130291,27.4932537,4.9784288
79,-13,-4.287357451150471,20.700113047536480,-13.0327234,1.7601213,27.3408337,4.9281125
80,-13,-4.279900811150471,20.700113047536480,-13.0318251,1.6976930,27.1582966,4.8721204
81,-13,-4.272444171150471,20.700113047536480,-13.0308847,1.6376373,26.9481220,4.8119178
82,-13,-4.264987531150471,20.700113047536480,-13.0299034,1.5827577,26.7153549,4.7487226
83,-13,-4.257530891150472,20.700113047536480,-13.0288820,1.5351530,26.4616337,4.6836209
84,-13,-4.250074251150471,20.700113047536480,-13.0278225,1.4950472,26.1923962,4.6175160
85,-13,-4.503600011150471,20.692656407536479,-13.0423946,1.2869501,22.7596416,3.4448733
