OID_,DEM_Large_S3_Regm1b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
113,-12,-2.870595851150472,19.768033047536480,-12.9998302,-0.5667298,9.7822762,0.3790184
114,-12,-2.863139211150472,19.768033047536480,-12.9992247,-0.5643544,9.7685413,0.3535340
115,-12,-2.855682571150472,19.768033047536480,-12.9985828,-0.5499040,9.7569227,0.3247318
116,-12,-2.848225931150472,19.768033047536480,-12.9979048,-0.5250252,9.7394314,0.2930370
117,-12,-2.840769291150472,19.768033047536480,-12.9971952,-0.4991265,9.7131186,0.2591977
118,-12,-2.833312651150472,19.768033047536480,-12.9964542,-0.4795171,9.6861715,0.2248505
119,-12,-2.825856011150472,19.768033047536480,-12.9956827,-0.4688393,9.6615171,0.1920639
120,-12,-2.818399371150472,19.768033047536480,-12.9948816,-0.4627830,9.6476622,0.1630888
121,-12,-2.810942731150472,19.768033047536480,-12.9940491,-0.4620894,9.6518803,0.1396292
122,-12,-2.803486091150472,19.768033047536480,-12.9931831,-0.4522205,9.6790047,0.1228624
123,-12,-2.796029451150472,19.768033047536480,-12.9922829,-0.4262378,9.7210894,0.1129752
124,-12,-2.788572811150472,19.768033047536480,-12.9913511,-0.3805391,9.7623291,0.1094168
125,-13,-3.057011851150472,19.760576407536480,-13.0073061,-0.4939083,9.9997196,0.3832158
126,-13,-3.049555211150472,19.760576407536480,-13.0074587,-0.5357466,10.0966749,0.3833370
127,-13,-3.042098571150472,19.760576407536480,-13.0075550,-0.5501781,10.1929264,0.3806776
128,-13,-3.034641931150472,19.760576407536480,-13.0075951,-0.5382987,10.2865314,0.3740885
129,-13,-3.027185291150472,19.760576407536480,-13.0075808,-0.5057894,10.3739367,0.3629235
130,-13,-3.019728651150472,19.760576407536480,-13.0075159,-0.4615983,10.4477320,0.3474053
131,-13,-3.012272011150471,19.760576407536480,-13.0074062,-0.4115532,10.5074406,0.3289242
132,-13,-3.004815371150471,19.760576407536480,-13.0072584,-0.3595675,10.5467653,0.3102157
133,-13,-2.997358731150472,19.760576407536480,-13.0070772,-0.3063364,10.5645685,0.2951899
134,-13,-2.989902091150472,19.760576407536480,-13.0068684,-0.2543542,10.5603971,0.2876135
135,-13,-2.982445451150472,19.760576407536480,-13.0066385,-0.2096666,10.5329895,0.2895378
136,-13,-2.974988811150472,19.760576407536480,-13.0063925,-0.1780770,10.4834061,0.3002976
