OID_,DEM_Large_S3_Regm2b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1733,-13,-4.190421131150472,20.327281047536481,-13.3009844,-3.5200284,13.4263687,7.7845349
1734,-13,-4.182964491150472,20.327281047536481,-13.2995758,-3.3859997,15.1048651,7.9904385
1735,-13,-4.175507851150472,20.327281047536481,-13.2980280,-3.2500687,16.7104759,8.0923424
1736,-13,-4.168051211150472,20.327281047536481,-13.2963495,-3.1132634,18.2372360,8.0971651
1737,-13,-4.160594571150471,20.327281047536481,-13.2945499,-2.9749238,19.6786671,8.0187912
1738,-13,-4.153137931150471,20.327281047536481,-13.2926378,-2.8385196,21.0243893,7.8760786
1739,-13,-4.145681291150471,20.327281047536481,-13.2906275,-2.7229390,22.2726841,7.6893382
1740,-13,-4.138224651150471,20.327281047536481,-13.2885265,-2.6428447,23.4394569,7.4755521
1741,-13,-4.130768011150471,20.327281047536481,-13.2863407,-2.6021023,24.5475025,7.2451444
1742,-13,-4.123311371150471,20.327281047536481,-13.2840710,-2.5924075,25.6116562,7.0032878
1743,-13,-4.115854731150471,20.327281047536481,-13.2817135,-2.6064293,26.6402397,6.7519193
1744,-13,-4.108398091150471,20.327281047536481,-13.2792606,-2.6295097,27.6379833,6.4902587
1745,-13,-4.100941451150471,20.327281047536481,-13.2767029,-2.6501553,28.6007404,6.2162099
1746,-13,-4.093484811150471,20.327281047536481,-13.2740335,-2.6700459,29.5141888,5.9279251
1747,-13,-4.086028171150472,20.327281047536481,-13.2712460,-2.6981041,30.3773155,5.6246209
1748,-13,-4.078571531150471,20.327281047536481,-13.2683315,-2.7395098,31.1908951,5.3075800
1749,-13,-4.071114891150472,20.327281047536481,-13.2652826,-2.7983706,31.9571743,4.9798331
1750,-13,-4.063658251150472,20.327281047536481,-13.2620888,-2.8717940,32.6845398,4.6454487
1751,-13,-4.056201611150472,20.327281047536481,-13.2587357,-2.9499254,33.3753929,4.3089709
1752,-13,-4.048744971150472,20.327281047536481,-13.2552147,-3.0318444,34.0229988,3.9750221
1753,-13,-4.041288331150472,20.327281047536481,-13.2515144,-3.1136155,34.6420403,3.6491385
1754,-13,-4.033831691150472,20.327281047536481,-13.2476234,-3.1854317,35.2377892,3.3378315
1755,-13,-4.026375051150472,20.327281047536481,-13.2435331,-3.2471151,35.8078690,3.0486345
1756,-13,-4.018918411150472,20.327281047536481,-13.2392397,-3.3024631,36.3690300,2.7899010
1757,-13,-4.011461771150472,20.327281047536481,-13.2347326,-3.3472881,36.9379349,2.5688684
1758,-13,-4.004005131150472,20.327281047536481,-13.2300062,-3.3730230,37.5232468,2.3886247
1759,-13,-3.996548491150472,20.327281047536481,-13.2250528,-3.3728018,38.1367035,2.2457592
1760,-13,-3.989091851150472,20.327281047536481,-13.2198668,-3.3346834,38.7785301,2.1310077
1761,-13,-3.981635211150472,20.327281047536481,-13.2144451,-3.2572410,39.4396858,2.0319448
1762,-13,-4.548339851150471,20.319824407536480,-13.2418547,0.6290577,14.3398542,3.8691742
1763,-13,-4.540883211150471,20.319824407536480,-13.2436657,0.8258563,14.7745399,3.9351652
1764,-13,-4.533426571150471,20.319824407536480,-13.2455997,0.9911616,15.3349676,3.9887223
1765,-13,-4.525969931150471,20.319824407536480,-13.2476606,1.1175609,16.0149822,4.0133224
1766,-13,-4.518513291150471,20.319824407536480,-13.2498465,1.1893497,16.7877731,3.9941466
1767,-13,-4.511056651150471,20.319824407536480,-13.2521534,1.1888077,17.6106930,3.9203734
1768,-13,-4.503600011150471,20.319824407536480,-13.2545719,1.1126448,18.4202652,3.7870419
1769,-13,-4.496143371150471,20.319824407536480,-13.2570868,0.9712728,19.1600666,3.5978162
1770,-13,-4.488686731150471,20.319824407536480,-13.2596750,0.7866322,19.7898579,3.3636177
1771,-13,-4.481230091150471,20.319824407536480,-13.2623148,0.5728129,20.2834835,3.1012566
1772,-13,-4.473773451150471,20.319824407536480,-13.2649803,0.3384264,20.6265602,2.8321388
1773,-13,-4.466316811150471,20.319824407536480,-13.2676458,0.0953131,20.7971573,2.5805864
1774,-13,-4.458860171150471,20.319824407536480,-13.2702856,-0.1459454,20.7976360,2.3705716
1775,-13,-4.451403531150471,20.319824407536480,-13.2728777,-0.3768677,20.6345215,2.2203240
1776,-13,-4.443946891150471,20.319824407536480,-13.2753983,-0.5976540,20.3186550,2.1383300
1777,-13,-4.436490251150471,20.319824407536480,-13.2778301,-0.8004656,19.8650856,2.1202581
1778,-13,-4.429033611150471,20.319824407536480,-13.2801580,-0.9752723,19.2881489,2.1517231
1779,-13,-4.421576971150471,20.319824407536480,-13.2823677,-1.1097085,18.6227036,2.2138407
1780,-13,-4.414120331150471,20.319824407536480,-13.2844553,-1.2059814,17.9072113,2.2878349
1781,-13,-4.406663691150471,20.319824407536480,-13.2864189,-1.2768703,17.1722317,2.3595283
1782,-13,-4.399207051150471,20.319824407536480,-13.2882605,-1.3357486,16.4342251,2.4213982
1783,-13,-4.391750411150471,20.319824407536480,-13.2899847,-1.3858578,15.7043161,2.4719362
1784,-13,-4.384293771150471,20.319824407536480,-13.2915926,-1.4253546,14.9971752,2.5144997
1785,-13,-4.376837131150471,20.319824407536480,-13.2930908,-1.4530789,14.3286209,2.5550699
1786,-13,-4.369380491150471,20.319824407536480,-13.2944841,-1.4770294,13.7058687,2.6010969
1787,-13,-4.361923851150471,20.319824407536480,-13.2957783,-1.4960504,13.1317825,2.6610594
1788,-13,-4.354467211150471,20.319824407536480,-13.2969799,-1.5121409,12.6106424,2.7432308
1789,-13,-4.347010571150471,20.319824407536480,-13.2980957,-1.5324116,12.1446056,2.8547335
1790,-13,-4.339553931150471,20.319824407536480,-13.2991323,-1.5669749,11.7188320,2.9986179
1791,-13,-4.332097291150471,20.319824407536480,-13.3000965,-1.6149153,11.3184700,3.1706772
1792,-13,-4.324640651150471,20.319824407536480,-13.3009911,-1.6748158,10.9266806,3.3582995
1793,-13,-4.317184011150472,20.319824407536480,-13.3018198,-1.7451024,10.5249605,3.5447311
1794,-13,-4.309727371150472,20.319824407536480,-13.3025856,-1.8284374,10.0978613,3.7053273
1795,-13,-4.302270731150472,20.319824407536480,-13.3032904,-1.9352211,9.6226015,3.8233123
1796,-13,-4.294814091150472,20.319824407536480,-13.3039351,-2.0697176,9.0728016,3.8869286
1797,-13,-4.287357451150472,20.319824407536480,-13.3045149,-2.2278185,8.4268713,3.8965490
1798,-13,-4.279900811150472,20.319824407536480,-13.3050241,-2.4070554,7.6745133,3.8641937
1799,-13,-4.272444171150472,20.319824407536480,-13.3054552,-2.5997708,6.7996368,3.8095343
1800,-13,-4.264987531150472,20.319824407536480,-13.3057976,-2.7988603,5.8038144,3.7624688
1801,-13,-4.257530891150472,20.319824407536480,-13.3060408,-2.9975202,4.7007332,3.7615974
1802,-13,-4.250074251150472,20.319824407536480,-13.3061733,-3.1934688,3.5296426,3.8467648
1803,-13,-4.242617611150472,20.319824407536480,-13.3061838,-3.3820477,2.4367263,4.0457530
1804,-13,-4.235160971150472,20.319824407536480,-13.3060608,-3.5544648,1.9379873,4.3620291
1805,-13,-4.227704331150472,20.319824407536480,-13.3057899,-3.6933107,2.6693931,4.7796354
1806,-13,-4.220247691150472,20.319824407536480,-13.3053627,-3.7784700,4.1206317,5.2648683
1807,-13,-4.212791051150472,20.319824407536480,-13.3047714,-3.8031600,5.8115630,5.7808514
1808,-13,-4.205334411150472,20.319824407536480,-13.3040152,-3.7702074,7.5757966,6.2910509
1809,-13,-4.197877771150472,20.319824407536480,-13.3030968,-3.6964562,9.3418274,6.7620797
