OID_,DEM_Large_S3_Clip,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
20293,-12,-2.206954891150472,19.052195607536479,-12.9814301,1.8963785,6.9828644,4.8758354
20294,-12,-2.199498251150472,19.052195607536479,-12.9824448,2.1460164,8.5612621,5.5053015
20295,-12,-2.371000971150472,19.044738967536482,-12.9779148,-0.1201454,1.5496192,0.4004285
20296,-12,-2.363544331150472,19.044738967536482,-12.9779806,-0.1096414,1.4475722,0.3742116
20297,-12,-2.356087691150472,19.044738967536482,-12.9780340,-0.0971718,1.3511580,0.3492620
20298,-12,-2.348631051150472,19.044738967536482,-12.9780760,-0.0832280,1.2597926,0.3263124
20299,-12,-2.341174411150472,19.044738967536482,-12.9781065,-0.0641381,1.1691488,0.3057472
20300,-12,-2.333717771150472,19.044738967536482,-12.9781284,-0.0386761,1.0795405,0.2871418
20301,-12,-2.326261131150472,19.044738967536482,-12.9781427,-0.0095357,0.9865390,0.2689011
20302,-12,-2.318804491150471,19.044738967536482,-12.9781523,0.0183849,0.8895683,0.2486820
20303,-12,-2.311347851150471,19.044738967536482,-12.9781590,0.0468001,0.7866746,0.2236468
20304,-12,-2.303891211150471,19.044738967536482,-12.9781637,0.0779138,0.6794010,0.1975807
20305,-12,-2.296434571150471,19.044738967536482,-12.9781694,0.1220159,0.5711482,0.2028615
20306,-12,-2.288977931150471,19.044738967536482,-12.9781799,0.1835171,0.4716898,0.2863882
20307,-12,-2.281521291150471,19.044738967536482,-12.9782000,0.2619262,0.4103286,0.4475994
20308,-12,-2.274064651150471,19.044738967536482,-12.9782381,0.3533162,0.4566986,0.6705648
20309,-12,-2.266608011150471,19.044738967536482,-12.9783030,0.4554670,0.6512744,0.9487332
20310,-12,-2.259151371150471,19.044738967536482,-12.9784069,0.5644323,0.9698519,1.2801698
20311,-12,-2.251694731150471,19.044738967536482,-12.9785595,0.6845781,1.3934222,1.6630808
20312,-12,-2.244238091150471,19.044738967536482,-12.9787741,0.8246472,1.9212279,2.0934360
20313,-12,-2.236781451150472,19.044738967536482,-12.9790649,0.9903635,2.5786114,2.5646036
20314,-12,-2.229324811150472,19.044738967536482,-12.9794521,1.1812098,3.3842776,3.0720232
20315,-12,-2.221868171150472,19.044738967536482,-12.9799547,1.3945287,4.3575063,3.6160753
20316,-12,-2.214411531150472,19.044738967536482,-12.9805965,1.6273804,5.5196071,4.1964383
20317,-12,-2.206954891150472,19.044738967536482,-12.9814043,1.8691893,6.8784499,4.8071380
20318,-12,-2.199498251150472,19.044738967536482,-12.9824047,2.1224275,8.4306221,5.4389110
20319,-12,-2.371000971150472,19.037282327536481,-12.9777269,-0.0924612,1.5725408,0.4069526
20320,-12,-2.363544331150472,19.037282327536481,-12.9778023,-0.0770581,1.4637038,0.3828561
20321,-12,-2.356087691150472,19.037282327536481,-12.9778652,-0.0604243,1.3583925,0.3587191
20322,-12,-2.348631051150472,19.037282327536481,-12.9779167,-0.0413363,1.2578245,0.3352468
20323,-12,-2.341174411150472,19.037282327536481,-12.9779587,-0.0193057,1.1564863,0.3129870
20324,-12,-2.333717771150472,19.037282327536481,-12.9779911,0.0071379,1.0553983,0.2918621
20325,-12,-2.326261131150472,19.037282327536481,-12.9780178,0.0353009,0.9537522,0.2708431
20326,-12,-2.318804491150471,19.037282327536481,-12.9780397,0.0617539,0.8483810,0.2485707
20327,-12,-2.311347851150471,19.037282327536481,-12.9780598,0.0847814,0.7390323,0.2239863
20328,-12,-2.303891211150471,19.037282327536481,-12.9780798,0.1097712,0.6285343,0.2039095
20329,-12,-2.296434571150471,19.037282327536481,-12.9780998,0.1457883,0.5210248,0.2194939
20330,-12,-2.288977931150471,19.037282327536481,-12.9781256,0.2011632,0.4354815,0.3057674
20331,-12,-2.281521291150471,19.037282327536481,-12.9781599,0.2695234,0.4147764,0.4610777
20332,-12,-2.274064651150471,19.037282327536481,-12.9782124,0.3515964,0.5106421,0.6741037
20333,-12,-2.266608011150471,19.037282327536481,-12.9782906,0.4436932,0.7257767,0.9405220
20334,-12,-2.259151371150471,19.037282327536481,-12.9784040,0.5445652,1.0437160,1.2595369
20335,-12,-2.251694731150471,19.037282327536481,-12.9785652,0.6580953,1.4499211,1.6300224
20336,-12,-2.244238091150471,19.037282327536481,-12.9787855,0.7937660,1.9574682,2.0489674
20337,-12,-2.236781451150472,19.037282327536481,-12.9790792,0.9560886,2.5894046,2.5108263
