OID_,DEM_Large_S3_Clip6b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
170,-13,-5.100131211150471,18.753930007536479,-13.2219515,0.2265329,6.4248819,1.0480031
171,-13,-5.092674571150471,18.753930007536479,-13.2218122,0.2248625,6.4450555,1.0528045
172,-13,-5.085217931150471,18.753930007536479,-13.2216558,0.2188583,6.4817896,1.0557426
173,-13,-5.077761291150471,18.753930007536479,-13.2214804,0.2123818,6.5322371,1.0581686
174,-13,-5.070304651150471,18.753930007536479,-13.2212858,0.2052101,6.5974665,1.0614831
175,-13,-5.062848011150471,18.753930007536479,-13.2210712,0.1959095,6.6800547,1.0671371
176,-13,-5.055391371150471,18.753930007536479,-13.2208347,0.1851943,6.7807217,1.0764140
177,-13,-5.047934731150471,18.753930007536479,-13.2205763,0.1764337,6.8968711,1.0904615
178,-13,-5.040478091150471,18.753930007536479,-13.2202921,0.1681574,7.0259972,1.1103299
179,-13,-5.033021451150471,18.753930007536479,-13.2199812,0.1603465,7.1644983,1.1369923
180,-13,-5.025564811150471,18.753930007536479,-13.2196417,0.1522592,7.3104572,1.1710677
181,-13,-5.018108171150471,18.753930007536479,-13.2192698,0.1513066,7.4626341,1.2125738
182,-13,-5.010651531150471,18.753930007536479,-13.2188644,0.1581706,7.6166282,1.2608328
183,-13,-5.003194891150471,18.753930007536479,-13.2184219,0.1699224,7.7705536,1.3143159
184,-13,-4.995738251150471,18.753930007536479,-13.2179413,0.1867535,7.9209538,1.3713120
185,-13,-4.988281611150471,18.753930007536479,-13.2174215,0.2143953,8.0655155,1.4301311
186,-13,-4.980824971150471,18.753930007536479,-13.2168608,0.2580876,8.2002754,1.4893143
187,-13,-4.973368331150471,18.753930007536479,-13.2162609,0.3202731,8.3176060,1.5481857
188,-13,-4.965911691150471,18.753930007536479,-13.2156239,0.4012966,8.4061136,1.6065086
189,-13,-4.958455051150471,18.753930007536479,-13.2149563,0.4903378,8.4569111,1.6643846
190,-13,-4.950998411150471,18.753930007536479,-13.2142639,0.5860639,8.4731998,1.7222263
191,-13,-4.943541771150471,18.753930007536479,-13.2135534,0.6883746,8.4494295,1.7805420
192,-13,-4.936085131150471,18.753930007536479,-13.2128344,0.7962186,8.3803959,1.8398652
