OID_,DEM_Large_S3_Regm8c,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
60,-13,-5.323830411150471,20.506240407536477,-13.2119741,-0.4151202,22.3711777,1.5662168
61,-13,-5.316373771150471,20.506240407536477,-13.2120028,-0.3903645,22.8784256,1.5653311
62,-13,-5.308917131150471,20.506240407536477,-13.2119942,-0.3720791,23.3785572,1.5519636
63,-13,-5.301460491150471,20.506240407536477,-13.2119503,-0.3544166,23.8689251,1.5275204
64,-13,-5.294003851150471,20.506240407536477,-13.2118721,-0.3342438,24.3446426,1.4937934
65,-13,-5.286547211150471,20.506240407536477,-13.2117615,-0.3098753,24.8016644,1.4528317
66,-13,-5.279090571150471,20.506240407536477,-13.2116222,-0.2848620,25.2383175,1.4067459
67,-13,-5.271633931150471,20.506240407536477,-13.2114582,-0.2676190,25.6538124,1.3576931
68,-13,-5.264177291150471,20.506240407536477,-13.2112722,-0.2598146,26.0482807,1.3078449
69,-13,-5.256720651150471,20.506240407536477,-13.2110653,-0.2583820,26.4203186,1.2593529
70,-13,-5.249264011150471,20.506240407536477,-13.2108383,-0.2633157,26.7738018,1.2141277
71,-13,-5.241807371150471,20.506240407536477,-13.2105904,-0.2720498,27.1099377,1.1736605
72,-13,-5.234350731150471,20.506240407536477,-13.2103205,-0.2859390,27.4323673,1.1388215
73,-13,-5.226894091150471,20.506240407536477,-13.2100267,-0.3095536,27.7435226,1.1096445
74,-13,-5.219437451150471,20.506240407536477,-13.2097073,-0.3441917,28.0481281,1.0853723
75,-13,-5.211980811150471,20.506240407536477,-13.2093554,-0.3840339,28.3492146,1.0647695
76,-13,-5.204524171150471,20.506240407536477,-13.2089643,-0.4236851,28.6487198,1.0463607
77,-13,-5.197067531150471,20.506240407536477,-13.2085276,-0.4560125,28.9471684,1.0284973
78,-13,-5.189610891150471,20.506240407536477,-13.2080374,-0.4758612,29.2429504,1.0095336
79,-13,-5.182154251150471,20.506240407536477,-13.2074909,-0.4818776,29.5326099,0.9879355
80,-13,-5.174697611150471,20.506240407536477,-13.2068853,-0.4811150,29.8128300,0.9624315
81,-13,-5.167240971150471,20.506240407536477,-13.2062206,-0.4765435,30.0817623,0.9321608
82,-13,-5.159784331150471,20.506240407536477,-13.2054939,-0.4687172,30.3368435,0.8968077
83,-13,-5.152327691150471,20.506240407536477,-13.2047062,-0.4524517,30.5738239,0.8567665
84,-13,-5.144871051150471,20.506240407536477,-13.2038574,-0.4271017,30.7901287,0.8129650
85,-13,-5.137414411150471,20.506240407536477,-13.2029514,-0.3952391,30.9819469,0.7666795
86,-13,-5.129957771150471,20.506240407536477,-13.2019920,-0.3608505,31.1464081,0.7192673
87,-13,-5.122501131150471,20.506240407536477,-13.2009850,-0.3276548,31.2805634,0.6722153
88,-13,-5.115044491150471,20.506240407536477,-13.1999350,-0.3002244,31.3887920,0.6272460
89,-13,-5.107587851150472,20.506240407536477,-13.1988487,-0.2836192,31.4727097,0.5861400
90,-13,-5.100131211150471,20.506240407536477,-13.1977291,-0.2747083,31.5352306,0.5505092
91,-13,-5.092674571150472,20.506240407536477,-13.1965780,-0.2713255,31.5803967,0.5215788
92,-13,-5.085217931150471,20.506240407536477,-13.1953993,-0.2716787,31.6076698,0.5001829
93,-13,-5.331287051150471,20.498783767536477,-13.2148895,-0.5042579,21.7580032,1.5583725
94,-13,-5.323830411150471,20.498783767536477,-13.2150345,-0.4775153,22.2626534,1.5715117
95,-13,-5.316373771150471,20.498783767536477,-13.2151413,-0.4590759,22.7647781,1.5715455
96,-13,-5.308917131150471,20.498783767536477,-13.2152090,-0.4466750,23.2613583,1.5596008
97,-13,-5.301460491150471,20.498783767536477,-13.2152405,-0.4338308,23.7470150,1.5370754
98,-13,-5.294003851150471,20.498783767536477,-13.2152357,-0.4172149,24.2183495,1.5057249
99,-13,-5.286547211150471,20.498783767536477,-13.2151966,-0.3939812,24.6722698,1.4676095
100,-13,-5.279090571150471,20.498783767536477,-13.2151251,-0.3685201,25.1060104,1.4248706
101,-13,-5.271633931150471,20.498783767536477,-13.2150269,-0.3501867,25.5192242,1.3796433
102,-13,-5.264177291150471,20.498783767536477,-13.2149029,-0.3407558,25.9099674,1.3340893
103,-13,-5.256720651150471,20.498783767536477,-13.2147551,-0.3363112,26.2803268,1.2903730
104,-13,-5.249264011150471,20.498783767536477,-13.2145834,-0.3373090,26.6297245,1.2504627
105,-13,-5.241807371150471,20.498783767536477,-13.2143888,-0.3427118,26.9644070,1.2159379
106,-13,-5.234350731150471,20.498783767536477,-13.2141705,-0.3539990,27.2833767,1.1877712
107,-13,-5.226894091150471,20.498783767536477,-13.2139263,-0.3758303,27.5912266,1.1661317
108,-13,-5.219437451150471,20.498783767536477,-13.2136555,-0.4102425,27.8913631,1.1503316
109,-13,-5.211980811150471,20.498783767536477,-13.2133503,-0.4523359,28.1880112,1.1390749
110,-13,-5.204524171150471,20.498783767536477,-13.2130060,-0.4972147,28.4823418,1.1307847
111,-13,-5.197067531150471,20.498783767536477,-13.2126141,-0.5371690,28.7775154,1.1236889
112,-13,-5.189610891150471,20.498783767536477,-13.2121677,-0.5651826,29.0705929,1.1159438
113,-13,-5.182154251150471,20.498783767536477,-13.2116642,-0.5807880,29.3596382,1.1057560
114,-13,-5.174697611150471,20.498783767536477,-13.2110996,-0.5901807,29.6414642,1.0915562
115,-13,-5.167240971150471,20.498783767536477,-13.2104721,-0.5961141,29.9139767,1.0721792
116,-13,-5.159784331150471,20.498783767536477,-13.2097807,-0.5973568,30.1732483,1.0469733
117,-13,-5.152327691150471,20.498783767536477,-13.2090244,-0.5885914,30.4183445,1.0159992
118,-13,-5.144871051150471,20.498783767536477,-13.2082043,-0.5693906,30.6431980,0.9799265
119,-13,-5.137414411150471,20.498783767536477,-13.2073212,-0.5411373,30.8428364,0.9398067
120,-13,-5.129957771150471,20.498783767536477,-13.2063808,-0.5073373,31.0157318,0.8967874
121,-13,-5.122501131150471,20.498783767536477,-13.2053890,-0.4718540,31.1608620,0.8521976
122,-13,-5.115044491150471,20.498783767536477,-13.2043495,-0.4403374,31.2774143,0.8076760
123,-13,-5.107587851150472,20.498783767536477,-13.2032700,-0.4169132,31.3666458,0.7648944
124,-13,-5.100131211150471,20.498783767536477,-13.2021542,-0.3995050,31.4335136,0.7254044
125,-13,-5.092674571150472,20.498783767536477,-13.2010031,-0.3871965,31.4791565,0.6905136
126,-13,-5.085217931150471,20.498783767536477,-13.1998215,-0.3762368,31.5046673,0.6612453
127,-13,-5.077761291150471,20.498783767536477,-13.1986122,-0.3683495,31.5138302,0.6383465
128,-13,-5.070304651150471,20.498783767536477,-13.1973763,-0.3611947,31.5071774,0.6221761
129,-13,-5.346200331150471,20.491327127536476,-13.2172728,-0.6086274,20.6465778,1.4956459
130,-13,-5.338743691150471,20.491327127536476,-13.2175827,-0.5867292,21.1284790,1.5371031
131,-13,-5.331287051150471,20.491327127536476,-13.2178478,-0.5604588,21.6209850,1.5641310
132,-13,-5.323830411150471,20.491327127536476,-13.2180719,-0.5414250,22.1180820,1.5778450
133,-13,-5.316373771150471,20.491327127536476,-13.2182560,-0.5288035,22.6144485,1.5792198
134,-13,-5.308917131150471,20.491327127536476,-13.2184019,-0.5212853,23.1040039,1.5693973
135,-13,-5.301460491150471,20.491327127536476,-13.2185087,-0.5137972,23.5843449,1.5497222
136,-13,-5.294003851150471,20.491327127536476,-13.2185774,-0.5011800,24.0510750,1.5218672
137,-13,-5.286547211150471,20.491327127536476,-13.2186089,-0.4801854,24.5007076,1.4878412
138,-13,-5.279090571150471,20.491327127536476,-13.2186050,-0.4567669,24.9318504,1.4497561
139,-13,-5.271633931150471,20.491327127536476,-13.2185717,-0.4388024,25.3414497,1.4096959
140,-13,-5.264177291150471,20.491327127536476,-13.2185097,-0.4278706,25.7302570,1.3697119
141,-13,-5.256720651150471,20.491327127536476,-13.2184200,-0.4220742,26.0981560,1.3319530
