OID_,DEM_Large_S3_Clip5,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
5461,-13,-5.033021451150472,17.106012567536478,-13.0030355,-1.1313039,23.7597485,2.1263087
5462,-13,-5.025564811150472,17.106012567536478,-13.0034103,-1.1428789,23.7437496,2.1562009
5463,-13,-5.018108171150472,17.106012567536478,-13.0037518,-1.1590936,23.7182884,2.1825864
5464,-13,-5.010651531150472,17.106012567536478,-13.0040598,-1.1831863,23.6845455,2.2050097
5465,-13,-5.003194891150472,17.106012567536478,-13.0043316,-1.2094109,23.6488667,2.2229271
5466,-13,-4.995738251150472,17.106012567536478,-13.0045633,-1.2327447,23.6156368,2.2357953
5467,-13,-4.988281611150472,17.106012567536478,-13.0047522,-1.2537084,23.5902061,2.2430546
5468,-13,-4.980824971150472,17.106012567536478,-13.0048962,-1.2746723,23.5742207,2.2442329
5469,-13,-4.973368331150472,17.106012567536478,-13.0049906,-1.2872180,23.5706253,2.2390723
5470,-13,-4.965911691150472,17.106012567536478,-13.0050335,-1.2850808,23.5743561,2.2275095
5471,-13,-4.958455051150472,17.106012567536478,-13.0050230,-1.2706656,23.5842190,2.2096691
5472,-13,-4.950998411150472,17.106012567536478,-13.0049601,-1.2449653,23.5985947,2.1858966
5473,-13,-4.943541771150472,17.106012567536478,-13.0048475,-1.2095978,23.6140785,2.1567166
5474,-13,-4.936085131150472,17.106012567536478,-13.0046873,-1.1710470,23.6247387,2.1228981
5475,-13,-4.928628491150472,17.106012567536478,-13.0044832,-1.1310415,23.6305714,2.0855899
5476,-13,-4.921171851150472,17.106012567536478,-13.0042372,-1.0906979,23.6284313,2.0462894
5477,-13,-4.913715211150472,17.106012567536478,-13.0039539,-1.0509881,23.6111565,2.0066283
5478,-13,-4.906258571150472,17.106012567536478,-13.0036373,-1.0161225,23.5771427,1.9681576
5479,-13,-4.898801931150473,17.106012567536478,-13.0032892,-0.9839687,23.5244446,1.9321175
5480,-13,-4.891345291150473,17.106012567536478,-13.0029125,-0.9661645,23.4501381,1.8992970
5481,-13,-4.883888651150473,17.106012567536478,-13.0025110,-0.9648464,23.3563614,1.8700210
5482,-13,-4.876432011150473,17.106012567536478,-13.0020828,-0.9825943,23.2482243,1.8442508
5483,-13,-4.868975371150473,17.106012567536478,-13.0016251,-1.0114837,23.1275539,1.8216387
5484,-13,-4.861518731150473,17.106012567536478,-13.0011339,-1.0431563,22.9988594,1.8014911
5485,-13,-4.854062091150473,17.106012567536478,-13.0006046,-1.0679005,22.8617191,1.7827919
5486,-13,-4.846605451150473,17.106012567536478,-13.0000343,-1.0869334,22.7132359,1.7643971
5487,-12,-4.839148811150473,17.106012567536478,-12.9994221,-1.1032493,22.5534725,1.7450727
5488,-12,-4.831692171150473,17.106012567536478,-12.9987669,-1.1216520,22.3819733,1.7235986
5489,-12,-4.824235531150473,17.106012567536478,-12.9980659,-1.1413063,22.2052402,1.6990660
5490,-12,-4.816778891150473,17.106012567536478,-12.9973183,-1.1558745,22.0255699,1.6707547
5491,-12,-4.809322251150473,17.106012567536478,-12.9965200,-1.1611797,21.8445740,1.6380905
5492,-12,-4.801865611150473,17.106012567536478,-12.9956732,-1.1544526,21.6641464,1.6006570
5493,-12,-4.794408971150473,17.106012567536478,-12.9947758,-1.1366969,21.4825058,1.5581430
5494,-12,-4.786952331150473,17.106012567536478,-12.9938297,-1.1146177,21.2974911,1.5105486
5495,-12,-4.779495691150473,17.106012567536478,-12.9928389,-1.0942218,21.1140995,1.4582331
5496,-12,-4.772039051150473,17.106012567536478,-12.9918032,-1.0769007,20.9339218,1.4019910
5497,-12,-4.764582411150473,17.106012567536478,-12.9907236,-1.0646939,20.7636013,1.3430023
5498,-12,-4.757125771150473,17.106012567536478,-12.9895992,-1.0478634,20.6106110,1.2828326
5499,-12,-4.749669131150473,17.106012567536478,-12.9884300,-1.0167912,20.4731617,1.2234491
5500,-12,-4.742212491150473,17.106012567536478,-12.9872160,-0.9672998,20.3442383,1.1668856
5501,-12,-4.734755851150473,17.106012567536478,-12.9859610,-0.9056248,20.2177505,1.1154221
5502,-12,-4.727299211150473,17.106012567536478,-12.9846725,-0.8303857,20.0898266,1.0711733
5503,-12,-4.719842571150473,17.106012567536478,-12.9833536,-0.7472121,19.9527397,1.0359256
5504,-12,-4.712385931150473,17.106012567536478,-12.9820147,-0.6571698,19.8025761,1.0110183
5505,-12,-4.704929291150473,17.106012567536478,-12.9806623,-0.5577889,19.6405888,0.9966833
5506,-12,-4.697472651150473,17.106012567536478,-12.9793062,-0.4477685,19.4565659,0.9916216
5507,-12,-5.241807371150472,17.098555927536481,-12.9731894,-0.9106265,22.4206963,0.8314940
5508,-12,-5.234350731150472,17.098555927536481,-12.9747953,-0.9136755,22.3390598,0.8626704
5509,-12,-5.226894091150472,17.098555927536481,-12.9763460,-0.9177811,22.2697010,0.8940396
5510,-12,-5.219437451150472,17.098555927536481,-12.9778433,-0.9225487,22.2175007,0.9251765
5511,-12,-5.211980811150472,17.098555927536481,-12.9792891,-0.9266664,22.1837597,0.9560148
5512,-12,-5.204524171150472,17.098555927536481,-12.9806833,-0.9317076,22.1696949,0.9869147
5513,-12,-5.197067531150472,17.098555927536481,-12.9820290,-0.9364427,22.1793346,1.0187457
5514,-12,-5.189610891150472,17.098555927536481,-12.9833250,-0.9452021,22.2098312,1.0524669
5515,-12,-5.182154251150472,17.098555927536481,-12.9845734,-0.9613320,22.2612801,1.0888075
5516,-12,-5.174697611150472,17.098555927536481,-12.9857721,-0.9823906,22.3316135,1.1281295
5517,-12,-5.167240971150472,17.098555927536481,-12.9869213,-1.0059562,22.4187317,1.1704487
5518,-12,-5.159784331150472,17.098555927536481,-12.9880171,-1.0198134,22.5207272,1.2155418
5519,-12,-5.152327691150472,17.098555927536481,-12.9890594,-1.0247006,22.6416092,1.2629128
5520,-12,-5.144871051150472,17.098555927536481,-12.9900494,-1.0218242,22.7809982,1.3120712
5521,-12,-5.137414411150472,17.098555927536481,-12.9909897,-1.0220034,22.9309635,1.3624996
5522,-12,-5.129957771150472,17.098555927536481,-12.9918814,-1.0231240,23.0899448,1.4135462
5523,-12,-5.122501131150472,17.098555927536481,-12.9927254,-1.0279043,23.2533150,1.4644986
5524,-12,-5.115044491150472,17.098555927536481,-12.9935236,-1.0337850,23.4170876,1.5146043
5525,-12,-5.107587851150472,17.098555927536481,-12.9942760,-1.0374707,23.5775223,1.5633445
5526,-12,-5.100131211150472,17.098555927536481,-12.9949827,-1.0354351,23.7332287,1.6105068
5527,-12,-5.092674571150472,17.098555927536481,-12.9956474,-1.0250523,23.8803635,1.6560345
5528,-12,-5.085217931150472,17.098555927536481,-12.9962711,-1.0127230,24.0162449,1.7000604
5529,-12,-5.077761291150472,17.098555927536481,-12.9968586,-1.0034349,24.1367912,1.7428093
5530,-12,-5.070304651150472,17.098555927536481,-12.9974127,-1.0017753,24.2369404,1.7845088
5531,-12,-5.062848011150472,17.098555927536481,-12.9979353,-1.0039748,24.3152084,1.8253425
5532,-12,-5.055391371150472,17.098555927536481,-12.9984264,-1.0104586,24.3740330,1.8653641
5533,-12,-5.047934731150472,17.098555927536481,-12.9988880,-1.0198524,24.4119587,1.9044369
5534,-12,-5.040478091150472,17.098555927536481,-12.9993200,-1.0298634,24.4338360,1.9422301
5535,-12,-5.033021451150472,17.098555927536481,-12.9997215,-1.0406241,24.4418697,1.9781879
5536,-13,-5.025564811150472,17.098555927536481,-13.0000944,-1.0582345,24.4368858,2.0116000
5537,-13,-5.018108171150472,17.098555927536481,-13.0004368,-1.0823129,24.4179649,2.0417278
5538,-13,-5.010651531150472,17.098555927536481,-13.0007458,-1.1128477,24.3928947,2.0677869
5539,-13,-5.003194891150472,17.098555927536481,-13.0010195,-1.1452944,24.3623295,2.0889575
5540,-13,-4.995738251150472,17.098555927536481,-13.0012541,-1.1756059,24.3324890,2.1044838
5541,-13,-4.988281611150472,17.098555927536481,-13.0014439,-1.1995810,24.3076382,2.1137125
5542,-13,-4.980824971150472,17.098555927536481,-13.0015879,-1.2205453,24.2925301,2.1161110
5543,-13,-4.973368331150472,17.098555927536481,-13.0016823,-1.2305492,24.2840099,2.1113772
5544,-13,-4.965911691150472,17.098555927536481,-13.0017242,-1.2269213,24.2810917,2.0995054
5545,-13,-4.958455051150472,17.098555927536481,-13.0017128,-1.2095532,24.2816257,2.0807891
5546,-13,-4.950998411150472,17.098555927536481,-13.0016508,-1.1809511,24.2827835,2.0558121
5547,-13,-4.943541771150472,17.098555927536481,-13.0015383,-1.1435648,24.2815380,2.0254016
5548,-13,-4.936085131150472,17.098555927536481,-13.0013800,-1.1035244,24.2766171,1.9906560
5549,-13,-4.928628491150472,17.098555927536481,-13.0011778,-1.0604913,24.2664223,1.9530355
5550,-13,-4.921171851150472,17.098555927536481,-13.0009375,-1.0157231,24.2460289,1.9142559
5551,-13,-4.913715211150472,17.098555927536481,-13.0006609,-0.9735174,24.2141762,1.8760415
5552,-13,-4.906258571150472,17.098555927536481,-13.0003529,-0.9365746,24.1660175,1.8399757
5553,-13,-4.898801931150473,17.098555927536481,-13.0000172,-0.9046258,24.0998096,1.8072715
5554,-12,-4.891345291150473,17.098555927536481,-12.9996557,-0.8875184,24.0149841,1.7786977
5555,-12,-4.883888651150473,17.098555927536481,-12.9992723,-0.8893003,23.9143543,1.7545643
5556,-12,-4.876432011150473,17.098555927536481,-12.9988651,-0.9091216,23.8012028,1.7347989
5557,-12,-4.868975371150473,17.098555927536481,-12.9984303,-0.9391997,23.6797066,1.7190167
5558,-12,-4.861518731150473,17.098555927536481,-12.9979649,-0.9717420,23.5509453,1.7064406
5559,-12,-4.854062091150473,17.098555927536481,-12.9974632,-0.9978185,23.4129601,1.6959130
5560,-12,-4.846605451150473,17.098555927536481,-12.9969234,-1.0170039,23.2640705,1.6861433
5561,-12,-4.839148811150473,17.098555927536481,-12.9963446,-1.0362396,23.1013393,1.6757621
5562,-12,-4.831692171150473,17.098555927536481,-12.9957247,-1.0595580,22.9265842,1.6634690
5563,-12,-4.824235531150473,17.098555927536481,-12.9950628,-1.0850803,22.7431660,1.6482495
5564,-12,-4.816778891150473,17.098555927536481,-12.9943552,-1.1049963,22.5546188,1.6292027
5565,-12,-4.809322251150473,17.098555927536481,-12.9935999,-1.1154768,22.3626766,1.6055801
5566,-12,-4.801865611150473,17.098555927536481,-12.9927959,-1.1139508,22.1678410,1.5767568
5567,-12,-4.794408971150473,17.098555927536481,-12.9919434,-1.1015288,21.9686813,1.5421625
5568,-12,-4.786952331150473,17.098555927536481,-12.9910440,-1.0837116,21.7666187,1.5015732
5569,-12,-4.779495691150473,17.098555927536481,-12.9900990,-1.0683174,21.5609360,1.4552732
5570,-12,-4.772039051150473,17.098555927536481,-12.9891109,-1.0584747,21.3594894,1.4041247
5571,-12,-4.764582411150473,17.098555927536481,-12.9880781,-1.0517815,21.1696529,1.3493993
5572,-12,-4.757125771150473,17.098555927536481,-12.9869995,-1.0389380,20.9951935,1.2928430
5573,-12,-4.749669131150473,17.098555927536481,-12.9858742,-1.0124682,20.8343334,1.2366308
5574,-12,-4.742212491150473,17.098555927536481,-12.9847031,-0.9680523,20.6844711,1.1829386
5575,-12,-4.734755851150473,17.098555927536481,-12.9834909,-0.9095783,20.5378094,1.1342324
5576,-12,-4.727299211150473,17.098555927536481,-12.9822416,-0.8380505,20.3894653,1.0927908
5577,-12,-4.719842571150473,17.098555927536481,-12.9809618,-0.7607177,20.2331905,1.0604699
5578,-12,-4.712385931150473,17.098555927536481,-12.9796600,-0.6768710,20.0675907,1.0386076
5579,-12,-4.704929291150473,17.098555927536481,-12.9783421,-0.5847221,19.8899231,1.0273153
5580,-12,-5.234350731150472,17.091099287536480,-12.9721384,-0.8615481,22.5989704,0.7497063
5581,-12,-5.226894091150472,17.091099287536480,-12.9736691,-0.8729887,22.5450401,0.7895277
5582,-12,-5.219437451150472,17.091099287536480,-12.9751444,-0.8844358,22.5059795,0.8288106
5583,-12,-5.211980811150472,17.091099287536480,-12.9765682,-0.8944117,22.4829044,0.8671495
5584,-12,-5.204524171150472,17.091099287536480,-12.9779387,-0.9045500,22.4779053,0.9046049
5585,-12,-5.197067531150472,17.091099287536480,-12.9792576,-0.9126430,22.4943733,0.9416760
5586,-12,-5.189610891150472,17.091099287536480,-12.9805250,-0.9237899,22.5324936,0.9790789
5587,-12,-5.182154251150472,17.091099287536480,-12.9817419,-0.9384556,22.5936337,1.0173937
5588,-12,-5.174697611150472,17.091099287536480,-12.9829082,-0.9575375,22.6713314,1.0569273
5589,-12,-5.167240971150472,17.091099287536480,-12.9840212,-0.9763416,22.7674408,1.0976501
5590,-12,-5.159784331150472,17.091099287536480,-12.9850788,-0.9839786,22.8801842,1.1393437
5591,-12,-5.152327691150472,17.091099287536480,-12.9860821,-0.9789541,23.0138912,1.1816757
5592,-12,-5.144871051150472,17.091099287536480,-12.9870329,-0.9675708,23.1655197,1.2242942
5593,-12,-5.137414411150472,17.091099287536480,-12.9879322,-0.9589671,23.3311272,1.2669084
5594,-12,-5.129957771150472,17.091099287536480,-12.9887838,-0.9516379,23.5049744,1.3091509
5595,-12,-5.122501131150472,17.091099287536480,-12.9895887,-0.9469544,23.6837368,1.3505968
5596,-12,-5.115044491150472,17.091099287536480,-12.9903479,-0.9451175,23.8638744,1.3908720
5597,-12,-5.107587851150472,17.091099287536480,-12.9910631,-0.9397553,24.0408726,1.4298327
5598,-12,-5.100131211150472,17.091099287536480,-12.9917345,-0.9290423,24.2120171,1.4676478
5599,-12,-5.092674571150472,17.091099287536480,-12.9923658,-0.9115229,24.3765984,1.5046359
5600,-12,-5.085217931150472,17.091099287536480,-12.9929600,-0.8939636,24.5287228,1.5412291
5601,-12,-5.077761291150472,17.091099287536480,-12.9935217,-0.8806467,24.6652451,1.5779155
5602,-12,-5.070304651150472,17.091099287536480,-12.9940529,-0.8784716,24.7804585,1.6151190
5603,-12,-5.062848011150472,17.091099287536480,-12.9945574,-0.8834957,24.8745499,1.6531206
5604,-12,-5.055391371150472,17.091099287536480,-12.9950352,-0.8938739,24.9459610,1.6919842
5605,-12,-5.047934731150472,17.091099287536480,-12.9954853,-0.9081244,24.9996319,1.7314707
5606,-12,-5.040478091150472,17.091099287536480,-12.9959087,-0.9234050,25.0348969,1.7710899
5607,-12,-5.033021451150472,17.091099287536480,-12.9963055,-0.9401110,25.0561943,1.8100287
5608,-12,-5.025564811150472,17.091099287536480,-12.9966745,-0.9637392,25.0630722,1.8472394
5609,-12,-5.018108171150472,17.091099287536480,-12.9970150,-0.9958584,25.0576172,1.8816105
5610,-12,-5.010651531150472,17.091099287536480,-12.9973249,-1.0336711,25.0419464,1.9119833
5611,-12,-5.003194891150472,17.091099287536480,-12.9976006,-1.0741528,25.0208054,1.9372660
5612,-12,-4.995738251150472,17.091099287536480,-12.9978352,-1.1107343,24.9966030,1.9565010
5613,-12,-4.988281611150472,17.091099287536480,-12.9980268,-1.1395328,24.9761963,1.9688948
5614,-12,-4.980824971150472,17.091099287536480,-12.9981718,-1.1604179,24.9610081,1.9738657
5615,-12,-4.973368331150472,17.091099287536480,-12.9982653,-1.1707385,24.9498463,1.9711193
5616,-12,-4.965911691150472,17.091099287536480,-12.9983072,-1.1652112,24.9427433,1.9606923
5617,-12,-4.958455051150472,17.091099287536480,-12.9982977,-1.1466980,24.9348125,1.9429419
5618,-12,-4.950998411150472,17.091099287536480,-12.9982367,-1.1176569,24.9234638,1.9186082
5619,-12,-4.943541771150472,17.091099287536480,-12.9981270,-1.0800663,24.9078293,1.8887724
5620,-12,-4.936085131150472,17.091099287536480,-12.9979725,-1.0385107,24.8871746,1.8547795
5621,-12,-4.928628491150472,17.091099287536480,-12.9977770,-0.9944822,24.8572903,1.8183064
5622,-12,-4.921171851150472,17.091099287536480,-12.9975424,-0.9472510,24.8192310,1.7811989
5623,-12,-4.913715211150472,17.091099287536480,-12.9972754,-0.9015153,24.7694893,1.7452077
5624,-12,-4.906258571150472,17.091099287536480,-12.9969788,-0.8632419,24.7062397,1.7118989
5625,-12,-4.898801931150473,17.091099287536480,-12.9966564,-0.8317456,24.6267757,1.6824363
5626,-12,-4.891345291150473,17.091099287536480,-12.9963121,-0.8140866,24.5328026,1.6575522
5627,-12,-4.883888651150473,17.091099287536480,-12.9959478,-0.8167642,24.4263668,1.6375929
5628,-12,-4.876432011150473,17.091099287536480,-12.9955606,-0.8372853,24.3118591,1.6225607
5629,-12,-4.868975371150473,17.091099287536480,-12.9951496,-0.8668268,24.1895599,1.6121118
5630,-12,-4.861518731150473,17.091099287536480,-12.9947081,-0.8983724,24.0608063,1.6054404
5631,-12,-4.854062091150473,17.091099287536480,-12.9942331,-0.9224652,23.9247341,1.6013750
5632,-12,-4.846605451150473,17.091099287536480,-12.9937229,-0.9408990,23.7760582,1.5986105
5633,-12,-4.839148811150473,17.091099287536480,-12.9931765,-0.9614490,23.6141224,1.5957204
5634,-12,-4.831692171150473,17.091099287536480,-12.9925919,-0.9870084,23.4392395,1.5913769
5635,-12,-4.824235531150473,17.091099287536480,-12.9919682,-1.0148522,23.2542477,1.5844955
5636,-12,-4.816778891150473,17.091099287536480,-12.9913006,-1.0398681,23.0591927,1.5740517
5637,-12,-4.809322251150473,17.091099287536480,-12.9905882,-1.0546745,22.8587112,1.5591476
5638,-12,-4.801865611150473,17.091099287536480,-12.9898281,-1.0577497,22.6518860,1.5389272
5639,-12,-4.794408971150473,17.091099287536480,-12.9890213,-1.0509528,22.4384136,1.5125618
5640,-12,-4.786952331150473,17.091099287536480,-12.9881697,-1.0394384,22.2172756,1.4796294
5641,-12,-4.779495691150473,17.091099287536480,-12.9872732,-1.0321462,21.9933624,1.4403056
5642,-12,-4.772039051150473,17.091099287536480,-12.9863329,-1.0297678,21.7738457,1.3954206
5643,-12,-4.764582411150473,17.091099287536480,-12.9853487,-1.0294223,21.5631142,1.3462715
5644,-12,-4.757125771150473,17.091099287536480,-12.9843187,-1.0233296,21.3674889,1.2947378
5645,-12,-4.749669131150473,17.091099287536480,-12.9832401,-1.0033206,21.1873817,1.2431123
5646,-12,-4.742212491150473,17.091099287536480,-12.9821157,-0.9625445,21.0164700,1.1936526
5647,-12,-4.734755851150473,17.091099287536480,-12.9809475,-0.9086199,20.8497562,1.1489295
5648,-12,-4.727299211150473,17.091099287536480,-12.9797411,-0.8430955,20.6837177,1.1112688
5649,-12,-4.719842571150473,17.091099287536480,-12.9785023,-0.7708452,20.5121479,1.0825472
5650,-12,-4.712385931150473,17.091099287536480,-12.9772396,-0.6920257,20.3307095,1.0640163
5651,-12,-5.211980811150472,17.083642647536479,-12.9737873,-0.8587440,22.7475300,0.7762012
5652,-12,-5.204524171150472,17.083642647536479,-12.9751320,-0.8729397,22.7548943,0.8194865
5653,-12,-5.197067531150472,17.083642647536479,-12.9764223,-0.8838183,22.7823792,0.8611755
5654,-12,-5.189610891150472,17.083642647536479,-12.9776602,-0.8969057,22.8298645,0.9016693
5655,-12,-5.182154251150472,17.083642647536479,-12.9788456,-0.9106499,22.8971119,0.9413437
5656,-12,-5.174697611150472,17.083642647536479,-12.9799767,-0.9268326,22.9839001,0.9804208
5657,-12,-5.167240971150472,17.083642647536479,-12.9810524,-0.9402020,23.0874023,1.0188581
5658,-12,-5.159784331150472,17.083642647536479,-12.9820728,-0.9413261,23.2086582,1.0564610
5659,-12,-5.152327691150472,17.083642647536479,-12.9830351,-0.9284542,23.3495922,1.0930953
5660,-12,-5.144871051150472,17.083642647536479,-12.9839449,-0.9075887,23.5115795,1.1286288
5661,-12,-5.137414411150472,17.083642647536479,-12.9848022,-0.8896819,23.6877670,1.1629827
5662,-12,-5.129957771150472,17.083642647536479,-12.9856129,-0.8738344,23.8730297,1.1960510
5663,-12,-5.122501131150472,17.083642647536479,-12.9863768,-0.8607054,24.0619907,1.2276787
5664,-12,-5.115044491150472,17.083642647536479,-12.9870958,-0.8499460,24.2530880,1.2578140
5665,-12,-5.107587851150472,17.083642647536479,-12.9877729,-0.8362026,24.4405003,1.2866877
5666,-12,-5.100131211150472,17.083642647536479,-12.9884081,-0.8176336,24.6237297,1.3148383
5667,-12,-5.092674571150472,17.083642647536479,-12.9890051,-0.7938441,24.7989216,1.3429172
5668,-12,-5.085217931150472,17.083642647536479,-12.9895678,-0.7711551,24.9635677,1.3716582
5669,-12,-5.077761291150472,17.083642647536479,-12.9901018,-0.7545130,25.1134415,1.4017879
5670,-12,-5.070304651150472,17.083642647536479,-12.9906101,-0.7528116,25.2446880,1.4338820
5671,-12,-5.062848011150472,17.083642647536479,-12.9910946,-0.7609776,25.3536186,1.4683517
5672,-12,-5.055391371150472,17.083642647536479,-12.9915552,-0.7760934,25.4419899,1.5053445
5673,-12,-5.047934731150472,17.083642647536479,-12.9919930,-0.7949021,25.5117607,1.5445895
5674,-12,-5.040478091150472,17.083642647536479,-12.9924068,-0.8160469,25.5638256,1.5854802
5675,-12,-5.033021451150472,17.083642647536479,-12.9927950,-0.8385295,25.5998974,1.6269739
