OID_,ClipsFinal_DEM_Large_S3_RegN,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
59,-12,-3.049555211150471,23.048954647536480,-12.7608538,-0.0042149,8.2644625,-0.0147184,-0.0280870,4.0000000,-0.0299761,1.0383725,15.6294222,-0.0261978,0.0379174
60,-12,-3.042098571150471,23.048954647536480,-12.7622175,-0.0028099,12.3966942,-0.0146459,-0.0406141,4.0000000,-0.0352607,1.0384691,15.6508398,-0.0459674,0.0416796
61,-12,-3.034641931150471,23.048954647536480,-12.7635880,-0.0014876,17.3553715,-0.0137818,-0.0560958,4.0000000,-0.0433297,1.0385683,15.6699839,-0.0688619,0.0464878
62,-12,-3.027185291150471,23.048954647536480,-12.7649622,-0.0001653,23.1404953,-0.0116379,-0.0726456,4.0000000,-0.0541434,1.0386586,15.6869488,-0.0911478,0.0512251
63,-12,-3.019728651150471,23.048954647536480,-12.7663403,0.0011570,29.7520657,-0.0096210,-0.0892282,4.0000000,-0.0640727,1.0387269,15.7005167,-0.1143837,0.0587435
64,-12,-3.012272011150471,23.048954647536480,-12.7677202,0.0024793,36.3636360,-0.0064766,-0.1065004,4.0000000,-0.0743634,1.0387908,15.7141895,-0.1386373,0.0667894
65,-12,-3.004815371150471,23.048954647536480,-12.7691031,0.0038843,43.8016510,-0.0022308,-0.1246496,4.0000000,-0.0863521,1.0388455,15.7233572,-0.1629471,0.0760062
66,-12,-2.997358731150471,23.048954647536480,-12.7704849,-0.0046281,8.2644625,0.0036895,-0.1450817,4.0000000,-0.1002985,1.0388668,15.7286739,-0.1898648,0.0873277
67,-12,-2.989902091150471,23.048954647536480,-12.7718668,-0.0031405,12.3966942,0.0098590,-0.1652274,4.0000000,-0.1156078,1.0388713,15.7302361,-0.2148470,0.1015258
68,-12,-2.982445451150471,23.048954647536480,-12.7732468,-0.0017355,17.3553715,0.0178450,-0.1867483,4.0000000,-0.1321300,1.0388551,15.7264643,-0.2413666,0.1175515
69,-12,-2.974988811150471,23.048954647536480,-12.7746229,-0.0004132,22.3140488,0.0285642,-0.2114473,4.0000000,-0.1520773,1.0388061,15.7171507,-0.2708174,0.1376170
70,-12,-2.967532171150471,23.048954647536480,-12.7759933,0.0009091,28.0991745,0.0397875,-0.2354209,4.0000000,-0.1730725,1.0387125,15.6986856,-0.2977693,0.1606546
71,-12,-2.960075531150471,23.048954647536480,-12.7773571,0.0022314,34.7107430,0.0526123,-0.2596262,4.0000000,-0.1946525,1.0385921,15.6758127,-0.3245998,0.1858331
72,-12,-2.952618891150470,23.048954647536480,-12.7787123,0.0035537,42.1487617,0.0673586,-0.2846831,4.0000000,-0.2194545,1.0384289,15.6437845,-0.3499118,0.2143773
73,-12,-2.945162251150471,23.048954647536480,-12.7800560,-0.0051240,6.6115704,0.0850307,-0.3118035,4.0000000,-0.2470167,1.0382168,15.6009741,-0.3765903,0.2478848
74,-12,-2.937705611150471,23.048954647536480,-12.7813873,-0.0038017,9.9173555,0.1022877,-0.3369221,4.0000000,-0.2725768,1.0379626,15.5513115,-0.4012674,0.2828747
75,-12,-2.922792331150471,23.048954647536480,-12.7840052,-0.0010744,19.0082645,0.1444378,-0.3912660,4.0000000,-0.3321976,1.0373173,15.4234638,-0.4503343,0.3677131
76,-12,-2.915335691150471,23.048954647536480,-12.7852869,0.0000826,23.9669418,0.1686401,-0.4193752,4.0000000,-0.3651504,1.0369295,15.3452263,-0.4736001,0.4169031
77,-12,-2.907879051150471,23.048954647536480,-12.7865486,0.0011570,29.7520657,0.1930405,-0.4461327,4.0000000,-0.3987661,1.0364952,15.2564564,-0.4934994,0.4675270
78,-12,-2.900422411150471,23.048954647536480,-12.7877865,0.0023140,36.3636360,0.2180370,-0.4722610,4.0000000,-0.4328244,1.0360082,15.1577139,-0.5116976,0.5206552
79,-12,-2.892965771150471,23.048954647536480,-12.7890015,0.0035537,42.9752083,0.2424426,-0.4966238,4.0000000,-0.4660416,1.0354812,15.0503874,-0.5272060,0.5733280
80,-12,-2.885509131150471,23.048954647536480,-12.7901897,-0.0052066,4.9586778,0.2700317,-0.5228289,4.0000000,-0.5039195,1.0349076,14.9317198,-0.5417383,0.6331984
81,-12,-2.878052491150471,23.048954647536480,-12.7913494,-0.0040496,7.4380164,0.2965372,-0.5473338,4.0000000,-0.5398135,1.0342885,14.8024187,-0.5548542,0.6929916
82,-12,-2.870595851150471,23.048954647536480,-12.7924795,-0.0028926,10.7438021,0.3216572,-0.5700926,4.0000000,-0.5748886,1.0336341,14.6635303,-0.5652965,0.7521694
83,-12,-2.863139211150471,23.048954647536480,-12.7935791,-0.0016529,14.8760328,0.3441497,-0.5901904,4.0000000,-0.6078401,1.0329430,14.5167484,-0.5725405,0.8074536
84,-12,-2.855682571150471,23.048954647536480,-12.7946453,-0.0005785,19.0082645,0.3662562,-0.6099441,4.0000000,-0.6405441,1.0322176,14.3600883,-0.5793442,0.8650038
85,-12,-2.848225931150471,23.048954647536480,-12.7956781,0.0004132,23.9669418,0.3858558,-0.6277043,4.0000000,-0.6721897,1.0314711,14.1960535,-0.5832189,0.9201483
86,-12,-3.295624331150471,23.041498007536479,-12.7220926,-0.0027273,9.9173555,-0.1107268,0.0952668,4.0000000,0.4408874,1.0291679,13.6791325,-0.2503537,0.2981857
87,-12,-3.288167691150471,23.041498007536479,-12.7231512,-0.0016529,14.0495872,-0.0970524,0.0906659,4.0000000,0.4143999,1.0299009,13.8454885,-0.2330681,0.2636376
88,-12,-3.280711051150471,23.041498007536479,-12.7242231,-0.0006612,18.1818180,-0.0835683,0.0870801,4.0000000,0.3879164,1.0305960,14.0018845,-0.2137563,0.2303289
89,-12,-3.273254411150471,23.041498007536479,-12.7253084,0.0003306,23.1404953,-0.0714618,0.0833028,4.0000000,0.3618398,1.0312570,14.1489830,-0.1952343,0.1998993
90,-12,-3.265797771150471,23.041498007536479,-12.7264061,0.0013223,28.9256191,-0.0599319,0.0793824,4.0000000,0.3347180,1.0318735,14.2846880,-0.1759533,0.1705869
91,-12,-3.258341131150471,23.041498007536479,-12.7275152,0.0024793,35.5371895,-0.0497343,0.0761876,4.0000000,0.3088748,1.0324541,14.4104118,-0.1564995,0.1448563
92,-12,-3.250884491150471,23.041498007536479,-12.7286358,0.0036364,42.1487617,-0.0406750,0.0732583,4.0000000,0.2835299,1.0330063,14.5292845,-0.1370134,0.1218960
93,-12,-3.243427851150471,23.041498007536479,-12.7297688,0.0047934,48.7603302,-0.0324308,0.0699370,4.0000000,0.2572549,1.0335096,14.6360931,-0.1173809,0.1004814
94,-12,-3.146491531150470,23.041498007536479,-12.7453775,0.0004132,25.6198349,-0.0129094,0.0339220,4.0000000,0.0153376,1.0369229,15.3421078,0.0525064,0.0349710
95,-12,-3.139034891150470,23.041498007536479,-12.7466402,0.0015702,31.4049587,-0.0144813,0.0289426,4.0000000,0.0031489,1.0370251,15.3632193,0.0547364,0.0371337
96,-12,-3.131578251150470,23.041498007536479,-12.7479115,0.0028099,38.0165291,-0.0163944,0.0227379,4.0000000,-0.0077678,1.0371161,15.3805866,0.0532436,0.0401063
97,-12,-3.124121611150471,23.041498007536479,-12.7491913,0.0041322,45.4545441,-0.0181493,0.0178353,4.0000000,-0.0155646,1.0372019,15.3978853,0.0512352,0.0432935
98,-12,-3.116664971150471,23.041498007536479,-12.7504797,-0.0044628,8.2644625,-0.0201162,0.0117576,4.0000000,-0.0234614,1.0372890,15.4149694,0.0469767,0.0470906
99,-12,-3.109208331150471,23.041498007536479,-12.7517757,-0.0031405,11.5702477,-0.0215720,0.0047373,4.0000000,-0.0313581,1.0373657,15.4296951,0.0408327,0.0500217
100,-12,-3.101751691150471,23.041498007536479,-12.7530804,-0.0019008,15.7024794,-0.0231428,-0.0023073,4.0000000,-0.0385558,1.0374370,15.4449339,0.0339413,0.0536833
101,-12,-3.094295051150471,23.041498007536479,-12.7543926,-0.0006612,20.6611576,-0.0244440,-0.0087137,4.0000000,-0.0438592,1.0375104,15.4597998,0.0264317,0.0571179
102,-12,-3.086838411150471,23.041498007536479,-12.7557135,0.0005785,26.4462814,-0.0253705,-0.0169814,4.0000000,-0.0498414,1.0375917,15.4752321,0.0158787,0.0603549
103,-12,-3.079381771150471,23.041498007536479,-12.7570419,0.0018182,33.0578499,-0.0257283,-0.0259563,4.0000000,-0.0557777,1.0376754,15.4922543,0.0038652,0.0630678
104,-12,-3.071925131150471,23.041498007536479,-12.7583780,0.0031405,40.4958687,-0.0262621,-0.0352382,4.0000000,-0.0598289,1.0377557,15.5074329,-0.0106474,0.0669942
105,-12,-3.064468491150471,23.041498007536479,-12.7597208,0.0045455,48.7603302,-0.0265841,-0.0449560,4.0000000,-0.0647331,1.0378437,15.5248022,-0.0251790,0.0713930
106,-12,-3.057011851150471,23.041498007536479,-12.7610712,-0.0040496,8.2644625,-0.0261736,-0.0560489,4.0000000,-0.0706394,1.0379275,15.5423775,-0.0414584,0.0756485
107,-12,-3.049555211150471,23.041498007536479,-12.7624283,-0.0026446,12.3966942,-0.0253913,-0.0680216,4.0000000,-0.0781534,1.0380024,15.5585556,-0.0578898,0.0807194
108,-12,-3.042098571150471,23.041498007536479,-12.7637911,-0.0013223,17.3553715,-0.0244557,-0.0813780,4.0000000,-0.0864176,1.0380913,15.5749073,-0.0763384,0.0877582
109,-12,-3.034641931150471,23.041498007536479,-12.7651596,-0.0000826,23.1404953,-0.0224093,-0.0956617,4.0000000,-0.0950388,1.0381762,15.5904732,-0.0962847,0.0946342
110,-12,-3.027185291150471,23.041498007536479,-12.7665339,0.0012397,29.7520657,-0.0187384,-0.1124643,4.0000000,-0.1055817,1.0382395,15.6046352,-0.1193470,0.1021581
111,-12,-3.019728651150471,23.041498007536479,-12.7679110,0.0026446,37.1900826,-0.0156551,-0.1286165,4.0000000,-0.1146866,1.0382876,15.6146078,-0.1425464,0.1127848
112,-12,-3.012272011150471,23.041498007536479,-12.7692909,0.0040496,44.6280975,-0.0109749,-0.1463494,4.0000000,-0.1255945,1.0383371,15.6231680,-0.1671042,0.1241920
113,-12,-3.004815371150471,23.041498007536479,-12.7706738,-0.0044628,8.2644625,-0.0044988,-0.1649660,4.0000000,-0.1379865,1.0383707,15.6314335,-0.1919455,0.1356505
114,-12,-2.997358731150471,23.041498007536479,-12.7720575,-0.0029752,12.3966942,0.0038991,-0.1860523,4.0000000,-0.1538953,1.0383717,15.6313152,-0.2182093,0.1500587
115,-12,-2.989902091150471,23.041498007536479,-12.7734394,-0.0015702,17.3553715,0.0124976,-0.2071223,4.0000000,-0.1703751,1.0383561,15.6280947,-0.2438695,0.1680677
116,-12,-2.982445451150471,23.041498007536479,-12.7748203,-0.0002479,23.1404953,0.0224468,-0.2284110,4.0000000,-0.1876372,1.0383121,15.6192703,-0.2691847,0.1874893
117,-12,-2.974988811150471,23.041498007536479,-12.7761984,0.0010744,28.9256191,0.0364002,-0.2540424,4.0000000,-0.2089715,1.0382293,15.6043558,-0.2991133,0.2118278
118,-12,-2.967532171150471,23.041498007536479,-12.7775707,0.0023967,35.5371895,0.0508083,-0.2792011,4.0000000,-0.2311361,1.0381085,15.5800800,-0.3272662,0.2400012
119,-12,-2.960075531150471,23.041498007536479,-12.7789354,0.0038017,42.9752083,0.0671389,-0.3048693,4.0000000,-0.2531919,1.0379544,15.5482979,-0.3565466,0.2708564
120,-12,-2.952618891150470,23.041498007536479,-12.7802925,-0.0047934,7.4380164,0.0848238,-0.3300061,4.0000000,-0.2776056,1.0377569,15.5112267,-0.3824065,0.3032736
121,-12,-2.945162251150471,23.041498007536479,-12.7816381,-0.0034711,10.7438021,0.1061233,-0.3576824,4.0000000,-0.3051247,1.0375116,15.4615602,-0.4102401,0.3414754
122,-12,-2.937705611150471,23.041498007536479,-12.7829714,-0.0021488,14.8760328,0.1268981,-0.3833436,4.0000000,-0.3312225,1.0372244,15.4037189,-0.4354647,0.3807999
123,-12,-2.930248971150471,23.041498007536479,-12.7842894,-0.0008264,19.8347111,0.1503573,-0.4101162,4.0000000,-0.3608731,1.0368905,15.3371029,-0.4593593,0.4244052
124,-12,-2.922792331150471,23.041498007536479,-12.7855911,0.0004132,25.6198349,0.1768019,-0.4390239,4.0000000,-0.3924814,1.0365062,15.2599411,-0.4855663,0.4761852
125,-12,-2.915335691150471,23.041498007536479,-12.7868738,0.0015702,31.4049587,0.2037784,-0.4668244,4.0000000,-0.4247288,1.0360726,15.1706848,-0.5089200,0.5297421
126,-12,-2.907879051150471,23.041498007536479,-12.7881365,0.0027273,38.0165291,0.2318660,-0.4944550,4.0000000,-0.4578412,1.0355871,15.0714245,-0.5310689,0.5870411
127,-12,-2.900422411150471,23.041498007536479,-12.7893753,0.0039669,45.4545441,0.2600713,-0.5210053,4.0000000,-0.4911918,1.0350513,14.9610043,-0.5508189,0.6458736
128,-12,-2.892965771150471,23.041498007536479,-12.7905884,-0.0047934,5.7851238,0.2894741,-0.5476213,4.0000000,-0.5257879,1.0344763,14.8412113,-0.5694546,0.7086845
129,-12,-2.885509131150471,23.041498007536479,-12.7917757,-0.0035537,9.0909090,0.3196243,-0.5735618,4.0000000,-0.5626615,1.0338598,14.7125750,-0.5844621,0.7729330
130,-12,-2.878052491150471,23.041498007536479,-12.7929344,-0.0023967,12.3966942,0.3493445,-0.5987213,4.0000000,-0.5990735,1.0331961,14.5698013,-0.5983692,0.8396782
131,-12,-2.870595851150471,23.041498007536479,-12.7940617,-0.0012397,16.5289249,0.3751131,-0.6203371,4.0000000,-0.6316055,1.0324936,14.4185829,-0.6090688,0.9006373
132,-12,-2.863139211150471,23.041498007536479,-12.7951574,-0.0000826,21.4876041,0.4011548,-0.6418187,4.0000000,-0.6643964,1.0317599,14.2599726,-0.6192410,0.9641064
133,-12,-2.855682571150471,23.041498007536479,-12.7962198,0.0009091,26.4462814,0.4257444,-0.6620035,4.0000000,-0.6971831,1.0309944,14.0916033,-0.6268237,1.0269928
134,-12,-2.848225931150471,23.041498007536479,-12.7972469,0.0019008,32.2314034,0.4471448,-0.6799964,4.0000000,-0.7277293,1.0302067,13.9153938,-0.6322636,1.0867491
135,-12,-3.303080971150471,23.034041367536481,-12.7225056,-0.0023140,10.7438021,-0.1409372,0.0511729,4.0000000,0.4267965,1.0286776,13.5656767,-0.3244506,0.3327726
136,-12,-3.295624331150471,23.034041367536481,-12.7235708,-0.0013223,14.8760328,-0.1261590,0.0465702,4.0000000,0.4010358,1.0294223,13.7368135,-0.3078953,0.2979082
137,-12,-3.288167691150471,23.034041367536481,-12.7246475,-0.0002479,19.8347111,-0.1121097,0.0413412,4.0000000,0.3743730,1.0301315,13.8989887,-0.2916905,0.2643558
138,-12,-3.280711051150471,23.034041367536481,-12.7257366,0.0007438,24.7933884,-0.0978735,0.0364622,4.0000000,0.3462140,1.0308074,14.0491028,-0.2732896,0.2305400
139,-12,-3.273254411150471,23.034041367536481,-12.7268372,0.0018182,30.5785122,-0.0850755,0.0327640,4.0000000,0.3200977,1.0314432,14.1901340,-0.2545699,0.2004717
140,-12,-3.265797771150471,23.034041367536481,-12.7279491,0.0028926,37.1900826,-0.0731535,0.0282090,4.0000000,0.2927593,1.0320386,14.3209753,-0.2363412,0.1720699
141,-12,-3.258341131150471,23.034041367536481,-12.7290716,0.0041322,44.6280975,-0.0624414,0.0239366,4.0000000,0.2656383,1.0325977,14.4416304,-0.2177652,0.1465706
142,-12,-3.250884491150471,23.034041367536481,-12.7302046,-0.0047107,5.7851238,-0.0528055,0.0208553,4.0000000,0.2397622,1.0331175,14.5527315,-0.1980516,0.1238997
143,-12,-3.243427851150471,23.034041367536481,-12.7313471,-0.0035537,9.0909090,-0.0444804,0.0180320,4.0000000,0.2145151,1.0335870,14.6534567,-0.1784512,0.1042907
144,-12,-3.235971211150471,23.034041367536481,-12.7324991,-0.0023967,12.3966942,-0.0372620,0.0154709,4.0000000,0.1895904,1.0340222,14.7451963,-0.1586487,0.0872829
145,-12,-3.228514571150471,23.034041367536481,-12.7336607,-0.0012397,16.5289249,-0.0314272,0.0112937,4.0000000,0.1643666,1.0344214,14.8291626,-0.1417792,0.0732199
146,-12,-3.161404811150470,23.034041367536481,-12.7444916,-0.0004959,20.6611576,-0.0210471,-0.0099029,4.0000000,-0.0070607,1.0364615,15.2488499,-0.0127451,0.0490272
147,-12,-3.153948171150470,23.034041367536481,-12.7457352,0.0006612,26.4462814,-0.0229427,-0.0127430,4.0000000,-0.0196059,1.0365655,15.2692556,-0.0058801,0.0537597
148,-12,-3.146491531150470,23.034041367536481,-12.7469864,0.0019008,33.0578499,-0.0253394,-0.0151749,4.0000000,-0.0303451,1.0366559,15.2884264,-0.0000047,0.0596786
