OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
41,-13,-5.428223371150471,20.670286487536480,-13.1358738,0.0006612,36.3636360,-0.2106999,-0.4420590,4.0000000,-0.8679918,1.0830214,22.5877151,-0.0161261,1.8348788
42,-13,-5.420766731150471,20.670286487536480,-13.1365957,0.0014876,38.8429756,-0.2049560,-0.4403552,4.0000000,-0.9108886,1.0827336,22.5508423,0.0301783,1.8261652
43,-13,-5.413310091150471,20.670286487536480,-13.1372452,0.0021488,40.4958687,-0.2042525,-0.4360288,4.0000000,-0.9457973,1.0824111,22.5088959,0.0737397,1.8147540
44,-13,-5.405853451150471,20.670286487536480,-13.1378202,0.0027273,42.1487617,-0.2091551,-0.4274143,4.0000000,-0.9705495,1.0820634,22.4645290,0.1157209,1.7936878
45,-13,-5.398396811150471,20.670286487536480,-13.1383228,0.0032231,42.9752083,-0.2178642,-0.4157457,4.0000000,-0.9864002,1.0817046,22.4179668,0.1549089,1.7653575
46,-13,-5.390940171150472,20.670286487536480,-13.1387520,0.0035537,43.8016510,-0.2311453,-0.4015192,4.0000000,-0.9950273,1.0813428,22.3715000,0.1919889,1.7361146
47,-13,-5.383483531150471,20.670286487536480,-13.1391096,0.0038843,44.6280975,-0.2480006,-0.3841059,4.0000000,-0.9957525,1.0809829,22.3246689,0.2275407,1.7014489
48,-13,-5.376026891150472,20.670286487536480,-13.1393948,0.0041322,45.4545441,-0.2689784,-0.3657987,4.0000000,-0.9933775,1.0806339,22.2784786,0.2617801,1.6761556
49,-13,-5.368570251150472,20.670286487536480,-13.1396112,0.0042975,45.4545441,-0.2907079,-0.3445157,4.0000000,-0.9828081,1.0802922,22.2336769,0.2937766,1.6416656
50,-13,-5.361113611150472,20.670286487536480,-13.1397572,0.0043802,45.4545441,-0.3123648,-0.3210087,4.0000000,-0.9655239,1.0799606,22.1922035,0.3235065,1.6014835
