OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
40,-13,-4.347010571150471,20.573350167536478,-13.1609497,-0.0061157,38.8429756,3.0598178,-2.2015445,4.0000000,-0.8887710,1.6016217,51.3766823,-3.5143182,45.8915443
41,-13,-4.339553931150471,20.573350167536478,-13.1603737,-0.0061983,38.8429756,2.1243737,-1.9417732,4.0000000,-0.6702538,1.5998044,51.3206367,-3.2132926,34.3604355
42,-13,-4.332097291150471,20.573350167536478,-13.1596594,0.0032231,49.5867767,2.2183661,-1.7936996,4.0000000,-0.7963153,1.5983416,51.2917747,-2.7910838,30.5778904
43,-13,-4.324640651150471,20.573350167536478,-13.1587801,0.0023967,48.7603302,2.2636888,-1.6243422,4.0000000,-1.0156674,1.6000679,51.3446236,-2.2330170,30.2045746
44,-13,-4.317184011150471,20.573350167536478,-13.1576414,0.0012397,47.1074371,1.6771854,-1.3433741,4.0000000,-1.0747379,1.6066148,51.5320816,-1.6120104,27.3852768
45,-13,-4.309727371150471,20.573350167536478,-13.1562672,-0.0002479,45.4545441,0.7815195,-0.9712988,4.0000000,-0.9564630,1.6167352,51.8214073,-0.9861346,21.1634178
46,-13,-4.302270731150471,20.573350167536478,-13.1546888,-0.0016529,43.8016510,-0.0223895,-0.5249211,4.0000000,-0.6160983,1.6290683,52.1764450,-0.4337439,11.7338552
47,-13,-4.294814091150471,20.573350167536478,-13.1529484,-0.0030579,42.1487617,-0.4387583,-0.1401785,4.0000000,-0.2585157,1.6400001,52.4595337,-0.0218414,7.7550974
48,-13,-4.287357451150471,20.573350167536478,-13.1512547,-0.0043802,41.3223152,-0.6334450,0.1269839,4.0000000,0.0493017,1.6491598,52.6941719,0.2046660,9.7023115
49,-13,-4.279900811150471,20.573350167536478,-13.1495924,0.0040496,49.5867767,-0.8304478,0.1445742,4.0000000,-0.0139834,1.6590838,52.9372940,0.3031318,12.7811871
50,-13,-4.272444171150471,20.573350167536478,-13.1480894,0.0022314,47.9338837,-1.0499479,0.0029653,4.0000000,-0.2886084,1.6737554,53.3207703,0.2945390,17.2354240
51,-13,-4.264987531150471,20.573350167536478,-13.1465120,0.0004132,46.2809906,-1.0324360,-0.2597995,4.0000000,-0.7452866,1.6947572,53.8461685,0.2256878,27.5895081
52,-13,-4.257530891150471,20.573350167536478,-13.1448059,-0.0014050,44.6280975,-0.8065988,-0.3930562,4.0000000,-0.9410075,1.7188669,54.4580727,0.1548951,34.5966797
53,-13,-4.250074251150471,20.573350167536478,-13.1428385,-0.0036364,42.9752083,-0.4480074,-0.4541118,4.0000000,-0.9939029,1.7433045,55.0624580,0.0856792,34.7720222
54,-13,-4.242617611150471,20.573350167536478,-13.1406479,-0.0061157,40.4958687,-0.1771665,-0.4713835,4.0000000,-0.9713010,1.7662905,55.5976334,0.0285339,31.9366302
55,-13,-4.235160971150471,20.573350167536478,-13.1381779,0.0017355,47.9338837,0.0008552,-0.4314831,4.0000000,-0.8379727,1.7877113,56.0923347,-0.0249935,23.7152786
56,-13,-4.227704331150471,20.573350167536478,-13.1354074,-0.0008264,45.4545441,0.0323409,-0.3208321,4.0000000,-0.5679901,1.8034778,56.4497643,-0.0736742,11.5428352
57,-13,-4.220247691150471,20.573350167536478,-13.1324978,-0.0034711,42.9752083,-0.1220486,-0.3036966,4.0000000,-0.4554621,1.8098656,56.5873146,-0.1519310,11.6760044
58,-13,-4.436490251150471,20.565893527536478,-13.1514521,-0.0034711,40.4958687,-4.0179553,0.8623853,4.0000000,-0.0648612,1.6927938,53.7325134,1.7896316,72.9772186
59,-13,-4.429033611150471,20.565893527536478,-13.1546774,-0.0007438,43.8016510,-3.4055717,0.6759260,4.0000000,-0.4893210,1.7030509,53.9999771,1.8411729,57.5841446
60,-13,-4.421576971150471,20.565893527536478,-13.1576376,0.0016529,46.2809906,-3.0328887,0.4435861,4.0000000,-0.9141570,1.7019446,53.9622726,1.8013291,52.6713943
61,-13,-4.414120331150471,20.565893527536478,-13.1602831,-0.0058678,39.6694221,-2.0594642,0.2656698,4.0000000,-1.0629209,1.6936184,53.7433319,1.5942606,39.6383362
62,-13,-4.406663691150471,20.565893527536478,-13.1625805,-0.0037190,42.1487617,-1.1036164,0.0941640,4.0000000,-0.9604335,1.6826726,53.4460716,1.1487615,24.3931732
63,-13,-4.399207051150471,20.565893527536478,-13.1646957,-0.0016529,44.6280975,-0.7906068,-0.2559682,4.0000000,-1.0938030,1.6680720,53.0938950,0.5818666,28.8237801
64,-13,-4.391750411150471,20.565893527536478,-13.1666565,-0.0001653,46.2809906,-0.3291666,-0.8022192,4.0000000,-1.5236635,1.6466727,52.5248642,-0.0807748,52.3871994
65,-13,-4.384293771150471,20.565893527536478,-13.1682129,0.0011570,47.1074371,0.9608589,-1.3854822,4.0000000,-1.8671361,1.6216019,51.8186874,-0.9038281,74.5777893
66,-13,-4.376837131150471,20.565893527536478,-13.1693344,0.0023967,47.9338837,2.1631918,-1.7391165,4.0000000,-1.7739882,1.5996398,51.1667213,-1.7042449,70.2813568
67,-13,-4.369380491150471,20.565893527536478,-13.1700382,-0.0071074,36.3636360,3.6650331,-2.0955098,4.0000000,-1.7847399,1.5830307,50.6691856,-2.4062798,71.3587799
68,-13,-4.361923851150471,20.565893527536478,-13.1704216,-0.0068595,36.3636360,4.8238950,-2.3588483,5.0000000,-1.7562652,1.5714955,50.3431816,-2.9614317,71.7356262
69,-13,-4.354467211150471,20.565893527536478,-13.1703501,-0.0068595,36.3636360,4.6488314,-2.3878658,4.0000000,-1.4523302,1.5647650,50.1731644,-3.3234012,59.5987396
70,-13,-4.347010571150471,20.565893527536478,-13.1699791,0.0030579,47.9338837,3.1003084,-2.1873832,4.0000000,-0.9053331,1.5618585,50.1065636,-3.4694333,41.5193787
71,-13,-4.339553931150471,20.565893527536478,-13.1694059,0.0029752,47.9338837,2.2701993,-2.0492139,4.0000000,-0.6603833,1.5619609,50.1202126,-3.4380445,35.0309486
72,-13,-4.332097291150471,20.565893527536478,-13.1687002,0.0023967,47.9338837,2.3743391,-1.9899964,4.0000000,-0.7454241,1.5648159,50.1949654,-3.2345688,34.0394173
73,-13,-4.324640651150471,20.565893527536478,-13.1678362,0.0015702,47.1074371,2.5583804,-1.9077184,4.0000000,-0.9428095,1.5709649,50.3962440,-2.8726273,35.3681450
74,-13,-4.317184011150471,20.565893527536478,-13.1667719,0.0004132,45.4545441,2.1747026,-1.7394779,4.0000000,-1.0253516,1.5814973,50.7441216,-2.4536042,35.6657791
75,-13,-4.309727371150471,20.565893527536478,-13.1654711,-0.0009917,43.8016510,1.3922471,-1.4974310,4.0000000,-0.9537510,1.5956966,51.2096252,-2.0411110,32.8618164
76,-13,-4.302270731150471,20.565893527536478,-13.1640100,-0.0023140,42.9752083,0.3337707,-1.1511263,4.0000000,-0.6342688,1.6123072,51.7037315,-1.6679837,24.1644993
77,-13,-4.294814091150471,20.565893527536478,-13.1623898,-0.0036364,42.1487617,-0.5139690,-0.8233553,4.0000000,-0.2610539,1.6280595,52.1421432,-1.3856567,18.7200947
78,-13,-4.287357451150471,20.565893527536478,-13.1608076,-0.0048760,41.3223152,-1.1295624,-0.5651723,4.0000000,0.0920630,1.6413059,52.5048981,-1.2224076,19.0168972
79,-13,-4.279900811150471,20.565893527536478,-13.1592712,0.0036364,49.5867767,-1.2112024,-0.5217637,4.0000000,0.0903691,1.6530659,52.8124580,-1.1338966,20.3012276
80,-13,-4.272444171150471,20.565893527536478,-13.1579094,0.0018182,47.9338837,-0.8804432,-0.6752537,4.0000000,-0.2060053,1.6668688,53.1892052,-1.1445023,21.8864422
81,-13,-4.264987531150471,20.565893527536478,-13.1565285,0.0000826,46.2809906,-0.0665211,-0.9813859,4.0000000,-0.7277828,1.6856651,53.6781578,-1.2349890,32.2968445
82,-13,-4.257530891150471,20.565893527536478,-13.1550188,-0.0016529,44.6280975,0.5635055,-1.1823485,4.0000000,-0.9918052,1.7075315,54.2228661,-1.3728917,43.8130150
83,-13,-4.250074251150471,20.565893527536478,-13.1532202,-0.0038017,42.9752083,1.2759387,-1.3671227,4.0000000,-1.1020529,1.7295548,54.7583313,-1.6321924,50.3357277
84,-13,-4.242617611150471,20.565893527536478,-13.1511927,-0.0061983,40.4958687,1.8305120,-1.5220460,4.0000000,-1.1195474,1.7503085,55.2509041,-1.9245447,54.0939865
85,-13,-4.235160971150471,20.565893527536478,-13.1488590,0.0017355,47.9338837,2.0644538,-1.6016335,4.0000000,-1.0217307,1.7697012,55.7044029,-2.1815364,50.8733292
86,-13,-4.227704331150471,20.565893527536478,-13.1462145,-0.0009091,45.4545441,1.8306797,-1.5828491,4.0000000,-0.7995894,1.7851043,56.0321465,-2.3661089,40.2055550
