OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
51,-12,-5.554986251150471,22.504619927536478,-12.7784510,0.0031405,45.4545441,-0.3645055,-0.0382311,4.0000000,-0.0696835,1.1336324,27.9588585,-0.0067787,1.2094908
52,-12,-5.547529611150471,22.504619927536478,-12.7799768,0.0047107,48.7603302,-0.1345907,0.2157565,4.0000000,0.0996093,1.1342710,28.0420341,0.3319038,0.7149595
53,-12,-5.540072971150471,22.504619927536478,-12.7814770,-0.0037190,28.0991745,0.0593237,0.3745265,4.0000000,0.2515071,1.1353405,28.2064304,0.4975458,0.6720595
54,-12,-5.532616331150471,22.504619927536478,-12.7830257,-0.0022314,32.2314034,-0.0837178,0.2774864,4.0000000,0.0513674,1.1365340,28.3187618,0.5036054,0.6978728
55,-12,-5.525159691150471,22.504619927536478,-12.7845840,-0.0007438,36.3636360,-0.6034624,-0.0813548,4.0000000,-0.6077794,1.1363766,28.3126793,0.4450699,2.1575267
56,-12,-5.517703051150471,22.504619927536478,-12.7860727,0.0006612,39.6694221,-0.6172454,-0.1052170,4.0000000,-0.7223077,1.1342161,28.1171265,0.5118737,2.2632260
57,-12,-5.510246411150471,22.504619927536478,-12.7874146,0.0020661,42.9752083,-0.5184361,-0.0251761,4.0000000,-0.6673806,1.1326208,27.9898510,0.6170284,1.7785591
58,-12,-5.502789771150471,22.504619927536478,-12.7887802,0.0034711,46.2809906,-0.5247633,0.0425189,4.0000000,-0.6604418,1.1315080,27.8959808,0.7454796,1.7330213
59,-12,-5.495333131150471,22.504619927536478,-12.7900524,-0.0053719,23.9669418,-1.0826194,-0.2365258,4.0000000,-1.2682986,1.1289527,27.6537361,0.7952471,4.3770962
60,-12,-5.487876491150471,22.504619927536478,-12.7912655,-0.0042975,26.4462814,-1.3918384,-0.2414445,4.0000000,-1.4400628,1.1250522,27.2802773,0.9571738,5.4103231
61,-12,-5.480419851150471,22.504619927536478,-12.7923069,-0.0030579,29.7520657,-1.5510062,-0.0992935,4.0000000,-1.3426630,1.1205164,26.8097858,1.1440760,5.2567735
62,-12,-5.472963211150471,22.504619927536478,-12.7932835,-0.0019008,32.2314034,-1.3386616,0.2334288,4.0000000,-0.8715940,1.1161847,26.3811302,1.3384516,4.2360544
63,-12,-5.465506571150471,22.504619927536478,-12.7942095,-0.0008264,34.7107430,-1.5431094,0.3179663,4.0000000,-0.8437123,1.1117263,25.9410992,1.4796450,4.9550943
64,-12,-5.458049931150471,22.504619927536478,-12.7951288,0.0001653,37.1900826,-1.8499317,0.3039455,4.0000000,-0.9555675,1.1071087,25.4410801,1.5634586,5.7520261
65,-12,-5.592269451150471,22.497163287536477,-12.7733803,-0.0019008,32.2314034,-0.2172125,-0.1523621,4.0000000,0.1194696,1.1349338,28.2402725,-0.4241938,0.8153318
66,-12,-5.584812811150471,22.497163287536477,-12.7752657,-0.0001653,36.3636360,-0.4744354,-0.3092617,4.0000000,-0.2007241,1.1351854,28.2864361,-0.4177993,2.1684721
67,-12,-5.577356171150471,22.497163287536477,-12.7771015,0.0017355,41.3223152,-0.8836713,-0.4079483,4.0000000,-0.3739057,1.1363471,28.3933811,-0.4419908,4.0570312
68,-12,-5.569899531150471,22.497163287536477,-12.7788839,0.0034711,45.4545441,-1.0708464,-0.3728892,4.0000000,-0.3902141,1.1374146,28.4567032,-0.3555642,4.5424252
69,-12,-5.562442891150471,22.497163287536477,-12.7805386,-0.0047934,24.7933884,-0.9349738,-0.2268374,4.0000000,-0.2750114,1.1387892,28.5847683,-0.1786634,3.5167403
70,-12,-5.554986251150471,22.497163287536477,-12.7821712,-0.0031405,28.9256191,-0.6012790,-0.0342049,4.0000000,-0.0868008,1.1396980,28.7456245,0.0183910,2.0466788
71,-12,-5.547529611150471,22.497163287536477,-12.7837057,-0.0015702,33.0578499,-0.2503162,0.1403741,4.0000000,0.0575667,1.1398052,28.7730598,0.2231815,0.9637644
72,-12,-5.540072971150471,22.497163287536477,-12.7852116,0.0000000,37.1900826,-0.0247932,0.2518388,4.0000000,0.1682529,1.1410328,28.8771210,0.3354247,0.4858410
73,-12,-5.532616331150471,22.497163287536477,-12.7867718,0.0014876,41.3223152,-0.0823820,0.1629775,4.0000000,-0.0336051,1.1416774,28.9224148,0.3595601,0.4108174
74,-12,-5.525159691150471,22.497163287536477,-12.7883177,0.0029752,45.4545441,-0.3849461,-0.2315081,4.0000000,-0.7046773,1.1406488,28.8511505,0.2416611,1.9054022
75,-12,-5.517703051150471,22.497163287536477,-12.7898035,0.0043802,48.7603302,-0.2971341,-0.3486780,4.0000000,-0.8795962,1.1379904,28.5793610,0.1822401,2.1903577
76,-12,-5.510246411150471,22.497163287536477,-12.7911282,-0.0042975,27.2727280,-0.1491011,-0.3471129,4.0000000,-0.8295844,1.1358250,28.3544865,0.1353586,1.6280622
77,-12,-5.502789771150471,22.497163287536477,-12.7924824,-0.0028926,30.5785122,-0.1248485,-0.3186013,4.0000000,-0.7942120,1.1338340,28.1826916,0.1570094,1.3771509
78,-12,-5.495333131150471,22.497163287536477,-12.7937355,-0.0017355,33.0578499,-0.1286707,-0.6481212,4.0000000,-1.3830028,1.1303525,27.8443489,0.0867602,4.0401025
79,-12,-5.487876491150471,22.497163287536477,-12.7949085,-0.0006612,35.5371895,-0.1862245,-0.7165521,4.0000000,-1.5529778,1.1259824,27.4087200,0.1198735,4.9456372
80,-12,-5.480419851150471,22.497163287536477,-12.7959118,0.0004959,38.8429756,-0.4413610,-0.5867891,4.0000000,-1.4453503,1.1214427,26.9517136,0.2717719,4.4110808
81,-12,-5.472963211150471,22.497163287536477,-12.7968359,0.0015702,41.3223152,-0.7118327,-0.2625401,4.0000000,-0.9848492,1.1174377,26.5548134,0.4597689,2.9667411
