OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
103,-13,-5.763772171150471,21.035661847536481,-13.0279427,0.0029752,38.0165291,-1.6768972,0.0681212,4.0000000,-0.9295486,1.0337104,14.8319645,1.0657909,3.8460486
104,-13,-5.756315531150472,21.035661847536481,-13.0285406,0.0035537,41.3223152,-1.6902734,0.0226258,4.0000000,-1.0748026,1.0327630,14.6289234,1.1200544,3.8577166
105,-13,-5.748858891150471,21.035661847536481,-13.0290670,0.0039669,43.8016510,-1.7068263,-0.0280307,4.0000000,-1.2029786,1.0317656,14.4318819,1.1469171,3.9004338
106,-13,-5.741402251150472,21.035661847536481,-13.0295029,0.0042975,45.4545441,-2.0223749,-0.1937114,4.0000000,-1.5564139,1.0307449,14.1929417,1.1689911,4.8310337
107,-13,-5.733945611150471,21.035661847536481,-13.0298519,0.0044628,46.2809906,-2.2872050,-0.2923257,4.0000000,-1.8153813,1.0296946,13.9063425,1.2307299,5.6664615
108,-13,-5.726488971150472,21.035661847536481,-13.0300770,-0.0053719,0.0000000,-3.0911450,-0.5733826,4.0000000,-2.4221165,1.0285065,13.6141100,1.2753513,8.6873112
109,-13,-5.719032331150471,21.035661847536481,-13.0301867,-0.0052066,0.0000000,-3.5714855,-0.7140177,5.0000000,-2.7059708,1.0273633,13.2936993,1.2779355,10.5955000
110,-13,-5.711575691150472,21.035661847536481,-13.0300770,-0.0052893,0.0000000,-3.4384224,-0.5862690,4.0000000,-2.3809938,1.0265654,13.1236010,1.2084558,9.4319725
111,-13,-5.704119051150471,21.035661847536481,-13.0298395,0.0046281,46.2809906,-2.7003062,-0.1988537,4.0000000,-1.5887300,1.0261457,13.0233936,1.1910225,6.2393904
112,-13,-5.696662411150472,21.035661847536481,-13.0294886,0.0045455,45.4545441,-2.1479704,0.0957379,4.0000000,-0.9652793,1.0259147,12.9530392,1.1567551,4.7832522
113,-13,-5.689205771150471,21.035661847536481,-13.0290442,0.0043802,43.8016510,-1.6230072,0.3910500,4.0000000,-0.3851620,1.0255157,12.8202677,1.1672620,4.2018790
114,-13,-5.890535051150472,21.028205207536480,-13.0107298,-0.0041322,11.5702477,-5.4123349,-0.2312647,4.0000000,1.9422239,1.0448468,16.9016495,-2.4047532,13.0033894
115,-13,-5.883078411150471,21.028205207536480,-13.0125589,-0.0024793,15.7024794,-5.5427666,-0.4288770,4.0000000,1.5795151,1.0430198,16.5514259,-2.4372690,13.6916437
116,-13,-5.875621771150472,21.028205207536480,-13.0142574,-0.0009917,20.6611576,-4.8811364,-0.3881796,4.0000000,1.2911028,1.0413524,16.2069397,-2.0674620,11.9643097
117,-13,-5.868165131150471,21.028205207536480,-13.0158234,0.0005785,26.4462814,-3.8540323,-0.3125850,5.0000000,0.9881819,1.0403188,16.0377388,-1.6133521,9.3543844
118,-13,-5.860708491150472,21.028205207536480,-13.0173082,0.0019835,32.2314034,-2.9806962,-0.3703933,4.0000000,0.5495520,1.0397111,15.9299212,-1.2903386,7.4961605
119,-13,-5.853251851150471,21.028205207536480,-13.0186949,0.0033884,38.8429756,-1.9638157,-0.2838144,4.0000000,0.3242383,1.0384448,15.6268682,-0.8918670,4.8833060
120,-13,-5.845795211150472,21.028205207536480,-13.0199575,0.0047934,46.2809906,-1.1189030,-0.1549206,4.0000000,0.2996119,1.0381231,15.5878429,-0.6094531,2.6881726
121,-13,-5.838338571150471,21.028205207536480,-13.0212212,-0.0039669,9.0909090,-0.8425398,-0.3125481,4.0000000,0.0035038,1.0382433,15.6364346,-0.6286000,2.3804207
122,-13,-5.830881931150472,21.028205207536480,-13.0224037,-0.0028099,12.3966942,-0.8278839,-0.6485606,4.0000000,-0.5992142,1.0370442,15.3744545,-0.6979069,3.8539636
123,-13,-5.823425291150471,21.028205207536480,-13.0234585,-0.0018182,15.7024794,-0.6271033,-0.6915554,4.0000000,-0.8574433,1.0355338,15.0625029,-0.5256675,3.6823611
124,-13,-5.815968651150472,21.028205207536480,-13.0244026,-0.0008264,19.8347111,-0.4525714,-0.5721232,4.0000000,-0.8061905,1.0345260,14.8408689,-0.3380558,2.5799971
125,-13,-5.808512011150471,21.028205207536480,-13.0252771,0.0000826,23.9669418,-0.2632138,-0.3408226,4.0000000,-0.5303540,1.0340291,14.6984119,-0.1512912,1.1525757
126,-13,-5.801055371150472,21.028205207536480,-13.0260887,0.0009917,28.0991745,-0.1597808,-0.2108017,4.0000000,-0.3256052,1.0340278,14.7266436,-0.0959982,0.5760898
127,-13,-5.793598731150471,21.028205207536480,-13.0268936,0.0019008,33.0578499,-0.0854912,-0.1461993,4.0000000,-0.1843162,1.0340459,14.7566595,-0.1080824,0.2951321
128,-13,-5.786142091150472,21.028205207536480,-13.0276461,0.0026446,37.1900826,-0.0358081,-0.0976178,4.0000000,-0.0683060,1.0341357,14.7615280,-0.1269296,0.1246736
129,-13,-5.778685451150471,21.028205207536480,-13.0283928,0.0033884,40.4958687,-0.0138016,-0.1547775,4.0000000,-0.1295149,1.0346282,14.8977518,-0.1800401,0.1404217
130,-13,-5.771228811150472,21.028205207536480,-13.0291443,0.0040496,43.8016510,0.0587869,-0.4667585,4.0000000,-0.6892987,1.0345446,14.8897896,-0.2442182,0.8982347
131,-13,-5.763772171150471,21.028205207536480,-13.0298262,0.0046281,47.1074371,0.1177588,-0.6875444,4.0000000,-1.1492457,1.0336872,14.7052212,-0.2258431,1.9914095
132,-13,-5.756315531150472,21.028205207536480,-13.0304127,-0.0047934,3.3057852,0.1049597,-0.7068724,4.0000000,-1.2617192,1.0327388,14.5089693,-0.1520257,2.1560783
133,-13,-5.748858891150471,21.028205207536480,-13.0309277,-0.0043802,4.1322312,0.0812729,-0.7293975,4.0000000,-1.3622421,1.0318654,14.3153830,-0.0965528,2.3662999
134,-13,-5.741402251150472,21.028205207536480,-13.0313587,-0.0040496,4.9586778,-0.0006980,-0.8409827,4.0000000,-1.6588124,1.0309720,14.0998554,-0.0231531,3.3949852
135,-13,-5.733945611150471,21.028205207536480,-13.0316963,-0.0038843,5.7851238,-0.2269056,-0.8808873,4.0000000,-1.8771552,1.0299780,13.8779898,0.1153807,4.2465467
136,-13,-5.726488971150472,21.028205207536480,-13.0318947,-0.0038017,5.7851238,-0.7101914,-1.0739411,4.0000000,-2.4390485,1.0290176,13.6743279,0.2911662,7.1590090
137,-13,-5.719032331150471,21.028205207536480,-13.0319729,-0.0037190,5.7851238,-1.3668041,-1.0874265,5.0000000,-2.6602614,1.0284020,13.5021296,0.4854085,8.7911329
138,-13,-5.711575691150472,21.028205207536480,-13.0318317,-0.0038017,5.7851238,-1.9147774,-0.8706597,4.0000000,-2.3901870,1.0282174,13.4772749,0.6488675,8.0139551
139,-13,-5.704119051150471,21.028205207536480,-13.0315628,-0.0038843,5.7851238,-1.9386410,-0.4513937,4.0000000,-1.7110505,1.0283458,13.5117359,0.8082631,5.3990736
140,-13,-5.696662411150472,21.028205207536480,-13.0311880,-0.0040496,4.9586778,-1.7687747,-0.1135378,4.0000000,-1.1228291,1.0285257,13.5702562,0.8957535,4.0523071
141,-13,-5.689205771150471,21.028205207536480,-13.0307198,-0.0042975,4.1322312,-1.4107867,0.2204652,4.0000000,-0.5456934,1.0284253,13.5482330,0.9866239,3.3359687
142,-13,-5.681749131150472,21.028205207536480,-13.0302191,-0.0046281,3.3057852,-1.2880023,0.4122128,4.0000000,-0.2148218,1.0280933,13.4591694,1.0392475,3.5768621
143,-13,-5.890535051150472,21.020748567536479,-13.0120106,-0.0029752,15.7024794,-3.6663413,-0.6516730,4.0000000,1.2996916,1.0494348,17.7098541,-2.6030376,10.4149723
144,-13,-5.883078411150471,21.020748567536479,-13.0139341,-0.0012397,20.6611576,-3.5262668,-0.8675448,4.0000000,0.9679356,1.0476797,17.4182014,-2.7030251,11.4628448
145,-13,-5.875621771150472,21.020748567536479,-13.0157394,0.0003306,26.4462814,-3.0220747,-0.8804867,4.0000000,0.6697634,1.0455490,16.9935722,-2.4307368,10.3799181
146,-13,-5.868165131150471,21.020748567536479,-13.0173836,0.0019835,33.0578499,-2.2560780,-0.7856919,5.0000000,0.3896251,1.0438576,16.6967525,-1.9610089,7.9332786
147,-13,-5.860708491150472,21.020748567536479,-13.0189333,0.0034711,39.6694221,-1.6780714,-0.7710810,4.0000000,0.0648818,1.0426322,16.5032196,-1.6070437,6.5391493
