OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
42,-13,-4.891345291150471,17.598150807536477,-13.0664091,0.0000000,0.0000000,1.0681618,-1.6406938,4.0000000,-1.3746293,1.0014802,3.1002963,-1.9067582,8.6767750
43,-13,-4.883888651150471,17.598150807536477,-13.0659523,0.0000000,0.0000000,0.5045845,-1.0041622,4.0000000,-0.9009392,1.0024503,4.0858412,-1.1073852,3.0530338
44,-13,-4.973368331150471,17.590694167536480,-13.0616112,-0.0018182,0.0000000,0.9680515,1.2520454,4.0000000,1.7609859,1.0042946,5.2600193,0.7431049,4.4301634
45,-13,-4.965911691150471,17.590694167536480,-13.0622759,-0.0010744,0.0000000,1.2660860,1.2421124,4.0000000,1.5133098,1.0048733,5.6810856,0.9709150,3.7252796
46,-13,-4.958455051150471,17.590694167536480,-13.0630045,-0.0004132,0.0000000,0.4729876,0.8941627,4.0000000,1.1579599,1.0053135,5.9630513,0.6303654,2.3121109
47,-13,-4.950998411150471,17.590694167536480,-13.0637531,0.0000000,0.0000000,-0.3363793,0.4065460,4.0000000,0.7469903,1.0053371,5.9711266,0.0661018,1.3694129
48,-13,-4.943541771150471,17.590694167536480,-13.0644999,0.0000000,0.0000000,-0.7237070,-0.0735452,4.0000000,0.3223907,1.0049106,5.7302780,-0.4694811,1.4976099
49,-13,-4.936085131150471,17.590694167536480,-13.0651979,0.0000000,0.0000000,-0.7677550,-0.6205236,4.0000000,-0.0630751,1.0040296,5.2008753,-1.1779721,3.1153259
50,-13,-4.928628491150471,17.590694167536480,-13.0658131,0.0000000,0.0000000,-0.4444023,-1.0865381,4.0000000,-0.3625798,1.0027834,4.2929635,-1.8104963,5.6566539
51,-13,-4.921171851150471,17.590694167536480,-13.0662832,0.0000000,0.0000000,0.0123663,-1.4463156,4.0000000,-0.5722045,1.0015147,3.1337638,-2.3204267,8.3774710
52,-13,-4.913715211150471,17.590694167536480,-13.0666065,0.0000000,0.0000000,0.3545793,-1.6321785,4.0000000,-0.5750470,1.0006034,1.8713056,-2.6893101,9.9607410
53,-13,-4.906258571150471,17.590694167536480,-13.0667629,0.0000000,0.0000000,0.6889820,-1.8295043,6.0000000,-0.2230639,1.0001453,0.6188781,-3.4359446,12.0118103
54,-13,-4.898801931150471,17.590694167536480,-13.0667477,0.0000000,0.0000000,0.9981144,-1.9734194,5.0000000,-2.4337256,1.0002946,1.0716474,-1.5131133,13.5920868
55,-13,-4.891345291150471,17.590694167536480,-13.0665321,0.0000000,0.0000000,0.9226745,-1.7085013,4.0000000,-1.4027091,1.0011568,2.7189739,-2.0142937,9.8702383
