OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
40,-12,-3.489496971150472,21.453233687536478,-12.8303537,-0.0045455,18.1818180,-0.0201243,0.0681428,4.0000000,-0.0807381,1.0701380,20.8686523,0.2170237,0.0705659
41,-12,-3.578976651150472,21.445777047536478,-12.8414459,-0.0035537,18.1818180,-0.1253033,-0.3049042,4.0000000,-0.5108396,1.0571060,18.9242191,-0.0989688,0.8144338
42,-12,-3.571520011150472,21.445777047536478,-12.8408642,-0.0041322,16.5289249,-0.1162827,-0.2951719,4.0000000,-0.5209952,1.0585672,19.1532021,-0.0693486,0.7701889
43,-12,-3.564063371150472,21.445777047536478,-12.8402596,-0.0047934,14.8760328,-0.1067228,-0.2826205,4.0000000,-0.5244914,1.0600026,19.3763351,-0.0407496,0.7156641
44,-12,-3.556606731150472,21.445777047536478,-12.8396330,0.0044628,48.7603302,-0.0981479,-0.2662133,4.0000000,-0.5167500,1.0613946,19.5910912,-0.0156767,0.6519211
45,-12,-3.549150091150472,21.445777047536478,-12.8389826,0.0038017,46.2809906,-0.0905903,-0.2453908,4.0000000,-0.5005381,1.0627463,19.7950096,0.0097565,0.5798741
46,-12,-3.541693451150472,21.445777047536478,-12.8383102,0.0032231,44.6280975,-0.0830217,-0.2232353,4.0000000,-0.4788235,1.0640428,19.9874802,0.0323529,0.5071801
47,-12,-3.534236811150472,21.445777047536478,-12.8376150,0.0025620,42.1487617,-0.0757691,-0.1978751,4.0000000,-0.4489943,1.0652617,20.1686993,0.0532441,0.4315140
48,-12,-3.526780171150472,21.445777047536478,-12.8368998,0.0018182,39.6694221,-0.0684998,-0.1687735,4.0000000,-0.4096572,1.0663931,20.3339291,0.0721103,0.3535939
49,-12,-3.519323531150472,21.445777047536478,-12.8361645,0.0010744,37.1900826,-0.0616634,-0.1344221,4.0000000,-0.3598608,1.0674264,20.4826622,0.0910166,0.2761447
50,-12,-3.511866891150472,21.445777047536478,-12.8354130,0.0004132,34.7107430,-0.0538592,-0.0994505,4.0000000,-0.3059044,1.0683386,20.6137981,0.1070035,0.2073082
51,-12,-3.504410251150472,21.445777047536478,-12.8346472,-0.0003306,32.2314034,-0.0451961,-0.0627719,4.0000000,-0.2467592,1.0691272,20.7267761,0.1212153,0.1477190
52,-12,-3.496953611150472,21.445777047536478,-12.8338709,-0.0011570,29.7520657,-0.0363714,-0.0258240,4.0000000,-0.1876380,1.0697969,20.8215065,0.1359900,0.1024096
53,-12,-3.489496971150472,21.445777047536478,-12.8330870,-0.0019008,27.2727280,-0.0260662,0.0137341,4.0000000,-0.1224453,1.0703524,20.8995399,0.1499134,0.0685497
54,-12,-3.482040331150472,21.445777047536478,-12.8322983,-0.0026446,24.7933884,-0.0144561,0.0528577,4.0000000,-0.0561612,1.0707756,20.9577847,0.1618767,0.0489132
55,-12,-3.586433291150472,21.438320407536480,-12.8444576,-0.0007438,28.9256191,-0.1440036,-0.3495516,4.0000000,-0.5143197,1.0544170,18.4909744,-0.1847834,0.9925317
56,-12,-3.578976651150472,21.438320407536480,-12.8439274,-0.0011570,27.2727280,-0.1323595,-0.3438244,4.0000000,-0.5333861,1.0559404,18.7381878,-0.1542626,0.9547508
57,-12,-3.571520011150472,21.438320407536480,-12.8433762,-0.0016529,25.6198349,-0.1198626,-0.3360325,4.0000000,-0.5473250,1.0574719,18.9814167,-0.1247399,0.9069411
58,-12,-3.564063371150472,21.438320407536480,-12.8428011,-0.0022314,23.9669418,-0.1069846,-0.3258616,4.0000000,-0.5544122,1.0589951,19.2193356,-0.0973110,0.8490917
59,-12,-3.556606731150472,21.438320407536480,-12.8422012,-0.0028926,21.4876041,-0.0960884,-0.3115432,4.0000000,-0.5506445,1.0604839,19.4494476,-0.0724418,0.7812824
60,-12,-3.549150091150472,21.438320407536480,-12.8415775,-0.0034711,19.8347111,-0.0853190,-0.2941143,4.0000000,-0.5391019,1.0619191,19.6703758,-0.0491267,0.7040141
61,-12,-3.541693451150472,21.438320407536480,-12.8409300,-0.0040496,18.1818180,-0.0762181,-0.2736441,4.0000000,-0.5198185,1.0633049,19.8782768,-0.0274698,0.6229073
62,-12,-3.534236811150472,21.438320407536480,-12.8402576,-0.0047107,16.5289249,-0.0682033,-0.2493807,4.0000000,-0.4908238,1.0646297,20.0742607,-0.0079376,0.5362434
63,-12,-3.526780171150472,21.438320407536480,-12.8395624,0.0045455,48.7603302,-0.0608841,-0.2213874,4.0000000,-0.4521413,1.0658594,20.2552414,0.0093666,0.4461953
64,-12,-3.519323531150472,21.438320407536480,-12.8388472,0.0038017,46.2809906,-0.0548060,-0.1889487,4.0000000,-0.4047283,1.0669906,20.4208775,0.0268309,0.3565704
65,-12,-3.511866891150472,21.438320407536480,-12.8381119,0.0031405,43.8016510,-0.0484091,-0.1542383,4.0000000,-0.3508937,1.0680106,20.5672321,0.0424171,0.2721100
66,-12,-3.504410251150472,21.438320407536480,-12.8373613,0.0023967,41.3223152,-0.0419452,-0.1172270,4.0000000,-0.2909750,1.0689065,20.6948662,0.0565211,0.1965753
67,-12,-3.496953611150472,21.438320407536480,-12.8365974,0.0015702,38.8429756,-0.0355096,-0.0804793,4.0000000,-0.2305161,1.0696750,20.8042145,0.0695575,0.1361780
68,-12,-3.489496971150472,21.438320407536480,-12.8358250,0.0008264,36.3636360,-0.0283910,-0.0411646,4.0000000,-0.1639139,1.0703168,20.8942299,0.0815847,0.0874639
69,-12,-3.482040331150472,21.438320407536480,-12.8350458,0.0000826,33.8842964,-0.0202487,-0.0029619,4.0000000,-0.0967858,1.0708308,20.9660492,0.0908620,0.0537279
