OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
108,-13,-4.235160971150473,19.313178007536479,-13.1534224,-0.0020661,33.0578499,-1.0514740,-0.4851064,4.0000000,0.5233160,1.1553404,30.0736046,-1.4935287,4.5930924
109,-13,-4.227704331150473,19.313178007536479,-13.1495638,0.0041322,47.9338837,-1.0763497,-0.3916295,4.0000000,0.6398742,1.1596013,30.4353065,-1.4231331,4.3208122
110,-13,-4.384293771150472,19.305721367536478,-13.2058849,0.0004959,28.0991745,-1.0689577,-0.7619371,4.0000000,-2.0279930,1.0395890,15.8617249,0.5041187,5.5749707
111,-13,-4.376837131150472,19.305721367536478,-13.2045584,-0.0008264,22.3140488,-0.8243262,-0.8341410,4.0000000,-2.0221860,1.0436420,16.6289768,0.3539039,5.6782827
112,-13,-4.369380491150472,19.305721367536478,-13.2031412,-0.0022314,17.3553715,-0.5944685,-0.9008754,4.0000000,-1.9985342,1.0479655,17.4047451,0.1967833,5.8189530
113,-13,-4.361923851150472,19.305721367536478,-13.2016239,-0.0037190,13.2231407,-0.3867947,-0.9608381,4.0000000,-1.9546359,1.0525808,18.1910229,0.0329597,5.9894652
114,-13,-4.354467211150472,19.305721367536478,-13.1999969,0.0045455,49.5867767,-0.2065725,-1.0137409,4.0000000,-1.8905635,1.0574824,18.9835205,-0.1369184,6.1844082
115,-13,-4.347010571150472,19.305721367536478,-13.1982536,0.0026446,41.3223152,-0.0630508,-1.0572480,4.0000000,-1.8057704,1.0626762,19.7823677,-0.3087257,6.3876853
116,-13,-4.339553931150472,19.305721367536478,-13.1963854,0.0007438,33.8842964,0.0392801,-1.0914465,4.0000000,-1.7032475,1.0681583,20.5863628,-0.4796455,6.5979161
117,-13,-4.332097291150472,19.305721367536478,-13.1943874,-0.0011570,27.2727280,0.1036005,-1.1164162,5.0000000,-1.5838177,1.0739244,21.3913975,-0.6490147,6.7948451
118,-13,-4.324640651150472,19.305721367536478,-13.1922531,-0.0033058,21.4876041,0.1298717,-1.1322193,4.0000000,-1.4501095,1.0799886,22.2000713,-0.8143290,6.9721074
119,-13,-4.317184011150472,19.305721367536478,-13.1899776,0.0043802,49.5867767,0.1182307,-1.1367055,4.0000000,-1.3039334,1.0863190,23.0050430,-0.9694776,7.0973244
120,-13,-4.309727371150472,19.305721367536478,-13.1875572,0.0019835,40.4958687,0.0742086,-1.1309427,4.0000000,-1.1481401,1.0928847,23.8036880,-1.1137453,7.1669216
121,-13,-4.302270731150472,19.305721367536478,-13.1849899,-0.0006612,32.2314034,0.0027385,-1.1160798,4.0000000,-0.9883276,1.0996640,24.5937748,-1.2438320,7.1881504
122,-13,-4.294814091150472,19.305721367536478,-13.1822739,-0.0033884,24.7933884,-0.0905207,-1.0904561,4.0000000,-0.8245372,1.1066079,25.3694057,-1.3563751,7.1300306
123,-13,-4.287357451150472,19.305721367536478,-13.1794090,0.0037190,47.1074371,-0.1950426,-1.0554416,4.0000000,-0.6593203,1.1136582,26.1249599,-1.4515630,6.9896159
124,-13,-4.279900811150472,19.305721367536478,-13.1763973,0.0005785,38.0165291,-0.3086828,-1.0098478,4.0000000,-0.4952108,1.1207359,26.8555450,-1.5244848,6.7642055
125,-13,-4.272444171150472,19.305721367536478,-13.1732407,-0.0025620,29.7520657,-0.4230775,-0.9541256,4.0000000,-0.3333702,1.1277679,27.5538387,-1.5748810,6.4534588
126,-13,-4.264987531150472,19.305721367536478,-13.1699429,0.0042149,47.9338837,-0.5344751,-0.8912636,4.0000000,-0.1773746,1.1346427,28.2127399,-1.6051527,6.1024480
127,-13,-4.257530891150472,19.305721367536478,-13.1665106,0.0008264,38.8429756,-0.6368569,-0.8203462,4.0000000,-0.0274458,1.1412805,28.8296051,-1.6132467,5.7054977
128,-13,-4.250074251150472,19.305721367536478,-13.1629486,-0.0028099,29.7520657,-0.7306605,-0.7418613,4.0000000,0.1171848,1.1475827,29.3971462,-1.6009076,5.2929120
129,-13,-4.242617611150472,19.305721367536478,-13.1592665,0.0035537,47.1074371,-0.8085501,-0.6562336,4.0000000,0.2550854,1.1534392,29.9100456,-1.5675527,4.8716445
130,-13,-4.235160971150473,19.305721367536478,-13.1554718,-0.0001653,38.0165291,-0.8714027,-0.5666328,4.0000000,0.3845615,1.1587585,30.3650913,-1.5178272,4.4912429
131,-13,-4.227704331150473,19.305721367536478,-13.1515760,-0.0039669,28.9256191,-0.9159853,-0.4717286,4.0000000,0.5057511,1.1634444,30.7572937,-1.4492083,4.1504774
132,-13,-4.220247691150472,19.305721367536478,-13.1475897,0.0022314,42.9752083,-0.9464425,-0.3737979,4.0000000,0.6192828,1.1674356,31.0849686,-1.3668786,3.8911901
133,-13,-4.399207051150472,19.298264727536477,-13.2098236,0.0042975,51.2396698,-1.2777556,-0.7319397,4.0000000,-2.0740561,1.0302533,13.9128170,0.6101767,5.5658517
134,-13,-4.391750411150472,19.298264727536477,-13.2087307,0.0031405,43.8016510,-1.0147693,-0.8176869,4.0000000,-2.1151209,1.0336921,14.6646290,0.4797471,5.7032080
135,-13,-4.384293771150472,19.298264727536477,-13.2075605,0.0019835,36.3636360,-0.7446644,-0.8993620,4.0000000,-2.1410091,1.0374140,15.4305592,0.3422851,5.8669577
136,-13,-4.376837131150472,19.298264727536477,-13.2063036,0.0007438,29.7520657,-0.4804211,-0.9756858,4.0000000,-2.1496463,1.0414178,16.2117443,0.1982746,6.0648818
137,-13,-4.369380491150472,19.298264727536477,-13.2049513,-0.0005785,23.9669418,-0.2333251,-1.0448971,4.0000000,-2.1379645,1.0457153,17.0042133,0.0481704,6.2912302
138,-13,-4.361923851150472,19.298264727536477,-13.2034931,-0.0019835,19.0082645,-0.0092822,-1.1063789,4.0000000,-2.1040111,1.0503279,17.8098564,-0.1087466,6.5363779
139,-13,-4.354467211150472,19.298264727536477,-13.2019215,-0.0035537,14.8760328,0.1838806,-1.1601951,4.0000000,-2.0491261,1.0552557,18.6270161,-0.2712640,6.8033309
140,-13,-4.347010571150472,19.298264727536477,-13.2002277,-0.0054545,10.7438021,0.3317992,-1.2016296,4.0000000,-1.9701492,1.0605228,19.4548626,-0.4331101,7.0537114
141,-13,-4.339553931150472,19.298264727536477,-13.1984043,0.0026446,41.3223152,0.4391575,-1.2331507,4.0000000,-1.8708702,1.0661224,20.2901745,-0.5954311,7.2874117
142,-13,-4.332097291150472,19.298264727536477,-13.1964445,0.0007438,33.8842964,0.5054688,-1.2557880,5.0000000,-1.7552246,1.0720373,21.1298103,-0.7563514,7.5071845
143,-13,-4.324640651150472,19.298264727536477,-13.1943436,-0.0013223,27.2727280,0.5265029,-1.2675211,4.0000000,-1.6233090,1.0782913,21.9763622,-0.9117334,7.6889253
144,-13,-4.317184011150472,19.298264727536477,-13.1920958,-0.0036364,21.4876041,0.5081540,-1.2670047,4.0000000,-1.4770424,1.0848533,22.8209095,-1.0569669,7.7907486
145,-13,-4.309727371150472,19.298264727536477,-13.1896982,0.0039669,47.9338837,0.4544792,-1.2560366,4.0000000,-1.3223222,1.0916835,23.6596565,-1.1897510,7.8273239
146,-13,-4.302270731150472,19.298264727536477,-13.1871481,0.0014050,38.8429756,0.3714612,-1.2364826,4.0000000,-1.1622033,1.0987685,24.4909534,-1.3107619,7.8119454
147,-13,-4.294814091150472,19.298264727536477,-13.1844444,-0.0013223,30.5785122,0.2656328,-1.2060372,4.0000000,-0.9974818,1.1060499,25.3074684,-1.4145925,7.7009664
148,-13,-4.287357451150472,19.298264727536477,-13.1815872,-0.0042149,23.1404953,0.1437382,-1.1653396,4.0000000,-0.8299525,1.1134584,26.1044903,-1.5007268,7.4952688
149,-13,-4.279900811150472,19.298264727536477,-13.1785774,0.0027273,44.6280975,0.0116276,-1.1149994,4.0000000,-0.6630997,1.1209267,26.8740635,-1.5668992,7.2041960
150,-13,-4.272444171150472,19.298264727536477,-13.1754179,-0.0004959,35.5371895,-0.1222925,-1.0549351,4.0000000,-0.4987711,1.1283635,27.6121864,-1.6110992,6.8232517
