OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
62,-12,-2.371000971150471,21.766412567536481,-12.7545958,-0.0005785,18.1818180,-0.1863651,-0.1498972,4.0000000,0.1128146,1.0241086,12.4577398,-0.4126091,0.5008337
63,-12,-2.363544331150471,21.766412567536481,-12.7529726,-0.0023967,9.0909090,-0.1639085,-0.1381370,4.0000000,0.1025726,1.0250576,12.6961155,-0.3788465,0.4391453
64,-12,-2.356087691150471,21.766412567536481,-12.7513208,-0.0039669,2.4793389,-0.1414577,-0.1209513,4.0000000,0.0947904,1.0259571,12.9180737,-0.3366930,0.3725471
65,-12,-2.348631051150471,21.766412567536481,-12.7496414,0.0046281,48.7603302,-0.1206311,-0.1009434,4.0000000,0.0879285,1.0267756,13.1160755,-0.2898153,0.3091327
66,-12,-2.341174411150471,21.766412567536481,-12.7479391,0.0031405,39.6694221,-0.1024477,-0.0784013,4.0000000,0.0835467,1.0275036,13.2895651,-0.2403492,0.2528336
67,-12,-2.333717771150471,21.766412567536481,-12.7462158,0.0013223,30.5785122,-0.0862605,-0.0544405,4.0000000,0.0787524,1.0281484,13.4417391,-0.1876333,0.2043117
68,-12,-2.326261131150471,21.766412567536481,-12.7444763,-0.0004959,21.4876041,-0.0708885,-0.0264846,4.0000000,0.0751791,1.0286882,13.5677443,-0.1281483,0.1612706
69,-12,-2.945162251150471,21.758955927536480,-12.7929115,-0.0019835,0.0000000,-0.0548315,-0.2934641,4.0000000,-0.6644319,1.0087036,7.5310307,0.0775037,0.4780426
70,-12,-2.937705611150471,21.758955927536480,-12.7935085,-0.0014876,0.0000000,-0.0679962,-0.3204851,4.0000000,-0.7261506,1.0081389,7.2840047,0.0851805,0.5736273
71,-12,-2.930248971150471,21.758955927536480,-12.7940760,-0.0010744,0.0000000,-0.0855430,-0.3444927,4.0000000,-0.7865452,1.0075423,7.0128822,0.0975597,0.6749799
72,-12,-2.922792331150471,21.758955927536480,-12.7946119,-0.0007438,0.0000000,-0.1079822,-0.3635493,4.0000000,-0.8424438,1.0069259,6.7199721,0.1153452,0.7753970
73,-12,-2.915335691150471,21.758955927536480,-12.7951126,-0.0004959,0.0000000,-0.1324625,-0.3812622,4.0000000,-0.8970301,1.0062941,6.4069796,0.1345056,0.8780203
74,-12,-2.907879051150471,21.758955927536480,-12.7955761,-0.0002479,0.0000000,-0.1610736,-0.3910815,4.0000000,-0.9419453,1.0056646,6.0772076,0.1597821,0.9652126
75,-12,-2.900422411150471,21.758955927536480,-12.7960005,-0.0000826,0.0000000,-0.1914836,-0.3958698,4.0000000,-0.9793736,1.0050455,5.7353725,0.1876342,1.0398078
76,-12,-2.892965771150471,21.758955927536480,-12.7963839,0.0000826,0.8264463,-0.2213331,-0.3960800,4.0000000,-1.0078936,1.0044477,5.3860221,0.2157336,1.0980679
77,-12,-2.885509131150471,21.758955927536480,-12.7967253,0.0001653,1.6528926,-0.2481967,-0.3892620,4.0000000,-1.0210346,1.0038862,5.0313644,0.2425106,1.1273974
78,-12,-2.878052491150471,21.758955927536480,-12.7970257,0.0002479,2.4793389,-0.2738768,-0.3763301,4.0000000,-1.0205806,1.0033652,4.6791506,0.2679205,1.1358178
79,-12,-2.870595851150471,21.758955927536480,-12.7972841,0.0002479,2.4793389,-0.2957754,-0.3599319,4.0000000,-1.0078278,1.0028850,4.3339295,0.2879640,1.1279609
80,-12,-2.863139211150471,21.758955927536480,-12.7975016,0.0002479,2.4793389,-0.3119619,-0.3385991,4.0000000,-0.9774333,1.0024537,3.9954445,0.3002352,1.0973737
81,-12,-2.855682571150471,21.758955927536480,-12.7976799,0.0002479,2.4793389,-0.3247907,-0.3122964,4.0000000,-0.9306250,1.0020763,3.6732130,0.3060321,1.0514965
82,-12,-2.848225931150471,21.758955927536480,-12.7978210,0.0002479,2.4793389,-0.3312326,-0.2846842,4.0000000,-0.8694847,1.0017463,3.3661089,0.3001164,0.9958047
83,-12,-2.840769291150471,21.758955927536480,-12.7979259,0.0002479,2.4793389,-0.3325035,-0.2557610,4.0000000,-0.7934437,1.0014620,3.0780933,0.2819217,0.9336293
84,-12,-2.415740811150471,21.758955927536480,-12.7638912,-0.0018182,7.4380164,-0.3166733,-0.1768475,4.0000000,0.1823907,1.0175797,10.6629486,-0.5360857,0.8038895
85,-12,-2.408284171150471,21.758955927536480,-12.7624979,-0.0033058,1.6528926,-0.2871596,-0.1848169,4.0000000,0.1576024,1.0186328,10.9724588,-0.5272361,0.7555652
86,-12,-2.400827531150471,21.758955927536480,-12.7610645,-0.0043802,0.0000000,-0.2595129,-0.1891869,4.0000000,0.1366197,1.0196927,11.2765303,-0.5149934,0.7057325
87,-12,-2.393370891150471,21.758955927536480,-12.7595940,0.0046281,47.1074371,-0.2327354,-0.1916251,4.0000000,0.1177206,1.0207530,11.5722704,-0.5009709,0.6544455
88,-12,-2.385914251150471,21.758955927536480,-12.7580853,0.0033058,38.0165291,-0.2073723,-0.1899940,4.0000000,0.1012267,1.0218122,11.8579807,-0.4812148,0.5993561
89,-12,-2.378457611150471,21.758955927536480,-12.7565413,0.0016529,28.9256191,-0.1825574,-0.1838342,4.0000000,0.0870629,1.0228405,12.1322985,-0.4547312,0.5379890
90,-12,-2.371000971150471,21.758955927536480,-12.7549629,-0.0001653,19.8347111,-0.1595154,-0.1743685,4.0000000,0.0753110,1.0238366,12.3881483,-0.4240480,0.4753989
