OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
84,-13,-3.198688011150471,19.037282327536481,-13.0131989,-0.0002479,0.0000000,-15.4835749,0.9673470,3.0000000,4.1861234,1.0277628,12.3428020,-2.2514293,38.7807045
85,-13,-3.191231371150471,19.037282327536481,-13.0129738,-0.0002479,0.0000000,41.8565407,6.4849081,3.0000000,6.6116738,1.0173266,9.7496500,6.3581424,89.7055969
86,-13,-3.183774731150470,19.037282327536481,-13.0126982,-0.0002479,0.0000000,56.6102524,8.2677412,3.0000000,7.6468487,1.0051152,3.9123862,8.8886337,161.6085815
87,-13,-3.176318091150470,19.037282327536481,-13.0123749,0.0097521,97.5206604,42.8166275,7.1486382,2.0000000,8.2995319,1.0034813,3.5327661,5.9977441,119.8129196
88,-13,-3.168861451150471,19.037282327536481,-13.0120077,0.0097521,97.5206604,10.7748299,3.3154914,0.0000000,3.5282912,1.0065377,4.8806181,3.1026917,22.7698078
89,-13,-3.161404811150471,19.037282327536481,-13.0115995,-0.0004132,0.0000000,1.5672089,1.8046660,3.0000000,0.5099751,1.0063623,4.8409305,3.0993569,9.9677830
90,-13,-3.153948171150471,19.037282327536481,-13.0111504,-0.0011570,0.0000000,-4.9663620,-0.6584737,4.0000000,-2.2311103,1.0040029,4.3166995,0.9141629,11.8243036
91,-12,-3.467127051150471,19.029825687536480,-12.9775419,0.0034711,38.0165291,-47.6478996,-3.7481897,5.0000000,3.9233270,1.1621192,29.4173489,-11.4197063,216.9931793
92,-12,-3.459670411150471,19.029825687536480,-12.9792385,-0.0042975,25.6198349,-29.1211452,-5.6893826,4.0000000,2.0708828,1.2345693,33.5028419,-13.4496479,278.1627197
93,-12,-3.452213771150471,19.029825687536480,-12.9809227,-0.0023967,30.5785122,-13.1708250,-7.2693806,4.0000000,-0.3294925,1.2540990,36.6650276,-14.2092686,400.4448242
