OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
47,-13,-4.429033611150471,20.118495127536480,-13.2556353,0.0000000,0.0000000,-0.5620582,-0.7645853,4.0000000,-0.2101126,1.0031450,4.5520039,-1.3190581,3.4956975
48,-13,-4.421576971150471,20.118495127536480,-13.2550049,-0.0002479,0.0000000,-1.1771654,-0.4676087,4.0000000,-0.2235735,1.0040793,5.1845694,-0.7116439,3.2785635
49,-13,-4.414120331150471,20.118495127536480,-13.2543116,-0.0005785,0.0000000,-1.7891552,-0.1297013,4.0000000,-0.3014844,1.0048736,5.6605177,0.0420817,3.7184758
50,-13,-4.406663691150471,20.118495127536480,-13.2535820,-0.0009917,0.0000000,-2.3332798,0.2352200,4.0000000,-0.4532103,1.0054874,5.9923244,0.9236503,4.9889898
51,-13,-4.399207051150471,20.118495127536480,-13.2528448,-0.0014050,0.0000000,-2.7657194,0.6073033,4.0000000,-0.6641536,1.0059161,6.1997457,1.8787603,7.1362338
52,-13,-4.563253131150471,20.111038487536479,-13.2492361,0.0039669,39.6694221,-0.5100278,-0.0984195,4.0000000,-0.7891167,1.0050409,5.7334132,0.5922776,1.0830882
53,-13,-4.555796491150471,20.111038487536479,-13.2499838,0.0048760,48.7603302,-0.4929485,-0.1093717,4.0000000,-0.7435796,1.0053190,5.8951125,0.5248362,1.0589585
54,-13,-4.548339851150471,20.111038487536479,-13.2507563,-0.0042149,0.0000000,-0.4123668,-0.1597004,4.0000000,-0.6835108,1.0055462,6.0237780,0.3641099,0.9513307
55,-13,-4.540883211150471,20.111038487536479,-13.2515450,-0.0033058,0.0000000,-0.2815558,-0.2423234,4.0000000,-0.6187738,1.0056546,6.0855327,0.1341270,0.8204826
56,-13,-4.533426571150471,20.111038487536479,-13.2523384,-0.0023967,0.0000000,-0.1194516,-0.3476902,4.0000000,-0.5630093,1.0056040,6.0633435,-0.1323710,0.7423099
57,-13,-4.525969931150471,20.111038487536479,-13.2531233,-0.0014876,0.0000000,0.0634751,-0.4709406,5.0000000,-0.5228855,1.0053792,5.9433193,-0.4189957,0.7778611
58,-13,-4.518513291150471,20.111038487536479,-13.2538862,-0.0005785,0.0000000,0.2621580,-0.6104276,4.0000000,-0.5021784,1.0049646,5.7130709,-0.7186767,0.9829618
59,-13,-4.511056651150471,20.111038487536479,-13.2546101,-0.0000826,0.0000000,0.4766876,-0.7684345,4.0000000,-0.5041842,1.0043650,5.3625183,-1.0326847,1.4263229
60,-13,-4.503600011150471,20.111038487536479,-13.2552786,0.0000000,0.0000000,0.7095690,-0.9453577,4.0000000,-0.5258926,1.0036055,4.8744683,-1.3648229,2.1755319
61,-13,-4.496143371150471,20.111038487536479,-13.2558727,0.0000000,0.0000000,0.9551544,-1.1318020,4.0000000,-0.5621081,1.0027215,4.2321353,-1.7014959,3.2346942
62,-13,-4.488686731150471,20.111038487536479,-13.2563715,0.0000000,0.0000000,1.2006947,-1.3116089,4.0000000,-0.6080503,1.0018042,3.4341762,-2.0151675,4.4988699
63,-13,-4.481230091150471,20.111038487536479,-13.2567568,0.0000000,0.0000000,1.4207170,-1.4642299,4.0000000,-0.6603714,1.0009767,2.4954274,-2.2680883,5.7472892
64,-13,-4.473773451150471,20.111038487536479,-13.2570114,0.0000000,0.0000000,1.5814316,-1.5718484,4.0000000,-0.7395854,1.0003650,1.4506805,-2.4041114,6.7252312
65,-13,-4.466316811150471,20.111038487536479,-13.2571239,0.0000000,0.0000000,1.6409259,-1.6149038,7.0000000,-1.5508448,1.0000772,0.3962315,-1.6789628,7.1504693
66,-13,-4.458860171150471,20.111038487536479,-13.2570887,0.0000000,0.0000000,1.5825826,-1.5960842,5.0000000,-0.7672599,1.0001653,0.8708940,-2.4249086,7.0267987
67,-13,-4.451403531150471,20.111038487536479,-13.2569075,0.0000000,0.0000000,1.4046689,-1.5262494,4.0000000,-0.6276675,1.0006235,1.9551926,-2.4248314,6.5171900
