OID_,RegF2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
58,-13,-4.846605451150472,18.604797207536482,-13.2362099,0.0014050,33.0578499,-0.4761682,0.2068731,4.0000000,0.4380395,1.0466565,17.1711979,-0.0242933,1.3702413
59,-13,-5.077761291150471,18.597340567536481,-13.2547016,-0.0001653,26.4462814,-0.4054346,-0.1507620,4.0000000,-0.4602466,1.0419625,16.3190365,0.1587226,1.0820756
60,-13,-5.070304651150471,18.597340567536481,-13.2547684,-0.0000826,27.2727280,-0.4124554,-0.1466828,4.0000000,-0.5030116,1.0431714,16.5457458,0.2096460,1.1010967
61,-13,-5.062848011150471,18.597340567536481,-13.2548008,-0.0001653,27.2727280,-0.4116484,-0.1291572,5.0000000,-0.5243732,1.0443788,16.7693615,0.2660589,1.0816904
62,-13,-5.055391371150471,18.597340567536481,-13.2547998,-0.0002479,27.2727280,-0.4045536,-0.1033253,4.0000000,-0.5330154,1.0455706,16.9835758,0.3263648,1.0389503
63,-13,-5.047934731150471,18.597340567536481,-13.2547646,-0.0003306,27.2727280,-0.3995551,-0.0791444,4.0000000,-0.5475028,1.0467162,17.1883430,0.3892140,1.0079825
64,-13,-5.040478091150471,18.597340567536481,-13.2546959,-0.0004132,27.2727280,-0.3983549,-0.0555494,4.0000000,-0.5653285,1.0478046,17.3815880,0.4542297,0.9909295
65,-13,-5.033021451150471,18.597340567536481,-13.2545919,-0.0004959,27.2727280,-0.3964062,-0.0275574,4.0000000,-0.5740833,1.0488288,17.5594711,0.5189685,0.9734861
66,-13,-5.025564811150471,18.597340567536481,-13.2544537,-0.0005785,27.2727280,-0.3907366,0.0048136,4.0000000,-0.5698071,1.0497656,17.7199478,0.5794343,0.9517866
67,-13,-5.018108171150471,18.597340567536481,-13.2542801,-0.0006612,27.2727280,-0.3883779,0.0346880,4.0000000,-0.5647261,1.0505950,17.8621044,0.6341021,0.9465959
68,-13,-5.010651531150471,18.597340567536481,-13.2540741,-0.0007438,27.2727280,-0.3915718,0.0589649,4.0000000,-0.5618778,1.0513127,17.9829731,0.6798075,0.9606729
69,-13,-5.003194891150471,18.597340567536481,-13.2538328,-0.0009917,26.4462814,-0.4018080,0.0740809,4.0000000,-0.5638753,1.0519116,18.0826225,0.7120371,0.9926786
70,-13,-4.995738251150471,18.597340567536481,-13.2535582,-0.0012397,25.6198349,-0.4227496,0.0790055,4.0000000,-0.5728028,1.0523782,18.1591187,0.7308137,1.0474913
71,-13,-4.988281611150471,18.597340567536481,-13.2532473,-0.0014876,24.7933884,-0.4649890,0.0637191,4.0000000,-0.6051417,1.0527219,18.2145138,0.7325799,1.1465322
72,-13,-4.980824971150471,18.597340567536481,-13.2528973,-0.0017355,23.9669418,-0.5236812,0.0301267,4.0000000,-0.6564712,1.0529757,18.2549133,0.7167246,1.2878004
73,-13,-4.973368331150471,18.597340567536481,-13.2525043,-0.0021488,22.3140488,-0.5817912,-0.0122566,4.0000000,-0.7085720,1.0531808,18.2877312,0.6840588,1.4431474
74,-13,-4.965911691150471,18.597340567536481,-13.2520609,-0.0026446,20.6611576,-0.6190567,-0.0503705,4.0000000,-0.7365333,1.0533588,18.3149529,0.6357923,1.5608151
75,-13,-4.958455051150471,18.597340567536481,-13.2515640,-0.0031405,19.0082645,-0.6293905,-0.0834696,4.0000000,-0.7372236,1.0535069,18.3382969,0.5702843,1.6187944
76,-13,-4.950998411150471,18.597340567536481,-13.2510109,-0.0038017,16.5289249,-0.6226069,-0.1101114,4.0000000,-0.7160749,1.0536169,18.3573742,0.4958521,1.6338264
77,-13,-4.943541771150471,18.597340567536481,-13.2504015,-0.0045455,14.0495872,-0.6065108,-0.1366131,4.0000000,-0.6854827,1.0537033,18.3696060,0.4122565,1.6303734
78,-13,-4.936085131150471,18.597340567536481,-13.2497349,0.0047107,47.9338837,-0.5806596,-0.1582893,4.0000000,-0.6414009,1.0537751,18.3801193,0.3248222,1.5985430
79,-13,-4.928628491150471,18.597340567536481,-13.2490101,0.0038843,44.6280975,-0.5444616,-0.1696660,4.0000000,-0.5779124,1.0538145,18.3870583,0.2385803,1.5233761
80,-13,-4.921171851150472,18.597340567536481,-13.2482290,0.0031405,42.1487617,-0.5044572,-0.1666403,4.0000000,-0.4937084,1.0538112,18.3881340,0.1604279,1.4112602
81,-13,-4.913715211150471,18.597340567536481,-13.2473946,0.0023140,38.8429756,-0.4670517,-0.1531694,4.0000000,-0.3972504,1.0537521,18.3787842,0.0909115,1.2878801
82,-13,-4.906258571150472,18.597340567536481,-13.2465105,0.0014876,35.5371895,-0.4346682,-0.1241396,4.0000000,-0.2839060,1.0536115,18.3564472,0.0356268,1.1580446
83,-13,-4.898801931150471,18.597340567536481,-13.2455826,0.0005785,31.4049587,-0.4125810,-0.0873147,4.0000000,-0.1683598,1.0533490,18.3134594,-0.0062696,1.0572133
84,-13,-4.891345291150472,18.597340567536481,-13.2446165,-0.0003306,28.0991745,-0.4010795,-0.0459632,4.0000000,-0.0576945,1.0529548,18.2506523,-0.0342319,0.9967961
