OID_,RegA,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
48,-13,-5.010651531150471,17.568324247536481,-13.0587187,0.0033058,33.0578499,-0.2764194,0.0324320,4.0000000,0.2983928,1.0041648,5.2130899,-0.2335287,0.5666546
49,-13,-5.003194891150471,17.568324247536481,-13.0593672,0.0042149,42.1487617,-0.2202340,0.0300503,4.0000000,0.3088591,1.0038644,5.0226736,-0.2487585,0.4512336
50,-13,-4.995738251150471,17.568324247536481,-13.0599937,0.0051240,51.2396698,-0.1775381,0.0189244,4.0000000,0.3038599,1.0036014,4.8542523,-0.2660110,0.3618315
51,-13,-4.988281611150471,17.568324247536481,-13.0606003,-0.0039669,0.0000000,-0.1491178,-0.0055932,4.0000000,0.2827450,1.0033637,4.6942806,-0.2939313,0.3023578
52,-13,-4.980824971150471,17.568324247536481,-13.0611868,-0.0030579,0.0000000,-0.1297862,-0.0403491,4.0000000,0.2480546,1.0031317,4.5301690,-0.3287528,0.2691443
53,-13,-4.973368331150471,17.568324247536481,-13.0617514,-0.0021488,0.0000000,-0.1142436,-0.0863390,4.0000000,0.2004588,1.0028989,4.3629079,-0.3731368,0.2607422
54,-13,-4.965911691150471,17.568324247536481,-13.0622931,-0.0013223,0.0000000,-0.0990736,-0.1528538,4.0000000,0.1359073,1.0026500,4.1770177,-0.4416148,0.2937771
55,-13,-4.958455051150471,17.568324247536481,-13.0628071,-0.0005785,0.0000000,-0.0775083,-0.2321198,4.0000000,0.0591066,1.0023715,3.9512589,-0.5233462,0.3727830
56,-13,-4.950998411150471,17.568324247536481,-13.0632896,-0.0000826,0.0000000,-0.0458279,-0.3217305,4.0000000,-0.0287543,1.0020602,3.6851330,-0.6147066,0.5083315
57,-13,-4.943541771150471,17.568324247536481,-13.0637321,0.0000000,0.0000000,-0.0015009,-0.4141417,4.0000000,-0.1274492,1.0017155,3.3645208,-0.7008342,0.6921796
58,-13,-4.936085131150471,17.568324247536481,-13.0641289,0.0000000,0.0000000,0.0523572,-0.5081522,4.0000000,-0.2369551,1.0013566,2.9892540,-0.7793494,0.9317226
59,-13,-5.062848011150471,17.560867607536480,-13.0531168,-0.0018182,0.0000000,-0.5269144,-0.0270505,4.0000000,-0.0527558,1.0079391,7.1906786,-0.0013452,1.0907108
60,-13,-5.055391371150471,17.560867607536480,-13.0539865,-0.0011570,0.0000000,-0.5133680,-0.0603545,4.0000000,-0.0292825,1.0073195,6.9061346,-0.0914265,1.0719724
61,-13,-5.047934731150471,17.560867607536480,-13.0548267,-0.0005785,0.0000000,-0.4801109,-0.0834851,4.0000000,-0.0000793,1.0067129,6.6118088,-0.1668909,1.0144519
62,-13,-5.040478091150471,17.560867607536480,-13.0556364,-0.0000826,0.8264463,-0.4338011,-0.0978676,4.0000000,0.0340532,1.0061376,6.3230853,-0.2297883,0.9276561
63,-13,-5.033021451150471,17.560867607536480,-13.0564146,0.0004132,4.1322312,-0.3791032,-0.1068579,4.0000000,0.0669755,1.0055937,6.0383844,-0.2806912,0.8211316
64,-13,-5.025564811150471,17.560867607536480,-13.0571604,0.0011570,11.5702477,-0.3164543,-0.1094676,4.0000000,0.0969304,1.0050967,5.7642097,-0.3158655,0.6938580
65,-13,-5.018108171150471,17.560867607536480,-13.0578766,0.0020661,20.6611576,-0.2524130,-0.1054503,4.0000000,0.1235811,1.0046599,5.5120845,-0.3344816,0.5586769
66,-13,-5.010651531150471,17.560867607536480,-13.0585642,0.0029752,29.7520657,-0.1962355,-0.1016283,4.0000000,0.1445130,1.0042740,5.2809520,-0.3477697,0.4403674
67,-13,-5.003194891150471,17.560867607536480,-13.0592251,0.0038843,38.8429756,-0.1481940,-0.0992150,4.0000000,0.1552982,1.0039319,5.0677986,-0.3537282,0.3402653
68,-13,-4.995738251150471,17.560867607536480,-13.0598602,0.0047934,47.9338837,-0.1123594,-0.1013998,4.0000000,0.1565303,1.0036355,4.8745480,-0.3593299,0.2689624
69,-13,-4.988281611150471,17.560867607536480,-13.0604725,-0.0042975,0.0000000,-0.0881861,-0.1111285,4.0000000,0.1492199,1.0033699,4.6956906,-0.3714769,0.2280420
70,-13,-4.980824971150471,17.560867607536480,-13.0610609,-0.0033884,0.0000000,-0.0708757,-0.1310901,4.0000000,0.1305347,1.0031182,4.5205460,-0.3927150,0.2122674
71,-13,-4.973368331150471,17.560867607536480,-13.0616264,-0.0024793,0.0000000,-0.0561379,-0.1622756,4.0000000,0.1001119,1.0028796,4.3452587,-0.4246631,0.2191406
72,-13,-4.965911691150471,17.560867607536480,-13.0621681,-0.0015702,0.0000000,-0.0410114,-0.2105673,4.0000000,0.0581974,1.0026332,4.1597056,-0.4793319,0.2609247
73,-13,-4.958455051150471,17.560867607536480,-13.0626822,-0.0007438,0.0000000,-0.0192917,-0.2728116,4.0000000,0.0031733,1.0023624,3.9427724,-0.5487965,0.3380531
74,-13,-4.950998411150471,17.560867607536480,-13.0631638,-0.0001653,0.0000000,0.0124652,-0.3473243,4.0000000,-0.0664648,1.0020686,3.6908479,-0.6281838,0.4597921
75,-13,-4.943541771150471,17.560867607536480,-13.0636091,0.0000000,0.0000000,0.0531118,-0.4248514,4.0000000,-0.1485830,1.0017465,3.3924170,-0.7011197,0.6184510
76,-13,-4.936085131150471,17.560867607536480,-13.0640097,0.0000000,0.0000000,0.0993585,-0.5039436,4.0000000,-0.2448156,1.0014071,3.0444951,-0.7630717,0.8202680
77,-13,-4.928628491150471,17.560867607536480,-13.0643616,0.0000000,0.0000000,0.1458478,-0.5782474,4.0000000,-0.3537073,1.0010679,2.6505599,-0.8027875,1.0491573
78,-13,-5.070304651150471,17.553410967536479,-13.0518751,-0.0030579,0.0000000,-0.4233921,-0.0741379,4.0000000,-0.1544546,1.0089588,7.6395979,0.0061788,0.9007560
79,-13,-5.062848011150471,17.553410967536479,-13.0528049,-0.0021488,0.0000000,-0.4195324,-0.1216646,4.0000000,-0.1543174,1.0083511,7.3768983,-0.0890119,0.9289172
80,-13,-5.055391371150471,17.553410967536479,-13.0537071,-0.0014050,0.0000000,-0.3972787,-0.1644617,4.0000000,-0.1454444,1.0077156,7.0920615,-0.1834790,0.9307206
81,-13,-5.047934731150471,17.553410967536479,-13.0545778,-0.0007438,0.0000000,-0.3588676,-0.1966405,4.0000000,-0.1305951,1.0070766,6.7914834,-0.2626860,0.8965834
82,-13,-5.040478091150471,17.553410967536479,-13.0554152,-0.0002479,0.0000000,-0.3103365,-0.2184024,4.0000000,-0.1095726,1.0064641,6.4908400,-0.3272323,0.8313709
83,-13,-5.033021451150471,17.553410967536479,-13.0562191,0.0002479,2.4793389,-0.2565988,-0.2326073,4.0000000,-0.0877583,1.0058795,6.1919646,-0.3774562,0.7452957
84,-13,-5.025564811150471,17.553410967536479,-13.0569878,0.0009091,9.0909090,-0.1999312,-0.2399656,4.0000000,-0.0660439,1.0053359,5.8992577,-0.4138873,0.6419238
85,-13,-5.018108171150471,17.553410967536479,-13.0577230,0.0018182,18.1818180,-0.1448263,-0.2385130,4.0000000,-0.0444541,1.0048466,5.6222372,-0.4325719,0.5254682
86,-13,-5.010651531150471,17.553410967536479,-13.0584259,0.0027273,27.2727280,-0.0977685,-0.2335973,4.0000000,-0.0254143,1.0044074,5.3628654,-0.4417803,0.4194039
87,-13,-5.003194891150471,17.553410967536479,-13.0590973,0.0036364,36.3636360,-0.0604916,-0.2249677,4.0000000,-0.0113879,1.0040184,5.1226530,-0.4385475,0.3270873
88,-13,-4.995738251150471,17.553410967536479,-13.0597391,0.0045455,45.4545441,-0.0354991,-0.2180054,4.0000000,-0.0009883,1.0036811,4.9039073,-0.4350225,0.2635586
89,-13,-4.988281611150471,17.553410967536479,-13.0603552,-0.0045455,0.0000000,-0.0199021,-0.2161362,4.0000000,0.0048022,1.0033817,4.7021718,-0.4370745,0.2284399
90,-13,-4.980824971150471,17.553410967536479,-13.0609446,-0.0036364,0.0000000,-0.0101360,-0.2208338,4.0000000,0.0044559,1.0031060,4.5082741,-0.4461235,0.2167833
91,-13,-4.973368331150471,17.553410967536479,-13.0615082,-0.0027273,0.0000000,-0.0020558,-0.2345442,4.0000000,-0.0046546,1.0028532,4.3234601,-0.4644338,0.2254855
92,-13,-4.965911691150471,17.553410967536479,-13.0620470,-0.0018182,0.0000000,0.0073360,-0.2638848,4.0000000,-0.0218134,1.0026054,4.1337867,-0.5059562,0.2652909
93,-13,-4.958455051150471,17.553410967536479,-13.0625582,-0.0009091,0.0000000,0.0240483,-0.3086195,4.0000000,-0.0536424,1.0023407,3.9220254,-0.5635966,0.3345377
94,-13,-4.950998411150471,17.553410967536479,-13.0630369,-0.0002479,0.0000000,0.0492668,-0.3646190,4.0000000,-0.1004536,1.0020611,3.6823697,-0.6287844,0.4352485
95,-13,-4.943541771150471,17.553410967536479,-13.0634813,0.0000000,0.0000000,0.0803421,-0.4238436,4.0000000,-0.1615194,1.0017624,3.4033351,-0.6861678,0.5602643
96,-13,-4.936085131150471,17.553410967536479,-13.0638838,0.0000000,0.0000000,0.1165572,-0.4882605,4.0000000,-0.2419474,1.0014448,3.0848227,-0.7345735,0.7232693
97,-13,-4.928628491150471,17.553410967536479,-13.0642395,0.0000000,0.0000000,0.1528134,-0.5515287,4.0000000,-0.3415111,1.0011263,2.7220137,-0.7615464,0.9141834
98,-13,-4.921171851150471,17.553410967536479,-13.0645437,0.0000000,0.0000000,0.1806798,-0.6070445,4.0000000,-0.4597909,1.0008165,2.3125155,-0.7542980,1.1157007
99,-13,-5.077761291150471,17.545954327536478,-13.0505610,-0.0043802,0.0000000,-0.3256390,-0.0876193,4.0000000,-0.2135997,1.0099827,8.0650215,0.0383611,0.7105711
100,-13,-5.070304651150471,17.545954327536478,-13.0515461,-0.0034711,0.0000000,-0.3252356,-0.1468140,4.0000000,-0.2353680,1.0094182,7.8353739,-0.0582600,0.7658780
101,-13,-5.062848011150471,17.545954327536478,-13.0525064,-0.0025620,0.0000000,-0.3092483,-0.2042401,4.0000000,-0.2502867,1.0088061,7.5777817,-0.1581935,0.8140945
102,-13,-5.055391371150471,17.545954327536478,-13.0534391,-0.0017355,0.0000000,-0.2771149,-0.2564940,4.0000000,-0.2574346,1.0081563,7.2915964,-0.2555535,0.8444047
103,-13,-5.047934731150471,17.545954327536478,-13.0543385,-0.0009917,0.0000000,-0.2332564,-0.2964947,4.0000000,-0.2561601,1.0074817,6.9855633,-0.3368292,0.8421859
104,-13,-5.040478091150471,17.545954327536478,-13.0552025,-0.0004132,0.0000000,-0.1818340,-0.3265885,4.0000000,-0.2507015,1.0068251,6.6723552,-0.4024755,0.8107238
105,-13,-5.033021451150471,17.545954327536478,-13.0560303,0.0000826,1.6528926,-0.1275738,-0.3465060,4.0000000,-0.2393913,1.0061973,6.3573823,-0.4536207,0.7519273
106,-13,-5.025564811150471,17.545954327536478,-13.0568209,0.0007438,7.4380164,-0.0762890,-0.3569365,4.0000000,-0.2232287,1.0056039,6.0450788,-0.4906444,0.6749701
107,-13,-5.018108171150471,17.545954327536478,-13.0575743,0.0016529,16.5289249,-0.0304903,-0.3573489,4.0000000,-0.2046103,1.0050547,5.7425194,-0.5100876,0.5811709
108,-13,-5.010651531150471,17.545954327536478,-13.0582905,0.0025620,25.6198349,0.0063591,-0.3511313,4.0000000,-0.1848546,1.0045593,5.4548674,-0.5174080,0.4871109
109,-13,-5.003194891150471,17.545954327536478,-13.0589724,0.0034711,34.7107430,0.0308256,-0.3370550,4.0000000,-0.1639863,1.0041238,5.1861458,-0.5101237,0.3973349
110,-13,-4.995738251150471,17.545954327536478,-13.0596218,0.0043802,43.8016510,0.0437786,-0.3214565,4.0000000,-0.1429026,1.0037408,4.9415936,-0.5000104,0.3289408
111,-13,-4.988281611150471,17.545954327536478,-13.0602398,-0.0047107,0.0000000,0.0485687,-0.3082453,4.0000000,-0.1239803,1.0034032,4.7154527,-0.4925103,0.2852307
112,-13,-4.980824971150471,17.545954327536478,-13.0608292,-0.0038017,0.0000000,0.0479151,-0.2989004,4.0000000,-0.1074490,1.0031016,4.5015655,-0.4903517,0.2633606
113,-13,-4.973368331150471,17.545954327536478,-13.0613909,-0.0028926,0.0000000,0.0459830,-0.2965980,4.0000000,-0.0960848,1.0028292,4.3026905,-0.4971112,0.2615124
114,-13,-4.965911691150471,17.545954327536478,-13.0619249,-0.0019835,0.0000000,0.0473627,-0.3094147,4.0000000,-0.0925703,1.0025742,4.1068296,-0.5262590,0.2898134
115,-13,-4.958455051150471,17.545954327536478,-13.0624313,-0.0010744,0.0000000,0.0537530,-0.3339487,4.0000000,-0.0995301,1.0023148,3.8954608,-0.5683672,0.3402695
116,-13,-4.950998411150471,17.545954327536478,-13.0629063,-0.0003306,0.0000000,0.0679628,-0.3711828,4.0000000,-0.1232271,1.0020453,3.6662853,-0.6191385,0.4170798
117,-13,-4.943541771150471,17.545954327536478,-13.0633469,0.0000000,0.0000000,0.0885743,-0.4145394,4.0000000,-0.1661949,1.0017647,3.4054222,-0.6628839,0.5123799
118,-13,-4.936085131150471,17.545954327536478,-13.0637484,0.0000000,0.0000000,0.1132286,-0.4640368,4.0000000,-0.2306873,1.0014724,3.1113665,-0.6973863,0.6373374
119,-13,-4.928628491150471,17.545954327536478,-13.0641069,0.0000000,0.0000000,0.1372672,-0.5143112,4.0000000,-0.3180565,1.0011762,2.7818162,-0.7105659,0.7862788
120,-13,-4.921171851150471,17.545954327536478,-13.0644178,0.0000000,0.0000000,0.1579676,-0.5626864,4.0000000,-0.4300486,1.0008836,2.4081602,-0.6953241,0.9533655
121,-13,-4.913715211150471,17.545954327536478,-13.0646753,0.0000000,0.0000000,0.1632857,-0.5961804,4.0000000,-0.5599374,1.0006150,2.0038555,-0.6324235,1.0977305
122,-13,-5.085217931150471,17.538497687536481,-13.0491772,0.0042975,42.9752083,-0.2421094,-0.0760049,4.0000000,-0.2293367,1.0109342,8.4397125,0.0773269,0.5309843
123,-13,-5.077761291150471,17.538497687536481,-13.0502100,-0.0047934,0.0000000,-0.2433195,-0.1390311,4.0000000,-0.2684063,1.0104545,8.2553034,-0.0096558,0.5895295
124,-13,-5.070304651150471,17.538497687536481,-13.0512238,-0.0038843,0.0000000,-0.2305306,-0.2070897,4.0000000,-0.3034546,1.0098990,8.0333700,-0.1107247,0.6597176
125,-13,-5.062848011150471,17.538497687536481,-13.0522127,-0.0029752,0.0000000,-0.2021093,-0.2726915,4.0000000,-0.3318914,1.0092801,7.7802401,-0.2134917,0.7293704
126,-13,-5.055391371150471,17.538497687536481,-13.0531731,-0.0020661,0.0000000,-0.1617706,-0.3326728,4.0000000,-0.3538299,1.0086138,7.4953055,-0.3115158,0.7935170
127,-13,-5.047934731150471,17.538497687536481,-13.0541000,-0.0012397,0.0000000,-0.1117925,-0.3814349,4.0000000,-0.3669406,1.0079114,7.1829762,-0.3959293,0.8310255
128,-13,-5.040478091150471,17.538497687536481,-13.0549889,-0.0005785,0.0000000,-0.0579049,-0.4171938,4.0000000,-0.3729739,1.0072105,6.8586659,-0.4614136,0.8346245
129,-13,-5.033021451150471,17.538497687536481,-13.0558395,-0.0000826,0.8264463,-0.0041354,-0.4418453,4.0000000,-0.3712156,1.0065348,6.5286713,-0.5124749,0.8083546
130,-13,-5.025564811150471,17.538497687536481,-13.0566502,0.0005785,5.7851238,0.0427777,-0.4555893,4.0000000,-0.3609665,1.0058892,6.1970291,-0.5502121,0.7603159
131,-13,-5.018108171150471,17.538497687536481,-13.0574207,0.0014050,14.0495872,0.0817296,-0.4593328,4.0000000,-0.3458083,1.0052836,5.8711891,-0.5728573,0.6927392
132,-13,-5.010651531150471,17.538497687536481,-13.0581503,0.0023140,23.1404953,0.1084088,-0.4515837,4.0000000,-0.3253316,1.0047326,5.5562429,-0.5778357,0.6081133
