OID_,RegL,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
43,-12,-2.467937291150472,20.140865047536479,-12.8954849,0.0007438,23.9669418,-0.0966677,0.1946618,4.0000000,-0.0966842,1.0221350,11.9413118,0.4860079,0.3658707
44,-12,-2.460480651150472,20.140865047536479,-12.8951530,0.0003306,21.4876041,-0.1024879,0.2104163,4.0000000,-0.0933000,1.0220553,11.9210262,0.5141326,0.4050101
45,-12,-2.453024011150472,20.140865047536479,-12.8948107,0.0000000,19.8347111,-0.1087197,0.2242314,4.0000000,-0.0888017,1.0219750,11.8995724,0.5372646,0.4435510
46,-12,-2.445567371150472,20.140865047536479,-12.8944588,-0.0004132,18.1818180,-0.1162203,0.2365793,4.0000000,-0.0828387,1.0218891,11.8764944,0.5559972,0.4836304
47,-12,-2.438110731150472,20.140865047536479,-12.8940983,-0.0008264,16.5289249,-0.1209977,0.2507343,4.0000000,-0.0715995,1.0217916,11.8505487,0.5730681,0.5230266
48,-12,-2.430654091150472,20.140865047536479,-12.8937273,-0.0012397,14.0495872,-0.1217822,0.2662052,4.0000000,-0.0543731,1.0216770,11.8203325,0.5867835,0.5586023
49,-12,-2.423197451150472,20.140865047536479,-12.8933468,-0.0017355,11.5702477,-0.1082343,0.2906508,4.0000000,-0.0191468,1.0215460,11.7851257,0.6004484,0.5873355
50,-12,-2.415740811150472,20.140865047536479,-12.8929577,-0.0021488,9.9173555,-0.0807442,0.3239454,4.0000000,0.0296159,1.0213882,11.7421923,0.6182749,0.6153738
51,-12,-2.408284171150472,20.140865047536479,-12.8925648,-0.0025620,8.2644625,-0.0492774,0.3567894,4.0000000,0.0788508,1.0212018,11.6909952,0.6347280,0.6432098
52,-12,-2.400827531150472,20.140865047536479,-12.8921690,-0.0029752,6.6115704,-0.0307242,0.3797696,4.0000000,0.1086704,1.0209900,11.6327133,0.6508687,0.6754311
53,-12,-2.393370891150472,20.140865047536479,-12.8917742,-0.0033884,4.9586778,-0.0174915,0.3983512,4.0000000,0.1320470,1.0207641,11.5719233,0.6646553,0.7085481
54,-12,-2.385914251150472,20.140865047536479,-12.8913784,-0.0038017,3.3057852,-0.0003213,0.4171371,4.0000000,0.1586590,1.0205246,11.5048180,0.6756152,0.7370119
55,-12,-2.378457611150472,20.140865047536479,-12.8909845,-0.0041322,2.4793389,0.0329013,0.4428488,4.0000000,0.2005981,1.0202601,11.4320736,0.6850995,0.7604391
56,-12,-2.371000971150472,20.140865047536479,-12.8905954,-0.0044628,1.6528926,0.0845484,0.4771836,4.0000000,0.2583772,1.0199753,11.3519783,0.6959899,0.7853171
57,-12,-2.363544331150472,20.140865047536479,-12.8902140,-0.0047934,0.8264463,0.1447659,0.5131805,4.0000000,0.3208152,1.0196664,11.2649441,0.7055458,0.8095811
58,-12,-2.557416971150472,20.133408407536479,-12.9009066,-0.0042149,3.3057852,-0.0472908,0.0961571,4.0000000,0.1960903,1.0257896,12.8753061,-0.0037761,0.1478972
59,-12,-2.549960331150472,20.133408407536479,-12.9005489,-0.0044628,2.4793389,-0.0312476,0.1369416,4.0000000,0.2325768,1.0253340,12.7617569,0.0413064,0.1549518
