OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
69,-13,-4.294814091150472,19.350461207536480,-13.1707592,-0.0042975,23.1404953,-3.3863220,-0.4916301,4.0000000,0.3847605,1.1086351,25.5782509,-1.3680208,11.2162752
70,-13,-4.287357451150472,19.350461207536480,-13.1679258,0.0028099,42.9752083,-3.4554291,-0.5282198,4.0000000,0.5571076,1.1143079,26.1810989,-1.6135473,11.7107038
71,-13,-4.279900811150472,19.350461207536480,-13.1649389,-0.0003306,33.8842964,-3.5031180,-0.5492939,4.0000000,0.7248535,1.1201669,26.7834625,-1.8234413,12.0794430
72,-13,-4.272444171150472,19.350461207536480,-13.1617966,-0.0034711,26.4462814,-3.5367057,-0.5570399,4.0000000,0.8844707,1.1261414,27.3796864,-1.9985505,12.3518572
73,-13,-4.264987531150472,19.350461207536480,-13.1585016,0.0032231,45.4545441,-3.5321543,-0.5397522,4.0000000,1.0367455,1.1321223,27.9614582,-2.1162500,12.4013252
74,-13,-4.257530891150472,19.350461207536480,-13.1550589,-0.0001653,36.3636360,-3.4847069,-0.4959169,4.0000000,1.1780435,1.1379544,28.5115662,-2.1698773,12.2268829
75,-13,-4.250074251150472,19.350461207536480,-13.1514740,-0.0038017,27.2727280,-3.3902113,-0.4250574,4.0000000,1.3049943,1.1434221,29.0134830,-2.1551092,11.8565416
76,-13,-4.242617611150472,19.350461207536480,-13.1477604,0.0025620,42.9752083,-3.2368510,-0.3278976,4.0000000,1.4148589,1.1483902,29.4596882,-2.0706542,11.3186340
77,-13,-4.235160971150472,19.350461207536480,-13.1439295,-0.0010744,33.8842964,-3.0325074,-0.2066571,4.0000000,1.5103863,1.1526147,29.8310013,-1.9237006,10.7185259
78,-13,-4.227704331150472,19.350461207536480,-13.1399994,0.0050413,49.5867767,-2.7829056,-0.0703258,4.0000000,1.5902677,1.1559807,30.1211586,-1.7309194,10.1514902
79,-13,-4.220247691150472,19.350461207536480,-13.1359863,0.0011570,40.4958687,-2.5028989,0.0739364,4.0000000,1.6576524,1.1584333,30.3298721,-1.5097797,9.7058277
80,-13,-4.212791051150472,19.350461207536480,-13.1319084,-0.0028099,31.4049587,-2.1825120,0.2246062,4.0000000,1.7138865,1.1599160,30.4547920,-1.2646741,9.3653564
81,-13,-4.205334411150472,19.350461207536480,-13.1277828,0.0031405,46.2809906,-1.8294489,0.3779295,4.0000000,1.7622945,1.1604500,30.4984856,-1.0064355,9.1560059
82,-13,-4.197877771150472,19.350461207536480,-13.1236277,-0.0008264,37.1900826,-1.4200941,0.5408738,4.0000000,1.8059245,1.1599940,30.4632435,-0.7241769,9.0649986
83,-13,-4.190421131150472,19.350461207536480,-13.1194611,0.0051240,49.5867767,-0.9460734,0.7174797,4.0000000,1.8490415,1.1584886,30.3372059,-0.4140821,9.1527710
84,-13,-4.182964491150472,19.350461207536480,-13.1153011,0.0011570,40.4958687,-0.4469334,0.8946148,4.0000000,1.8901565,1.1557877,30.1042747,-0.1009271,9.4505396
85,-13,-4.175507851150472,19.350461207536480,-13.1111708,-0.0028926,31.4049587,0.0238675,1.0567207,4.0000000,1.9293234,1.1519655,29.7735195,0.1841181,9.9162445
86,-13,-4.168051211150472,19.350461207536480,-13.1070871,0.0030579,44.6280975,0.4263260,1.1938117,4.0000000,1.9641778,1.1472809,29.3573132,0.4234455,10.4418154
