OID_,RegB,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
46,-13,-3.966721931150471,18.015722647536478,-13.0732555,-0.0014876,21.4876041,-0.2294785,-0.0472152,4.0000000,0.1345328,1.0402598,15.9893503,-0.2289632,0.5449427
47,-13,-3.959265291150472,18.015722647536478,-13.0711508,-0.0037190,12.3966942,-0.2002539,-0.0765587,4.0000000,0.1360159,1.0412827,16.1831703,-0.2891333,0.4925692
48,-13,-3.951808651150472,18.015722647536478,-13.0690203,0.0036364,45.4545441,-0.1750887,-0.1078289,4.0000000,0.1397075,1.0423806,16.3905315,-0.3553652,0.4584170
49,-13,-3.944352011150472,18.015722647536478,-13.0668621,0.0014876,36.3636360,-0.1536926,-0.1361537,4.0000000,0.1470261,1.0435753,16.6134586,-0.4193335,0.4377267
50,-13,-3.936895371150472,18.015722647536478,-13.0646725,-0.0003306,27.2727280,-0.1374092,-0.1586911,4.0000000,0.1569711,1.0448321,16.8437595,-0.4743534,0.4277264
51,-13,-3.929438731150471,18.015722647536478,-13.0624514,-0.0024793,18.1818180,-0.1269221,-0.1732521,4.0000000,0.1721538,1.0461310,17.0792160,-0.5186580,0.4233942
52,-13,-3.921982091150471,18.015722647536478,-13.0601959,-0.0050413,9.0909090,-0.1228770,-0.1772899,4.0000000,0.1920495,1.0474563,17.3144608,-0.5466294,0.4196469
53,-13,-3.914525451150471,18.015722647536478,-13.0579062,0.0024793,42.1487617,-0.1244048,-0.1671356,4.0000000,0.2168967,1.0487283,17.5388336,-0.5511680,0.4084800
54,-13,-3.907068811150471,18.015722647536478,-13.0555840,0.0004132,33.0578499,-0.1348390,-0.1469150,4.0000000,0.2485819,1.0499126,17.7441349,-0.5424120,0.4071330
55,-13,-3.899612171150471,18.015722647536478,-13.0532312,-0.0014876,23.9669418,-0.1515244,-0.1117573,4.0000000,0.2867259,1.0509977,17.9296646,-0.5102406,0.4111852
56,-13,-3.892155531150471,18.015722647536478,-13.0508509,-0.0040496,14.8760328,-0.1715683,-0.0585206,4.0000000,0.3288303,1.0518798,18.0809784,-0.4458715,0.4276248
57,-13,-3.884698891150471,18.015722647536478,-13.0484495,0.0032231,43.8016510,-0.1984848,0.0104217,4.0000000,0.3766991,1.0524498,18.1780739,-0.3558557,0.4913712
58,-13,-3.877242251150471,18.015722647536478,-13.0460339,0.0009091,34.7107430,-0.2313830,0.0907354,4.0000000,0.4257924,1.0527114,18.2223759,-0.2443216,0.6259401
59,-13,-4.011461771150471,18.008266007536481,-13.0857105,0.0007438,29.7520657,-0.5426714,-0.1197654,4.0000000,0.1333498,1.0334675,14.6256428,-0.3728805,1.2949221
60,-13,-4.004005131150471,18.008266007536481,-13.0837688,-0.0010744,20.6611576,-0.4852355,-0.0776503,4.0000000,0.1335840,1.0346384,14.8706570,-0.2888846,1.1349269
61,-13,-3.996548491150471,18.008266007536481,-13.0818005,-0.0030579,11.5702477,-0.4257569,-0.0497949,4.0000000,0.1332560,1.0357207,15.0920372,-0.2328459,0.9885356
62,-13,-3.989091851150471,18.008266007536481,-13.0798063,0.0045455,50.4132233,-0.3636187,-0.0323328,4.0000000,0.1314020,1.0367377,15.2998009,-0.1960676,0.8433919
63,-13,-3.981635211150471,18.008266007536481,-13.0777903,0.0024793,41.3223152,-0.3081574,-0.0285909,4.0000000,0.1297008,1.0376761,15.4851618,-0.1868826,0.7169567
64,-13,-3.974178571150471,18.008266007536481,-13.0757532,0.0006612,32.2314034,-0.2657718,-0.0471825,4.0000000,0.1258782,1.0386246,15.6695595,-0.2202432,0.6261820
65,-13,-3.966721931150471,18.008266007536481,-13.0736933,-0.0011570,23.1404953,-0.2320674,-0.0808167,4.0000000,0.1218498,1.0396680,15.8731117,-0.2834831,0.5671245
66,-13,-3.959265291150472,18.008266007536481,-13.0716066,-0.0033058,14.0495872,-0.1999353,-0.1149103,4.0000000,0.1193347,1.0408058,16.0926266,-0.3491552,0.5215780
67,-13,-3.951808651150472,18.008266007536481,-13.0694914,0.0041322,47.1074371,-0.1725068,-0.1490725,4.0000000,0.1203265,1.0420280,16.3244076,-0.4184716,0.4966916
68,-13,-3.944352011150472,18.008266007536481,-13.0673447,0.0019008,38.0165291,-0.1481641,-0.1815450,4.0000000,0.1221146,1.0433484,16.5695210,-0.4852045,0.4862034
69,-13,-3.936895371150472,18.008266007536481,-13.0651627,0.0000000,28.9256191,-0.1288581,-0.2074782,4.0000000,0.1263024,1.0447332,16.8255138,-0.5412588,0.4846253
70,-13,-3.929438731150471,18.008266007536481,-13.0629454,-0.0020661,19.8347111,-0.1152438,-0.2239665,4.0000000,0.1350816,1.0461574,17.0835819,-0.5830145,0.4833461
71,-13,-3.921982091150471,18.008266007536481,-13.0606899,-0.0045455,10.7438021,-0.1081913,-0.2298976,4.0000000,0.1483843,1.0476207,17.3420963,-0.6081794,0.4782938
