OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
49,-12,-2.288977931150472,18.858322967536477,-12.9849796,0.0000000,0.0000000,-0.1769875,0.0037376,4.0000000,-0.0200550,1.0037844,4.9755878,0.0275302,0.3594151
50,-12,-2.281521291150472,18.858322967536477,-12.9851246,0.0000000,0.0000000,-0.1351735,0.1268008,4.0000000,0.1478476,1.0040058,5.1200838,0.1057539,0.3401437
51,-12,-2.274064651150473,18.858322967536477,-12.9852686,0.0000826,0.8264463,-0.0488786,0.2685384,4.0000000,0.3638875,1.0042619,5.2826567,0.1731894,0.3937334
52,-12,-2.266608011150473,18.858322967536477,-12.9854250,0.0002479,2.4793389,0.0803690,0.4247667,4.0000000,0.6170584,1.0045518,5.4597802,0.2324751,0.5743098
53,-12,-2.259151371150473,18.858322967536477,-12.9856081,0.0004132,4.1322312,0.2449284,0.5901273,4.0000000,0.8863229,1.0048834,5.6543760,0.2939319,0.9279351
54,-12,-2.408284171150473,18.850866327536476,-12.9790735,0.0037190,37.1900826,0.0256389,0.1841499,4.0000000,0.2197477,1.0050795,5.7783518,0.1485521,0.0863801
55,-12,-2.400827531150473,18.850866327536476,-12.9796371,0.0045455,45.4545441,0.0059959,0.0872022,4.0000000,0.1047534,1.0052016,5.8462195,0.0696510,0.0188796
56,-12,-2.393370891150473,18.850866327536476,-12.9802065,-0.0045455,0.0000000,-0.0001740,-0.0087634,4.0000000,-0.0021786,1.0052302,5.8624749,-0.0153481,0.0006667
57,-12,-2.385914251150473,18.850866327536476,-12.9807749,-0.0037190,0.0000000,0.0054689,-0.0989464,4.0000000,-0.0976143,1.0051705,5.8273172,-0.1002786,0.0288102
58,-12,-2.378457611150472,18.850866327536476,-12.9813328,-0.0029752,0.0000000,0.0201855,-0.1821806,4.0000000,-0.1800510,1.0050292,5.7448454,-0.1843102,0.0942553
59,-12,-2.371000971150472,18.850866327536476,-12.9818735,-0.0023140,0.0000000,0.0392439,-0.2538706,4.0000000,-0.2457896,1.0048300,5.6277294,-0.2619516,0.1827379
60,-12,-2.363544331150472,18.850866327536476,-12.9823914,-0.0017355,0.0000000,0.0571241,-0.3106105,5.0000000,-0.2928788,1.0045867,5.4801607,-0.3283422,0.2764941
61,-12,-2.356087691150472,18.850866327536476,-12.9828787,-0.0012397,0.0000000,0.0698948,-0.3569781,4.0000000,-0.3263647,1.0043261,5.3223023,-0.3875914,0.3760184
62,-12,-2.348631051150472,18.850866327536476,-12.9833326,-0.0008264,0.0000000,0.0737048,-0.3909941,4.0000000,-0.3471806,1.0040697,5.1587934,-0.4348076,0.4711374
63,-12,-2.341174411150472,18.850866327536476,-12.9837484,-0.0004959,0.0000000,0.0619836,-0.4104106,4.0000000,-0.3587758,1.0038344,5.0047131,-0.4620454,0.5575973
64,-12,-2.333717771150472,18.850866327536476,-12.9841242,-0.0002479,0.0000000,0.0324963,-0.4049822,4.0000000,-0.3487034,1.0036442,4.8759317,-0.4612611,0.5990219
65,-12,-2.326261131150472,18.850866327536476,-12.9844580,-0.0000826,0.0000000,-0.0119171,-0.3797717,4.0000000,-0.3241619,1.0035172,4.7888489,-0.4353816,0.6086108
66,-12,-2.318804491150472,18.850866327536476,-12.9847527,0.0000000,0.0000000,-0.0641542,-0.3355089,4.0000000,-0.2829554,1.0034660,4.7535610,-0.3880623,0.5861152
67,-12,-2.311347851150472,18.850866327536476,-12.9850101,0.0000000,0.0000000,-0.1189028,-0.2785334,4.0000000,-0.2318258,1.0034900,4.7708530,-0.3252411,0.5554293
68,-12,-2.303891211150472,18.850866327536476,-12.9852371,0.0000000,0.0000000,-0.1645190,-0.2091331,4.0000000,-0.1664403,1.0035859,4.8376942,-0.2518260,0.5109744
69,-12,-2.296434571150472,18.850866327536476,-12.9854364,0.0000826,0.8264463,-0.1953977,-0.1278526,4.0000000,-0.0822233,1.0037462,4.9466205,-0.1734820,0.4628648
70,-12,-2.288977931150472,18.850866327536476,-12.9856167,0.0001653,1.6528926,-0.2005806,-0.0342810,4.0000000,0.0283279,1.0039613,5.0886803,-0.0968899,0.4122556
71,-12,-2.281521291150472,18.850866327536476,-12.9857845,0.0002479,2.4793389,-0.1733995,0.0746506,4.0000000,0.1761745,1.0042194,5.2542176,-0.0268733,0.3756197
