OID_,RegJ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
57,-12,-2.915335691150472,19.969362327536480,-12.9536676,-0.0008264,25.6198349,-0.1001086,0.1684321,4.0000000,0.1783060,1.0486416,17.5357533,0.1585583,0.3805439
58,-12,-2.907879051150472,19.969362327536480,-12.9533949,-0.0010744,24.7933884,-0.0834345,0.1504654,4.0000000,0.1961115,1.0493641,17.6584949,0.1048193,0.3157502
59,-12,-2.900422411150472,19.969362327536480,-12.9531393,-0.0013223,23.9669418,-0.0723180,0.1322405,4.0000000,0.2103271,1.0499945,17.7670650,0.0541539,0.2661047
60,-12,-2.892965771150472,19.969362327536480,-12.9528999,-0.0016529,23.1404953,-0.0641348,0.1136116,4.0000000,0.2194230,1.0505469,17.8615875,0.0078002,0.2252890
61,-12,-2.885509131150472,19.969362327536480,-12.9526777,-0.0019008,22.3140488,-0.0578968,0.0951874,4.0000000,0.2252714,1.0510250,17.9427299,-0.0348966,0.1919462
62,-12,-2.878052491150472,19.969362327536480,-12.9524727,-0.0021488,21.4876041,-0.0531860,0.0801376,4.0000000,0.2341099,1.0514222,18.0098839,-0.0738348,0.1678973
63,-12,-2.870595851150472,19.969362327536480,-12.9522839,-0.0023967,20.6611576,-0.0499851,0.0683364,4.0000000,0.2437577,1.0517374,18.0631523,-0.1070849,0.1516194
64,-12,-2.863139211150472,19.969362327536480,-12.9521122,-0.0026446,19.8347111,-0.0483180,0.0525879,4.0000000,0.2450036,1.0519696,18.1019268,-0.1398278,0.1374897
65,-12,-2.855682571150472,19.969362327536480,-12.9519567,-0.0028926,19.0082645,-0.0456649,0.0311695,4.0000000,0.2309739,1.0521188,18.1267929,-0.1686350,0.1203523
66,-12,-2.848225931150472,19.969362327536480,-12.9518185,-0.0031405,18.1818180,-0.0417252,0.0040245,4.0000000,0.2027382,1.0521877,18.1379795,-0.1946892,0.1033053
67,-12,-2.840769291150472,19.969362327536480,-12.9516926,-0.0033058,18.1818180,-0.0351810,-0.0295366,4.0000000,0.1599137,1.0521864,18.1374950,-0.2189868,0.0882179
68,-12,-2.833312651150472,19.969362327536480,-12.9515781,-0.0034711,18.1818180,-0.0255367,-0.0709340,4.0000000,0.1026117,1.0521145,18.1260357,-0.2444797,0.0815687
69,-12,-2.825856011150472,19.969362327536480,-12.9514694,-0.0035537,18.1818180,-0.0122927,-0.1166477,4.0000000,0.0342103,1.0519676,18.1018829,-0.2675057,0.0884897
70,-12,-2.818399371150472,19.969362327536480,-12.9513636,-0.0037190,17.3553715,0.0027572,-0.1649908,4.0000000,-0.0382366,1.0517508,18.0649586,-0.2917450,0.1167108
71,-12,-2.810942731150472,19.969362327536480,-12.9512539,-0.0038017,16.5289249,0.0209204,-0.2161686,4.0000000,-0.1158714,1.0514604,18.0154667,-0.3164659,0.1674093
72,-12,-2.803486091150472,19.969362327536480,-12.9511366,-0.0038843,15.7024794,0.0414524,-0.2683388,4.0000000,-0.1944543,1.0510986,17.9549198,-0.3422233,0.2417169
73,-12,-2.796029451150472,19.969362327536480,-12.9510059,-0.0039669,14.8760328,0.0655154,-0.3204262,4.0000000,-0.2727794,1.0506800,17.8832970,-0.3680730,0.3347971
74,-12,-2.788572811150472,19.969362327536480,-12.9508562,-0.0041322,14.0495872,0.0879032,-0.3650224,4.0000000,-0.3361984,1.0502291,17.8060379,-0.3938464,0.4311845
75,-12,-2.781116171150472,19.969362327536480,-12.9506817,-0.0042975,13.2231407,0.1006632,-0.3931570,4.0000000,-0.3677718,1.0497574,17.7254219,-0.4185421,0.5035726
76,-12,-2.773659531150472,19.969362327536480,-12.9504805,-0.0046281,11.5702477,0.0969065,-0.3987169,4.0000000,-0.3577805,1.0492599,17.6408272,-0.4396534,0.5301934
77,-12,-2.766202891150472,19.969362327536480,-12.9502525,-0.0049587,9.9173555,0.0767392,-0.3850870,4.0000000,-0.3114955,1.0487336,17.5496407,-0.4586786,0.5206354
78,-12,-2.758746251150472,19.969362327536480,-12.9500008,-0.0052893,8.2644625,0.0460208,-0.3586601,4.0000000,-0.2442393,1.0481625,17.4509525,-0.4730808,0.4929529
79,-12,-2.952618891150472,19.961905687536479,-12.9574909,0.0022314,40.4958687,-0.2558841,0.1815262,4.0000000,0.0918839,1.0438914,16.6873283,0.2711684,0.7581404
80,-12,-2.945162251150472,19.961905687536479,-12.9571638,0.0019835,39.6694221,-0.2225497,0.1610733,4.0000000,0.1119728,1.0449957,16.8875713,0.2101738,0.6516464
81,-12,-2.937705611150472,19.961905687536479,-12.9568529,0.0017355,38.8429756,-0.1907046,0.1339172,4.0000000,0.1205429,1.0460148,17.0721111,0.1472916,0.5420539
82,-12,-2.930248971150472,19.961905687536479,-12.9565573,0.0014876,38.0165291,-0.1613760,0.1059706,4.0000000,0.1272368,1.0469432,17.2388287,0.0847044,0.4429961
83,-12,-2.922792331150472,19.961905687536479,-12.9562750,0.0012397,36.3636360,-0.1359698,0.0789353,4.0000000,0.1356354,1.0477808,17.3851814,0.0222352,0.3600393
84,-12,-2.915335691150472,19.961905687536479,-12.9560070,0.0009917,34.7107430,-0.1169831,0.0567457,4.0000000,0.1509619,1.0485101,17.5114059,-0.0374704,0.3010299
85,-12,-2.907879051150472,19.961905687536479,-12.9557533,0.0007438,33.8842964,-0.1048098,0.0383436,4.0000000,0.1703880,1.0491382,17.6221485,-0.0937009,0.2637563
86,-12,-2.900422411150472,19.961905687536479,-12.9555130,0.0004959,33.0578499,-0.0982765,0.0201124,4.0000000,0.1867912,1.0496848,17.7157516,-0.1465664,0.2425875
87,-12,-2.892965771150472,19.961905687536479,-12.9552889,0.0002479,32.2314034,-0.0939720,0.0006130,4.0000000,0.1964127,1.0501643,17.7963810,-0.1951868,0.2291782
88,-12,-2.885509131150472,19.961905687536479,-12.9550791,0.0000826,31.4049587,-0.0903417,-0.0184044,4.0000000,0.2016658,1.0505741,17.8648243,-0.2384746,0.2204520
89,-12,-2.878052491150472,19.961905687536479,-12.9548836,-0.0000826,30.5785122,-0.0881271,-0.0353311,4.0000000,0.2074925,1.0509014,17.9220066,-0.2781547,0.2177018
