OID_,RegH,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
60,-12,-3.332907531150472,19.104392087536478,-12.9844551,0.0008264,33.0578499,1.5806680,2.0399022,4.0000000,2.0857472,1.0534880,18.3543568,1.9940573,16.7193584
61,-12,-3.325450891150472,19.104392087536478,-12.9866753,0.0027273,42.1487617,0.2591144,1.7677323,4.0000000,1.9434305,1.0536972,18.3940144,1.5920340,14.9815063
62,-12,-3.317994251150472,19.104392087536478,-12.9889164,0.0047107,51.2396698,-1.0876997,1.4613575,4.0000000,1.7825079,1.0530220,18.2912712,1.1402071,13.4573021
63,-12,-3.310537611150472,19.104392087536478,-12.9911518,-0.0031405,14.8760328,-2.4048293,1.1237358,4.0000000,1.5999348,1.0513501,18.0196114,0.6475367,12.3402891
64,-12,-3.303080971150472,19.104392087536478,-12.9933529,-0.0009091,23.9669418,-3.5542650,0.7790365,4.0000000,1.4023573,1.0486337,17.5538960,0.1557157,11.7755852
65,-12,-3.295624331150472,19.104392087536478,-12.9954910,0.0010744,33.0578499,-4.4240937,0.4500346,4.0000000,1.1953101,1.0449679,16.9029198,-0.2952408,11.6730471
66,-12,-3.288167691150472,19.104392087536478,-12.9975376,0.0027273,42.1487617,-4.9674234,0.1498860,4.0000000,0.9818530,1.0405868,16.0846767,-0.6820811,11.8131170
67,-12,-3.280711051150472,19.104392087536478,-12.9994698,0.0043802,51.2396698,-5.1849008,-0.1092768,4.0000000,0.7643813,1.0357652,15.1209078,-0.9829350,11.9677982
68,-13,-3.273254411150472,19.104392087536478,-13.0012712,-0.0040496,2.4793389,-5.1278558,-0.3243596,4.0000000,0.5507773,1.0308073,14.0558529,-1.1994965,11.9825850
69,-13,-3.265797771150472,19.104392087536478,-13.0029306,-0.0025620,4.9586778,-4.8823338,-0.5032591,4.0000000,0.3378890,1.0259339,12.9170971,-1.3444072,11.8479462
70,-13,-3.258341131150472,19.104392087536478,-13.0044384,-0.0012397,9.0909090,-4.5117116,-0.6488860,4.0000000,0.1295137,1.0213032,11.7224588,-1.4272857,11.5588350
71,-13,-3.250884491150472,19.104392087536478,-13.0057917,0.0000826,14.8760328,-4.0470953,-0.7555698,4.0000000,-0.0680096,1.0170677,10.5027905,-1.4431299,11.0294733
72,-13,-3.243427851150471,19.104392087536478,-13.0069895,0.0016529,23.9669418,-3.5605383,-0.8292207,4.0000000,-0.2514565,1.0133189,9.2839994,-1.4069850,10.3536005
73,-13,-3.235971211150471,19.104392087536478,-13.0080347,0.0030579,33.0578499,-3.0705831,-0.8703708,4.0000000,-0.4144087,1.0100930,8.0831470,-1.3263328,9.5124569
74,-13,-3.228514571150471,19.104392087536478,-13.0089321,0.0042149,42.1487617,-2.6108744,-0.8796424,4.0000000,-0.5511104,1.0074052,6.9202251,-1.2081742,8.5464544
75,-13,-3.139034891150471,19.104392087536478,-13.0114384,-0.0013223,0.0000000,-0.5510311,-0.3431844,3.0000000,-1.0169274,1.0008044,2.2814448,0.3305586,1.5796350
76,-13,-3.131578251150471,19.104392087536478,-13.0112000,-0.0018182,0.0000000,-0.5138273,-0.2870183,3.0000000,-0.9509220,1.0011202,2.7020407,0.3768854,1.3649310
77,-13,-3.124121611150471,19.104392087536478,-13.0109272,-0.0023967,0.0000000,-0.4756044,-0.2340883,3.0000000,-0.8884684,1.0014533,3.0818591,0.4202919,1.1789814
78,-13,-3.116664971150471,19.104392087536478,-13.0106239,-0.0030579,0.0000000,-0.4358313,-0.1883200,3.0000000,-0.8294021,1.0017898,3.4219186,0.4527621,1.0225223
79,-13,-3.109208331150471,19.104392087536478,-13.0102978,-0.0038017,0.0000000,-0.3868125,-0.1536299,3.0000000,-0.7690601,1.0021224,3.7289975,0.4618003,0.8770478
80,-12,-3.422387211150471,19.096935447536477,-12.9652624,0.0014876,29.7520657,3.7980430,2.4723060,4.0000000,2.1162214,1.0398799,15.9134932,2.8283908,19.4268856
81,-12,-3.414930571150471,19.096935447536477,-12.9665718,0.0028926,37.1900826,3.7476301,2.4783549,4.0000000,2.0500610,1.0413125,16.1855125,2.9066486,19.7162056
82,-12,-3.407473931150471,19.096935447536477,-12.9679375,0.0043802,45.4545441,3.8846545,2.5073373,4.0000000,2.0225277,1.0426027,16.4237022,2.9921467,20.1030025
83,-12,-3.400017291150472,19.096935447536477,-12.9693613,0.0058678,53.7190094,4.1900969,2.5561008,4.0000000,2.0302553,1.0438374,16.6486702,3.0819461,20.5838528
84,-12,-3.392560651150472,19.096935447536477,-12.9708481,-0.0026446,14.8760328,4.6328864,2.6200488,3.0000000,2.0662239,1.0451257,16.8799591,3.1738739,21.1532516
85,-12,-3.385104011150472,19.096935447536477,-12.9724073,-0.0011570,20.6611576,5.0806870,2.6821916,3.0000000,2.1093450,1.0465542,17.1344566,3.2550383,21.7264214
86,-12,-3.377647371150472,19.096935447536477,-12.9740477,0.0004959,28.0991745,5.3726902,2.7208946,3.0000000,2.1362400,1.0481551,17.4201565,3.3055494,22.1260719
87,-12,-3.370190731150472,19.096935447536477,-12.9757767,0.0022314,37.1900826,5.3665376,2.7184434,3.0000000,2.1281705,1.0499047,17.7243042,3.3087165,22.1988430
88,-12,-3.362734091150472,19.096935447536477,-12.9775982,0.0040496,46.2809906,4.9874034,2.6629620,4.0000000,2.0790250,1.0516776,18.0306263,3.2468989,21.8191624
89,-12,-3.355277451150472,19.096935447536477,-12.9795094,0.0058678,54.5454559,4.2834935,2.5571895,4.0000000,1.9958339,1.0532906,18.3048096,3.1185451,21.0062656
90,-12,-3.347820811150472,19.096935447536477,-12.9815025,-0.0022314,19.8347111,3.3743401,2.4121110,4.0000000,1.8906938,1.0546060,18.5246906,2.9335284,19.8651676
91,-12,-3.340364171150472,19.096935447536477,-12.9835672,-0.0001653,28.9256191,2.3176785,2.2320502,4.0000000,1.7706211,1.0555333,18.6810894,2.6934795,18.5101242
92,-12,-3.332907531150472,19.096935447536477,-12.9856901,0.0019008,38.0165291,1.1108924,2.0097537,4.0000000,1.6322358,1.0559192,18.7487392,2.3872719,16.9800167
93,-12,-3.325450891150472,19.096935447536477,-12.9878531,0.0038017,47.1074371,-0.1936220,1.7474568,4.0000000,1.4773355,1.0555916,18.7027588,2.0175781,15.4463978
94,-12,-3.317994251150472,19.096935447536477,-12.9900351,-0.0042149,11.5702477,-1.5312637,1.4485587,4.0000000,1.3054320,1.0544273,18.5209103,1.5916855,14.0917320
95,-12,-3.310537611150472,19.096935447536477,-12.9922104,-0.0020661,19.0082645,-2.8431523,1.1180195,4.0000000,1.1163633,1.0523120,18.1775856,1.1196756,13.1297827
96,-12,-3.303080971150472,19.096935447536477,-12.9943514,0.0000000,28.0991745,-3.9915535,0.7764309,4.0000000,0.9122905,1.0491886,17.6488075,0.6405714,12.6617498
97,-12,-3.295624331150472,19.096935447536477,-12.9964266,0.0018182,37.1900826,-4.8602314,0.4484673,4.0000000,0.7010076,1.0451804,16.9395123,0.1959270,12.6188107
98,-12,-3.288167691150472,19.096935447536477,-12.9984112,0.0034711,46.2809906,-5.3905602,0.1506184,4.0000000,0.4897946,1.0405283,16.0695419,-0.1885578,12.7711287
99,-13,-3.280711051150472,19.096935447536477,-13.0002823,-0.0048760,2.4793389,-5.5981283,-0.1078487,4.0000000,0.2797303,1.0354939,15.0616980,-0.4954277,12.9175291
100,-13,-3.273254411150472,19.096935447536477,-13.0020218,-0.0033058,4.9586778,-5.5268612,-0.3242676,4.0000000,0.0742496,1.0303717,13.9556646,-0.7227849,12.9014111
101,-13,-3.265797771150472,19.096935447536477,-13.0036192,-0.0018182,8.2644625,-5.2688179,-0.5043494,4.0000000,-0.1243146,1.0253884,12.7795916,-0.8843843,12.7332211
102,-13,-3.258341131150472,19.096935447536477,-13.0050669,-0.0004959,13.2231407,-4.8755941,-0.6490474,4.0000000,-0.3147055,1.0206933,11.5505562,-0.9833893,12.3739300
103,-13,-3.250884491150472,19.096935447536477,-13.0063591,0.0008264,19.8347111,-4.3914270,-0.7563248,4.0000000,-0.4925517,1.0164250,10.3010731,-1.0200980,11.7875023
104,-13,-3.243427851150471,19.096935447536477,-13.0074968,0.0023140,28.9256191,-3.8805425,-0.8301102,4.0000000,-0.6557499,1.0126812,9.0558491,-1.0044705,11.0437593
105,-13,-3.235971211150471,19.096935447536477,-13.0084829,0.0036364,38.0165291,-3.3684621,-0.8697307,4.0000000,-0.7986479,1.0094780,7.8282175,-0.9408136,10.1306763
106,-13,-3.228514571150471,19.096935447536477,-13.0093203,0.0047107,47.1074371,-2.8795760,-0.8738720,4.0000000,-0.9134079,1.0068393,6.6446276,-0.8343360,9.0566587
107,-13,-3.221057931150471,19.096935447536477,-13.0100203,-0.0043802,0.0000000,-2.4314044,-0.8518741,4.0000000,-0.9943841,1.0047498,5.5295811,-0.7093641,7.9164910
108,-13,-3.213601291150471,19.096935447536477,-13.0105915,-0.0034711,0.0000000,-2.0428324,-0.8165768,4.0000000,-1.0439737,1.0031433,4.4879532,-0.5891798,6.8409619
109,-13,-3.153948171150471,19.096935447536477,-13.0116644,-0.0006612,0.0000000,-0.6972800,-0.4258597,4.0000000,-0.9497843,1.0003725,1.5271101,0.0980648,2.1236358
110,-13,-3.146491531150471,19.096935447536477,-13.0114756,-0.0011570,0.0000000,-0.6439165,-0.3615993,4.0000000,-0.9042418,1.0006425,2.0321488,0.1810433,1.8164024
111,-13,-3.139034891150471,19.096935447536477,-13.0112391,-0.0017355,0.0000000,-0.5996462,-0.2997954,4.0000000,-0.8660809,1.0009520,2.4854097,0.2664901,1.5659654
112,-13,-3.131578251150471,19.096935447536477,-13.0109625,-0.0023140,0.0000000,-0.5582618,-0.2426752,4.0000000,-0.8292431,1.0012854,2.8959198,0.3438927,1.3604826
113,-13,-3.124121611150471,19.096935447536477,-13.0106506,-0.0029752,0.0000000,-0.5160174,-0.1880584,4.0000000,-0.7896277,1.0016313,3.2655704,0.4135109,1.1826363
114,-13,-3.116664971150471,19.096935447536477,-13.0103111,-0.0037190,0.0000000,-0.4713112,-0.1393820,4.0000000,-0.7477636,1.0019743,3.5956249,0.4689996,1.0297587
115,-13,-3.109208331150471,19.096935447536477,-13.0099497,0.0054545,54.5454559,-0.4177576,-0.1000801,3.0000000,-0.6987851,1.0023109,3.8912890,0.4986250,0.8848248
116,-13,-3.101751691150471,19.096935447536477,-13.0095701,0.0045455,45.4545441,-0.3586881,-0.0728368,3.0000000,-0.6448268,1.0026339,4.1536660,0.4991531,0.7473034
117,-13,-3.094295051150471,19.096935447536477,-13.0091772,0.0036364,36.3636360,-0.2928183,-0.0561830,3.0000000,-0.5833355,1.0029380,4.3891058,0.4709695,0.6060465
118,-12,-3.437300491150471,19.089478807536480,-12.9646006,0.0008264,27.2727280,3.2139602,2.2781608,4.0000000,2.0555024,1.0437207,16.6500607,2.5008192,16.8496342
119,-12,-3.429843851150471,19.089478807536480,-12.9658117,0.0020661,33.0578499,3.1026750,2.2782135,4.0000000,1.9270059,1.0457156,17.0103626,2.6294212,17.1157703
120,-12,-3.422387211150471,19.089478807536480,-12.9670773,0.0033058,38.8429756,3.0041239,2.2820308,4.0000000,1.8176775,1.0473818,17.3047981,2.7463841,17.4224052
121,-12,-3.414930571150471,19.089478807536480,-12.9683924,0.0047107,46.2809906,2.9998662,2.2996812,4.0000000,1.7392341,1.0487612,17.5415192,2.8601282,17.8006802
122,-12,-3.407473931150471,19.089478807536480,-12.9697571,0.0061157,53.7190094,3.1668169,2.3399508,4.0000000,1.7032211,1.0499389,17.7404423,2.9766803,18.2787018
123,-12,-3.400017291150472,19.089478807536480,-12.9711723,-0.0023967,17.3553715,3.4878268,2.3985865,4.0000000,1.7030511,1.0510086,17.9192467,3.0941217,18.8306522
124,-12,-3.392560651150472,19.089478807536480,-12.9726448,-0.0009091,22.3140488,3.9212461,2.4692090,4.0000000,1.7302178,1.0520701,18.0936279,3.2082000,19.4419250
125,-12,-3.385104011150472,19.089478807536480,-12.9741821,0.0005785,28.9256191,4.3511672,2.5368207,4.0000000,1.7629242,1.0532022,18.2814655,3.3107169,20.0522232
126,-12,-3.377647371150472,19.089478807536480,-12.9757938,0.0022314,37.1900826,4.6240449,2.5808852,4.0000000,1.7752519,1.0544379,18.4858952,3.3865182,20.5120602
127,-12,-3.370190731150472,19.089478807536480,-12.9774876,0.0038843,45.4545441,4.6101847,2.5845132,3.0000000,1.7485782,1.0557349,18.6978092,3.4204481,20.6780834
128,-12,-3.362734091150472,19.089478807536480,-12.9792681,0.0056198,53.7190094,4.2412772,2.5375063,3.0000000,1.6759353,1.0569725,18.9010944,3.3990774,20.4584084
129,-12,-3.355277451150472,19.089478807536480,-12.9811316,-0.0025620,19.0082645,3.5554345,2.4404762,3.0000000,1.5656412,1.0579931,19.0673256,3.3153114,19.8416939
130,-12,-3.347820811150472,19.089478807536480,-12.9830713,-0.0006612,26.4462814,2.6742728,2.3060400,4.0000000,1.4336100,1.0586817,19.1779575,3.1784699,18.9505081
131,-12,-3.340364171150472,19.089478807536480,-12.9850769,0.0013223,35.5371895,1.6510314,2.1376996,4.0000000,1.2879390,1.0589566,19.2243977,2.9874601,17.8773842
132,-12,-3.332907531150472,19.089478807536480,-12.9871368,0.0033058,44.6280975,0.4879100,1.9294121,4.0000000,1.1263361,1.0586721,19.1861801,2.7324882,16.6678486
133,-12,-3.325450891150472,19.089478807536480,-12.9892321,0.0052066,53.7190094,-0.7789543,1.6789016,4.0000000,0.9474379,1.0576954,19.0397758,2.4103653,15.4309978
134,-12,-3.317994251150472,19.089478807536480,-12.9913425,-0.0028926,16.5289249,-2.0791106,1.3904433,4.0000000,0.7550924,1.0559385,18.7644539,2.0257943,14.3485613
135,-12,-3.310537611150472,19.089478807536480,-12.9934454,-0.0008264,24.7933884,-3.3547385,1.0700053,4.0000000,0.5487622,1.0532800,18.3356209,1.5912484,13.6371965
136,-12,-3.303080971150472,19.089478807536480,-12.9955111,0.0010744,33.8842964,-4.4642181,0.7374859,4.0000000,0.3337338,1.0496712,17.7309361,1.1412381,13.3574419
137,-12,-3.295624331150472,19.089478807536480,-12.9975100,0.0028099,42.9752083,-5.2990704,0.4148262,4.0000000,0.1165372,1.0452722,16.9539547,0.7131153,13.4316101
138,-12,-3.288167691150472,19.089478807536480,-12.9994183,0.0044628,52.0661163,-5.7983570,0.1223599,4.0000000,-0.0945534,1.0403115,16.0238495,0.3392732,13.6493988
139,-13,-3.280711051150472,19.089478807536480,-13.0012121,-0.0038843,4.9586778,-5.9799876,-0.1309676,4.0000000,-0.2963678,1.0350455,14.9660711,0.0344326,13.8161745
140,-13,-3.273254411150472,19.089478807536480,-13.0028763,-0.0023967,8.2644625,-5.8817196,-0.3440511,4.0000000,-0.4882398,1.0297627,13.8152151,-0.1998623,13.7752352
141,-13,-3.265797771150472,19.089478807536480,-13.0043983,-0.0009917,12.3966942,-5.5964050,-0.5220383,4.0000000,-0.6693721,1.0246812,12.5984278,-0.3747045,13.5579538
142,-13,-3.258341131150472,19.089478807536480,-13.0057726,0.0003306,18.1818180,-5.1730475,-0.6632779,4.0000000,-0.8386425,1.0199423,11.3380909,-0.4879134,13.1194792
143,-13,-3.250884491150472,19.089478807536480,-13.0069923,0.0016529,25.6198349,-4.6686807,-0.7686785,4.0000000,-0.9942900,1.0156753,10.0624132,-0.5430670,12.4728584
144,-13,-3.243427851150471,19.089478807536480,-13.0080595,0.0030579,34.7107430,-4.1327600,-0.8404881,4.0000000,-1.1339983,1.0119673,8.7933855,-0.5469779,11.6532860
145,-13,-3.235971211150471,19.089478807536480,-13.0089760,0.0042975,43.8016510,-3.5991595,-0.8758457,4.0000000,-1.2536128,1.0088215,7.5469460,-0.4980788,10.6544514
146,-13,-3.228514571150471,19.089478807536480,-13.0097466,0.0052893,52.8925629,-3.0787017,-0.8742109,4.0000000,-1.3435997,1.0062606,6.3506656,-0.4048221,9.4649343
147,-13,-3.221057931150471,19.089478807536480,-13.0103807,-0.0038017,0.0000000,-2.6005461,-0.8447593,4.0000000,-1.3993402,1.0042596,5.2271996,-0.2901785,8.2069283
148,-13,-3.213601291150471,19.089478807536480,-13.0108891,-0.0029752,0.0000000,-2.1894672,-0.8013875,4.0000000,-1.4302863,1.0027474,4.1842895,-0.1724887,7.0333023
149,-13,-3.206144651150471,19.089478807536480,-13.0112829,-0.0022314,0.0000000,-1.8430210,-0.7531571,4.0000000,-1.4459015,1.0016494,3.2230406,-0.0604127,5.9995117
