OID_,DEM_Large_S3_Clip20,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
126,-13,-4.399207051150471,20.506240407536477,-13.2276478,0.0000826,45.4545441,5.4272881,-2.5017416,4.0000000,-1.6672554,1.4190801,45.1941490,-3.3362277,46.2042046
127,-13,-4.391750411150471,20.506240407536477,-13.2288637,0.0014050,47.1074371,5.3597188,-2.5002058,4.0000000,-1.6099924,1.4118764,44.9015884,-3.3904192,44.2207794
128,-13,-4.384293771150471,20.506240407536477,-13.2298355,0.0024793,48.7603302,5.1934962,-2.4784887,4.0000000,-1.5373812,1.4062893,44.6715050,-3.4195962,41.8929977
129,-13,-4.376837131150471,20.506240407536477,-13.2305746,-0.0066942,35.5371895,4.9153857,-2.4361205,4.0000000,-1.4435825,1.4022506,44.5040054,-3.4286585,39.2100868
130,-13,-4.369380491150471,20.506240407536477,-13.2310944,-0.0061157,36.3636360,4.5445695,-2.3763664,4.0000000,-1.3324072,1.3996569,44.3973427,-3.4203258,36.3553085
131,-13,-4.361923851150471,20.506240407536477,-13.2314129,-0.0057025,36.3636360,4.1153526,-2.3060095,4.0000000,-1.2101195,1.3983741,44.3440819,-3.4018998,33.5841370
132,-13,-4.354467211150471,20.506240407536477,-13.2315474,-0.0054545,36.3636360,3.6571937,-2.2301848,5.0000000,-1.0835481,1.3982387,44.3392143,-3.3768218,31.0767231
133,-13,-4.347010571150471,20.506240407536477,-13.2315178,-0.0053719,36.3636360,3.2071157,-2.1567693,4.0000000,-0.9610077,1.3990810,44.3752480,-3.3525310,29.0370770
134,-13,-4.339553931150471,20.506240407536477,-13.2313442,-0.0055372,36.3636360,2.7985039,-2.0915160,4.0000000,-0.8522162,1.4007332,44.4462051,-3.3308158,27.5622902
135,-13,-4.332097291150471,20.506240407536477,-13.2310438,-0.0057851,36.3636360,2.4529386,-2.0395784,4.0000000,-0.7626328,1.4031124,44.5460091,-3.3165240,26.6859035
136,-13,-4.324640651150471,20.506240407536477,-13.2306299,-0.0061157,36.3636360,2.2098517,-2.0077226,4.0000000,-0.7039485,1.4061502,44.6712112,-3.3114967,26.4623814
137,-13,-4.317184011150472,20.506240407536477,-13.2301159,-0.0065289,36.3636360,2.0785549,-1.9974822,4.0000000,-0.6784368,1.4097695,44.8198547,-3.3165276,26.8297577
138,-13,-4.309727371150472,20.506240407536477,-13.2295036,0.0028099,49.5867767,2.0703814,-2.0091271,4.0000000,-0.6880240,1.4139416,44.9907494,-3.3302302,27.7230930
139,-13,-4.302270731150472,20.506240407536477,-13.2287951,0.0020661,48.7603302,2.1996274,-2.0431888,4.0000000,-0.7343032,1.4186550,45.1814842,-3.3520744,29.1340008
140,-13,-4.294814091150472,20.506240407536477,-13.2279816,0.0009917,47.1074371,2.4838855,-2.0994606,4.0000000,-0.8195056,1.4238796,45.3909340,-3.3794158,31.1038609
141,-13,-4.287357451150472,20.506240407536477,-13.2270498,-0.0000826,45.4545441,2.9030426,-2.1727550,4.0000000,-0.9352929,1.4295690,45.6162529,-3.4102168,33.6343155
142,-13,-4.279900811150472,20.506240407536477,-13.2259817,-0.0013223,43.8016510,3.4377849,-2.2587328,4.0000000,-1.0750662,1.4357148,45.8566246,-3.4423995,36.7941360
143,-13,-4.272444171150472,20.506240407536477,-13.2247524,-0.0027273,42.1487617,4.0578561,-2.3522534,4.0000000,-1.2305974,1.4423395,46.1112328,-3.4739096,40.6310730
144,-13,-4.264987531150472,20.506240407536477,-13.2233343,-0.0042975,40.4958687,4.7109380,-2.4468393,4.0000000,-1.3887113,1.4494904,46.3824463,-3.5049672,45.0913925
145,-13,-4.257530891150472,20.506240407536477,-13.2216949,-0.0060331,38.8429756,5.3177471,-2.5332196,4.0000000,-1.5297844,1.4572592,46.6735916,-3.5366547,49.8272362
146,-13,-4.250074251150472,20.506240407536477,-13.2198038,0.0019835,47.1074371,5.8167834,-2.6048861,4.0000000,-1.6405566,1.4657180,46.9850998,-3.5692155,54.4341812
