OID_,RegC,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
44,-12,-3.653543051150471,18.604797207536478,-12.9938498,-0.0007438,23.1404953,0.1409676,0.4488059,4.0000000,0.6712701,1.0371612,15.4138832,0.2263417,0.6418934
45,-12,-3.646086411150471,18.604797207536478,-12.9943056,-0.0004132,24.7933884,0.0751961,0.3454737,4.0000000,0.4398848,1.0373490,15.4537926,0.2510626,0.3908629
46,-12,-3.638629771150471,18.604797207536478,-12.9947929,0.0000000,26.4462814,-0.0146457,0.2421131,4.0000000,0.2045607,1.0371970,15.4258804,0.2796655,0.3027423
47,-12,-3.631173131150471,18.604797207536478,-12.9953022,0.0004132,28.0991745,-0.1308589,0.1333761,4.0000000,-0.0402518,1.0366887,15.3231401,0.3070041,0.3772669
48,-12,-3.623716491150471,18.604797207536478,-12.9958191,0.0008264,29.7520657,-0.2689968,0.0225821,4.0000000,-0.2872186,1.0358127,15.1443558,0.3323829,0.6203235
49,-12,-3.616259851150471,18.604797207536478,-12.9963341,0.0014050,32.2314034,-0.4266263,-0.0836149,4.0000000,-0.5221183,1.0345758,14.8865576,0.3548886,1.0227143
50,-12,-3.608803211150471,18.604797207536478,-12.9968328,0.0019835,34.7107430,-0.6014213,-0.1749316,4.0000000,-0.7275812,1.0330184,14.5547733,0.3777180,1.5403372
51,-12,-3.601346571150471,18.604797207536478,-12.9973078,0.0023967,36.3636360,-0.7851899,-0.2457212,4.0000000,-0.8872594,1.0311961,14.1550922,0.3958171,2.0957730
52,-12,-3.593889931150471,18.604797207536478,-12.9977493,0.0028099,38.0165291,-0.9727197,-0.2979380,4.0000000,-1.0053198,1.0291839,13.6992016,0.4094439,2.6388624
53,-12,-3.586433291150471,18.604797207536478,-12.9981546,0.0032231,39.6694221,-1.1540338,-0.3341835,4.0000000,-1.0863149,1.0270528,13.1950512,0.4179478,3.1280336
54,-12,-3.578976651150471,18.604797207536478,-12.9985189,0.0035537,41.3223152,-1.3140848,-0.3620825,4.0000000,-1.1424519,1.0248501,12.6561527,0.4182870,3.5418925
55,-12,-3.571520011150471,18.604797207536478,-12.9988394,0.0038017,42.1487617,-1.4581491,-0.3859298,4.0000000,-1.1827356,1.0226436,12.0893936,0.4108760,3.9037969
56,-12,-3.564063371150471,18.604797207536478,-12.9991140,0.0040496,42.9752083,-1.5857520,-0.4055265,4.0000000,-1.2069801,1.0204771,11.5014544,0.3959271,4.2116256
57,-12,-3.556606731150471,18.604797207536478,-12.9993382,0.0042149,43.8016510,-1.7003305,-0.4065306,4.0000000,-1.1859142,1.0183700,10.9004478,0.3728531,4.4193354
58,-12,-3.549150091150471,18.604797207536478,-12.9995108,0.0043802,44.6280975,-1.8009235,-0.3845318,4.0000000,-1.1110278,1.0163635,10.2929506,0.3419642,4.5139122
59,-12,-3.541693451150471,18.604797207536478,-12.9996338,0.0045455,45.4545441,-1.8728945,-0.3430109,4.0000000,-0.9925460,1.0144837,9.6868334,0.3065242,4.4932890
60,-12,-3.534236811150471,18.604797207536478,-12.9997101,0.0045455,45.4545441,-1.9229770,-0.2908478,4.0000000,-0.8493000,1.0127351,9.0883036,0.2676043,4.4187412
61,-12,-3.526780171150471,18.604797207536478,-12.9997444,0.0045455,45.4545441,-1.9481827,-0.2383758,5.0000000,-0.7019450,1.0111279,8.4995804,0.2251934,4.3202481
62,-12,-3.519323531150471,18.604797207536478,-12.9997406,0.0044628,44.6280975,-1.9600265,-0.1937530,4.0000000,-0.5677020,1.0096626,7.9213681,0.1801960,4.2351842
63,-12,-3.660999691150471,18.597340567536481,-12.9954462,0.0007438,30.5785122,-0.0284381,0.3831533,4.0000000,0.7952247,1.0369531,15.3748226,-0.0289181,0.8004363
64,-12,-3.653543051150471,18.597340567536481,-12.9958630,0.0010744,32.2314034,-0.0345880,0.2593533,4.0000000,0.5364306,1.0373422,15.4557247,-0.0177240,0.4173884
65,-12,-3.646086411150471,18.597340567536481,-12.9963150,0.0014050,33.8842964,-0.0612403,0.1473487,4.0000000,0.2963087,1.0374004,15.4684668,-0.0016113,0.2504084
66,-12,-3.638629771150471,18.597340567536481,-12.9967909,0.0018182,35.5371895,-0.1096838,0.0377073,4.0000000,0.0582872,1.0371025,15.4090862,0.0171274,0.2608208
67,-12,-3.631173131150471,18.597340567536481,-12.9972801,0.0022314,37.1900826,-0.1782167,-0.0741835,4.0000000,-0.1848015,1.0364387,15.2753010,0.0364344,0.4398408
68,-12,-3.623716491150471,18.597340567536481,-12.9977703,0.0026446,38.8429756,-0.2646483,-0.1852736,4.0000000,-0.4243377,1.0354135,15.0641088,0.0537904,0.7814561
69,-12,-3.616259851150471,18.597340567536481,-12.9982481,0.0031405,41.3223152,-0.3696902,-0.2888562,4.0000000,-0.6454407,1.0340532,14.7784300,0.0677283,1.2605263
70,-12,-3.608803211150471,18.597340567536481,-12.9987049,0.0036364,43.8016510,-0.4947232,-0.3763568,4.0000000,-0.8327228,1.0324038,14.4225626,0.0800092,1.8203394
71,-12,-3.601346571150471,18.597340567536481,-12.9991283,0.0039669,45.4545441,-0.6370991,-0.4399015,4.0000000,-0.9680659,1.0305276,14.0061102,0.0882629,2.3763471
72,-12,-3.593889931150471,18.597340567536481,-12.9995136,0.0042975,47.1074371,-0.7945102,-0.4801536,4.0000000,-1.0548345,1.0285003,13.5398579,0.0945273,2.8825929
73,-12,-3.586433291150471,18.597340567536481,-12.9998569,0.0046281,48.7603302,-0.9501911,-0.5030169,4.0000000,-1.1028972,1.0263816,13.0347290,0.0968634,3.3048818
74,-13,-3.578976651150471,18.597340567536481,-13.0001545,-0.0051240,0.0000000,-1.0916369,-0.5186532,4.0000000,-1.1281555,1.0242295,12.5002003,0.0908490,3.6559696
75,-13,-3.571520011150471,18.597340567536481,-13.0004053,-0.0049587,0.0000000,-1.2157688,-0.5292544,4.0000000,-1.1377963,1.0221024,11.9453344,0.0792876,3.9399996
76,-13,-3.564063371150471,18.597340567536481,-13.0006084,-0.0047934,0.0000000,-1.3217230,-0.5365028,4.0000000,-1.1338981,1.0200279,11.3768377,0.0608925,4.1644893
77,-13,-3.556606731150471,18.597340567536481,-13.0007591,-0.0047107,0.0000000,-1.4224960,-0.5284698,4.0000000,-1.0883023,1.0180362,10.8028307,0.0313626,4.3021617
78,-13,-3.549150091150471,18.597340567536481,-13.0008564,-0.0046281,0.0000000,-1.5171429,-0.4972739,4.0000000,-0.9885169,1.0161569,10.2300348,-0.0060309,4.3236890
79,-13,-3.541693451150471,18.597340567536481,-13.0009041,-0.0045455,0.0000000,-1.5997297,-0.4440457,4.0000000,-0.8447879,1.0144014,9.6628580,-0.0433034,4.2446060
80,-13,-3.534236811150471,18.597340567536481,-13.0009041,-0.0045455,0.0000000,-1.6611476,-0.3834283,4.0000000,-0.6821451,1.0127748,9.1041031,-0.0847114,4.1261549
81,-13,-3.526780171150471,18.597340567536481,-13.0008621,-0.0045455,0.0000000,-1.6952385,-0.3224502,4.0000000,-0.5184145,1.0112762,8.5562410,-0.1264858,3.9866424
82,-13,-3.519323531150471,18.597340567536481,-13.0007830,-0.0046281,0.0000000,-1.7163858,-0.2714354,4.0000000,-0.3734151,1.0099021,8.0213795,-0.1694557,3.8792958
83,-13,-3.511866891150471,18.597340567536481,-13.0006695,-0.0047107,0.0000000,-1.7317923,-0.2339969,4.0000000,-0.2461111,1.0086528,7.4999461,-0.2218826,3.8115821
84,-13,-3.504410251150471,18.597340567536481,-13.0005217,-0.0048760,0.0000000,-1.7481586,-0.2067576,4.0000000,-0.1245500,1.0075290,6.9967494,-0.2889653,3.7775815
85,-12,-3.660999691150471,18.589883927536480,-12.9974556,0.0025620,39.6694221,-0.2202983,0.1822937,4.0000000,0.6649336,1.0366718,15.3221893,-0.3003462,0.6939389
86,-12,-3.653543051150471,18.589883927536480,-12.9978743,0.0028926,41.3223152,-0.1699491,0.0473191,4.0000000,0.3919443,1.0369233,15.3746014,-0.2973061,0.4098505
87,-12,-3.646086411150471,18.589883927536480,-12.9983206,0.0032231,42.9752083,-0.1448321,-0.0723179,4.0000000,0.1445410,1.0368291,15.3565016,-0.2891768,0.3542393
