OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
67,-13,-4.451403531150471,20.036472087536481,-13.2532349,-0.0007438,0.0000000,0.6751269,-1.1556861,5.0000000,-1.3343103,1.0018404,3.4477041,-0.9770620
68,-13,-4.443946891150471,20.036472087536481,-13.2528696,-0.0013223,0.0000000,0.6112214,-1.1387619,4.0000000,-1.0881207,1.0026070,4.1140289,-1.1894031
69,-13,-4.436490251150471,20.036472087536481,-13.2523937,-0.0020661,0.0000000,0.5236241,-1.0998921,4.0000000,-0.8991606,1.0035846,4.8310308,-1.3006237
70,-13,-4.429033611150471,20.036472087536481,-13.2518091,-0.0029752,0.0000000,0.4169581,-1.0411540,4.0000000,-0.7600091,1.0047423,5.5620441,-1.3222990
71,-13,-4.421576971150471,20.036472087536481,-13.2511215,-0.0038843,0.0000000,0.2914016,-0.9617312,4.0000000,-0.6555843,1.0060412,6.2816195,-1.2678781
72,-13,-4.414120331150471,20.036472087536481,-13.2503366,-0.0047934,0.0000000,0.1510482,-0.8664041,4.0000000,-0.5771353,1.0074407,6.9701695,-1.1556729
73,-13,-4.406663691150471,20.036472087536481,-13.2494602,0.0042975,42.9752083,-0.0001949,-0.7557606,4.0000000,-0.5200419,1.0088907,7.6178093,-0.9914793
74,-13,-4.600536331150471,20.029015447536480,-13.2448845,-0.0003306,0.0000000,0.0362989,-0.4222033,4.0000000,-0.7979622,1.0057688,6.1425476,-0.0464444
75,-13,-4.593079691150471,20.029015447536480,-13.2456322,-0.0000826,0.0000000,0.1068187,-0.4658151,4.0000000,-0.7977039,1.0055796,6.0392275,-0.1339264
76,-13,-4.585623051150471,20.029015447536480,-13.2463675,0.0003306,3.3057852,0.1651469,-0.4971563,4.0000000,-0.7835087,1.0053380,5.9054813,-0.2108038
77,-13,-4.578166411150471,20.029015447536480,-13.2470865,0.0009091,9.0909090,0.2154534,-0.5217557,4.0000000,-0.7600288,1.0050719,5.7559357,-0.2834825
78,-13,-4.496143371150471,20.029015447536480,-13.2529726,-0.0002479,0.0000000,0.6425055,-0.9295217,5.0000000,-0.7785746,1.0013695,2.9830267,-1.0804688
79,-13,-4.488686731150471,20.029015447536480,-13.2531919,-0.0000826,0.0000000,0.6869513,-0.9898526,4.0000000,-1.0621179,1.0011204,2.6900935,-0.9175873
80,-13,-4.481230091150471,20.029015447536480,-13.2533274,0.0000000,0.0000000,0.7216081,-1.0446435,4.0000000,-1.4366894,1.0009701,2.4974532,-0.6525977
81,-13,-4.473773451150471,20.029015447536480,-13.2533722,0.0000000,0.0000000,0.7451897,-1.0936086,5.0000000,-1.7478383,1.0009534,2.4708896,-0.4393790
82,-13,-4.466316811150471,20.029015447536480,-13.2533197,-0.0001653,0.0000000,0.7483039,-1.1296093,4.0000000,-1.7955127,1.0011034,2.6586163,-0.4637061
83,-13,-4.458860171150471,20.029015447536480,-13.2531633,-0.0004959,0.0000000,0.7304841,-1.1499270,4.0000000,-1.6013532,1.0014465,3.0508549,-0.6985009
84,-13,-4.451403531150471,20.029015447536480,-13.2529001,-0.0009917,0.0000000,0.6921507,-1.1550431,5.0000000,-1.3338337,1.0020005,3.5965579,-0.9762527
85,-13,-4.443946891150471,20.029015447536480,-13.2525272,-0.0016529,0.0000000,0.6330432,-1.1432744,4.0000000,-1.0901558,1.0027735,4.2434597,-1.1963930
86,-13,-4.436490251150471,20.029015447536480,-13.2520447,-0.0024793,0.0000000,0.5498044,-1.1095662,4.0000000,-0.8965315,1.0037575,4.9459133,-1.3226010
87,-13,-4.429033611150471,20.029015447536480,-13.2514534,-0.0033884,0.0000000,0.4504803,-1.0579317,4.0000000,-0.7514028,1.0049280,5.6691003,-1.3644605
88,-13,-4.421576971150471,20.029015447536480,-13.2507563,-0.0042975,0.0000000,0.3347477,-0.9877782,4.0000000,-0.6420299,1.0062541,6.3882341,-1.3335266
89,-13,-4.414120331150471,20.029015447536480,-13.2499590,0.0047934,47.9338837,0.2082684,-0.9023972,4.0000000,-0.5608802,1.0076932,7.0859566,-1.2439141
