OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
132,,-4.921171851150472,17.463931287536479,-13.0621729,-0.0007438,0.0000000,0.2564210,-0.5534720,4.0000000,-0.4154090,1.0013149,2.9323924,-0.6915350
133,,-4.913715211150472,17.463931287536479,-13.0624609,-0.0003306,0.0000000,0.2827210,-0.5717391,4.0000000,-0.4507480,1.0011154,2.6989295,-0.6927303
134,,-4.906258571150472,17.463931287536479,-13.0627069,-0.0000826,0.0000000,0.3113627,-0.5929204,5.0000000,-0.4901107,1.0009538,2.4939919,-0.6957300
135,,-4.898801931150472,17.463931287536479,-13.0629110,0.0000000,0.0000000,0.3396124,-0.6138332,4.0000000,-0.5326530,1.0008279,2.3211253,-0.6950135
136,,-4.891345291150472,17.463931287536479,-13.0630722,0.0000000,0.0000000,0.3684878,-0.6354498,4.0000000,-0.5785301,1.0007391,2.1900845,-0.6923695
137,,-4.883888651150473,17.463931287536479,-13.0631914,0.0000000,0.0000000,0.4007940,-0.6602067,4.0000000,-0.6335807,1.0006869,2.1107211,-0.6868326
138,,-4.876432011150473,17.463931287536479,-13.0632677,0.0000000,0.0000000,0.4381123,-0.6888323,4.0000000,-0.7009155,1.0006719,2.0853977,-0.6767491
139,,-4.868975371150473,17.463931287536479,-13.0633020,0.0000000,0.0000000,0.4768811,-0.7178892,5.0000000,-0.7751605,1.0006952,2.1196864,-0.6606180
140,,-4.861518731150473,17.463931287536479,-13.0632915,0.0000000,0.0000000,0.5204442,-0.7490799,4.0000000,-0.8520278,1.0007582,2.2130711,-0.6461319
141,,-4.854062091150473,17.463931287536479,-13.0632353,-0.0000826,0.0000000,0.5658654,-0.7804313,4.0000000,-0.9250118,1.0008638,2.3634553,-0.6358508
142,,-4.846605451150473,17.463931287536479,-13.0631332,-0.0001653,0.0000000,0.6081598,-0.8087527,4.0000000,-0.9871185,1.0010153,2.5630634,-0.6303870
143,,-4.839148811150473,17.463931287536479,-13.0629835,-0.0003306,0.0000000,0.6491545,-0.8352547,4.0000000,-1.0385177,1.0012161,2.8056054,-0.6319917
144,,-4.831692171150473,17.463931287536479,-13.0627842,-0.0005785,0.0000000,0.6841488,-0.8574796,4.0000000,-1.0778030,1.0014673,3.0858686,-0.6371561
145,,-4.824235531150473,17.463931287536479,-13.0625343,-0.0009091,0.0000000,0.7055489,-0.8710349,4.0000000,-1.1005028,1.0017720,3.3943717,-0.6415670
146,,-4.816778891150473,17.463931287536479,-13.0622339,-0.0013223,0.0000000,0.7080973,-0.8734913,5.0000000,-1.1077766,1.0021294,3.7236598,-0.6392059
147,,-4.809322251150473,17.463931287536479,-13.0618820,-0.0019008,0.0000000,0.6920874,-0.8651237,5.0000000,-1.1020648,1.0025340,4.0644903,-0.6281826
148,,-4.965911691150472,17.456474647536478,-13.0593338,0.0036364,36.3636360,0.0918229,-0.4350951,4.0000000,-0.1842306,1.0032783,4.6347852,-0.6859597
149,,-4.958455051150472,17.456474647536478,-13.0598755,0.0045455,45.4545441,0.1269151,-0.4635506,4.0000000,-0.2296093,1.0028832,4.3468900,-0.6974920
150,,-4.950998411150472,17.456474647536478,-13.0603752,-0.0045455,0.0000000,0.1622821,-0.4922965,4.0000000,-0.2734691,1.0025110,4.0555305,-0.7111240
151,,-4.943541771150472,17.456474647536478,-13.0608311,-0.0036364,0.0000000,0.1961622,-0.5174081,4.0000000,-0.3148466,1.0021693,3.7691216,-0.7199695
152,,-4.936085131150472,17.456474647536478,-13.0612440,-0.0027273,0.0000000,0.2264281,-0.5386256,4.0000000,-0.3517472,1.0018667,3.4952447,-0.7255040
153,,-4.928628491150472,17.456474647536478,-13.0616131,-0.0018182,0.0000000,0.2578911,-0.5620428,4.0000000,-0.3898456,1.0016007,3.2357931,-0.7342401
154,,-4.921171851150472,17.456474647536478,-13.0619392,-0.0010744,0.0000000,0.2865544,-0.5825229,4.0000000,-0.4258205,1.0013722,2.9933066,-0.7392253
155,,-4.913715211150472,17.456474647536478,-13.0622215,-0.0005785,0.0000000,0.3133379,-0.6017618,5.0000000,-0.4609579,1.0011837,2.7788415,-0.7425657
156,,-4.906258571150472,17.456474647536478,-13.0624609,-0.0002479,0.0000000,0.3391288,-0.6212186,4.0000000,-0.4981367,1.0010355,2.5980601,-0.7443004
157,,-4.898801931150472,17.456474647536478,-13.0626564,-0.0000826,0.0000000,0.3671426,-0.6425986,4.0000000,-0.5429942,1.0009266,2.4551315,-0.7422029
158,,-4.891345291150472,17.456474647536478,-13.0628090,0.0000000,0.0000000,0.3940292,-0.6634491,4.0000000,-0.5927801,1.0008579,2.3597057,-0.7341181
159,,-4.883888651150473,17.456474647536478,-13.0629187,0.0000000,0.0000000,0.4219171,-0.6854719,4.0000000,-0.6521025,1.0008284,2.3185301,-0.7188413
160,,-4.876432011150473,17.456474647536478,-13.0629854,0.0000000,0.0000000,0.4537252,-0.7103719,4.0000000,-0.7229051,1.0008389,2.3326023,-0.6978387
161,,-4.868975371150473,17.456474647536478,-13.0630074,-0.0000826,0.0000000,0.4895328,-0.7371610,5.0000000,-0.8002147,1.0008913,2.4024398,-0.6741072
