OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1170,,-6.680938891150473,22.452423447536479,-12.5878220,0.0023140,38.8429756,-0.1993777,-0.4366788,4.0000000,-0.7869739,1.0705352,20.9163055,-0.0863838
1171,,-6.673482251150473,22.452423447536479,-12.5897808,0.0042149,47.1074371,-0.1660704,-0.4602424,4.0000000,-0.8455356,1.0696127,20.7859631,-0.0749491
1172,,-6.666025611150473,22.452423447536479,-12.5917387,-0.0039669,17.3553715,-0.1374218,-0.4821153,4.0000000,-0.9014306,1.0685194,20.6304264,-0.0628000
1173,,-6.658568971150473,22.452423447536479,-12.5936909,-0.0020661,23.1404953,-0.1134548,-0.5025135,4.0000000,-0.9552187,1.0672500,20.4490395,-0.0498082
1174,,-6.651112331150473,22.452423447536479,-12.5956335,-0.0000826,29.7520657,-0.0925813,-0.5215757,4.0000000,-1.0049512,1.0658312,20.2425270,-0.0382002
1175,,-6.643655691150473,22.452423447536479,-12.5975637,0.0019008,37.1900826,-0.0748697,-0.5382115,4.0000000,-1.0494039,1.0642751,20.0124054,-0.0270190
1176,,-6.636199051150473,22.452423447536479,-12.5994787,0.0038843,45.4545441,-0.0581150,-0.5545470,4.0000000,-1.0907154,1.0625786,19.7601089,-0.0183785
1177,,-6.628742411150473,22.452423447536479,-12.6013737,-0.0041322,16.5289249,-0.0442129,-0.5684350,4.0000000,-1.1262529,1.0607611,19.4848671,-0.0106172
1178,,-6.621285771150473,22.452423447536479,-12.6032467,-0.0023140,22.3140488,-0.0323813,-0.5796730,4.0000000,-1.1542808,1.0588499,19.1893177,-0.0050651
1179,,-6.613829131150473,22.452423447536479,-12.6050940,-0.0004959,28.9256191,-0.0244247,-0.5874410,4.0000000,-1.1750970,1.0568726,18.8769321,0.0002150
1180,,-6.606372491150473,22.452423447536479,-12.6069145,0.0014050,36.3636360,-0.0172549,-0.5921916,4.0000000,-1.1874492,1.0548333,18.5484066,0.0030661
1181,,-6.598915851150473,22.452423447536479,-12.6087046,0.0033058,44.6280975,-0.0119097,-0.5927020,4.0000000,-1.1900535,1.0527427,18.2075443,0.0046496
1182,,-6.591459211150473,22.452423447536479,-12.6104622,-0.0047934,10.7438021,-0.0094736,-0.5885954,4.0000000,-1.1832880,1.0506538,17.8563671,0.0060970
1183,,-6.584002571150473,22.452423447536479,-12.6121864,-0.0029752,15.7024794,-0.0081886,-0.5801599,4.0000000,-1.1670330,1.0485967,17.5029240,0.0067131
1184,,-6.576545931150473,22.452423447536479,-12.6138773,-0.0013223,21.4876041,-0.0069456,-0.5694618,4.0000000,-1.1448975,1.0465788,17.1487999,0.0059739
