OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
27,,-5.010651531150472,18.448207767536481,-13.3077726,0.0014050,38.8429756,4.8333120,-2.2353327,4.0000000,-2.2523363,1.0523162,18.1565838,-2.2183290
28,,-5.003194891150471,18.448207767536481,-13.3080130,0.0015702,39.6694221,4.9277759,-2.2390294,4.0000000,-2.3157203,1.0524428,18.1770611,-2.1623387
29,,-4.995738251150472,18.448207767536481,-13.3080997,0.0016529,40.4958687,4.9207315,-2.2265968,5.0000000,-2.3243680,1.0527252,18.2215309,-2.1288259
30,,-4.988281611150471,18.448207767536481,-13.3080359,0.0016529,40.4958687,4.8131804,-2.1964514,4.0000000,-2.2798593,1.0531867,18.2955990,-2.1130433
31,,-4.980824971150472,18.448207767536481,-13.3078222,0.0014876,39.6694221,4.6005120,-2.1452808,4.0000000,-2.1854703,1.0538251,18.3994942,-2.1050913
32,,-4.973368331150471,18.448207767536481,-13.3074656,0.0013223,38.8429756,4.3015714,-2.0748782,4.0000000,-2.0513012,1.0546321,18.5309486,-2.0984550
33,,-4.965911691150472,18.448207767536481,-13.3069735,0.0008264,36.3636360,3.9412405,-1.9885178,4.0000000,-1.8960257,1.0555881,18.6837978,-2.0810099
34,,-4.958455051150471,18.448207767536481,-13.3063545,0.0002479,33.8842964,3.5260775,-1.8853031,4.0000000,-1.7237738,1.0566620,18.8549786,-2.0468323
35,,-4.950998411150472,18.448207767536481,-13.3056202,-0.0004132,30.5785122,3.0798533,-1.7687507,4.0000000,-1.5482388,1.0578067,19.0357952,-1.9892626
36,,-4.943541771150471,18.448207767536481,-13.3047819,-0.0012397,27.2727280,2.6189075,-1.6415337,4.0000000,-1.3747765,1.0589855,19.2209225,-1.9082911
37,,-4.936085131150472,18.448207767536481,-13.3038521,-0.0020661,23.1404953,2.1674316,-1.5085380,4.0000000,-1.2138397,1.0601634,19.4018364,-1.8032365
38,,-4.928628491150471,18.448207767536481,-13.3028440,-0.0029752,19.8347111,1.7344778,-1.3720682,4.0000000,-1.0655410,1.0613087,19.5760021,-1.6785953
39,,-4.921171851150472,18.448207767536481,-13.3017712,-0.0038843,16.5289249,1.3436843,-1.2388657,4.0000000,-0.9362906,1.0623902,19.7390327,-1.5414410
40,,-4.913715211150471,18.448207767536481,-13.3006468,-0.0049587,13.2231407,0.9973466,-1.1112398,4.0000000,-0.8239478,1.0634063,19.8918571,-1.3985319
41,,-4.906258571150472,18.448207767536481,-13.2994804,0.0038843,47.1074371,0.7129539,-0.9958569,4.0000000,-0.7338235,1.0643718,20.0348549,-1.2578902
42,,-4.898801931150471,18.448207767536481,-13.2982845,0.0027273,42.9752083,0.4862187,-0.8934905,4.0000000,-0.6622015,1.0653031,20.1707439,-1.1247795
43,,-4.891345291150472,18.448207767536481,-13.2970648,0.0015702,38.8429756,0.3198065,-0.8074739,4.0000000,-0.6116894,1.0662258,20.3050346,-1.0032583
44,,-4.883888651150471,18.448207767536481,-13.2958288,0.0003306,33.8842964,0.2084317,-0.7386690,4.0000000,-0.5781156,1.0671498,20.4385586,-0.8992224
