OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
946,,-6.308106891150471,19.201328407536479,-13.2091331,0.0038017,43.8016510,1.8595679,-1.4695727,4.0000000,-1.3146503,1.0233734,12.2561121,-1.6244950
947,,-6.300650251150471,19.201328407536479,-13.2096281,0.0042149,46.2809906,2.0542240,-1.5236576,4.0000000,-1.3452240,1.0223068,11.9778700,-1.7020910
948,,-6.293193611150471,19.201328407536479,-13.2100582,-0.0053719,0.0000000,2.2475572,-1.5762167,4.0000000,-1.3776704,1.0213131,11.7127295,-1.7747629
949,,-6.285736971150471,19.201328407536479,-13.2104168,-0.0051240,0.0000000,2.4379106,-1.6264696,4.0000000,-1.4138641,1.0204062,11.4620981,-1.8390751
950,,-6.278280331150471,19.201328407536479,-13.2107010,-0.0048760,0.0000000,2.6062341,-1.6696879,4.0000000,-1.4446131,1.0195978,11.2349854,-1.8947625
951,,-6.270823691150471,19.201328407536479,-13.2109060,-0.0047107,0.0000000,2.7486019,-1.7052970,4.0000000,-1.4702281,1.0188999,11.0360680,-1.9403659
952,,-6.263367051150471,19.201328407536479,-13.2110271,-0.0046281,0.0000000,2.8594317,-1.7322977,4.0000000,-1.4879512,1.0183362,10.8706942,-1.9766442
953,,-6.255910411150471,19.201328407536479,-13.2110624,-0.0046281,0.0000000,2.9430273,-1.7515064,5.0000000,-1.5013303,1.0179116,10.7439241,-2.0016828
954,,-6.248453771150471,19.201328407536479,-13.2110090,-0.0047107,0.0000000,2.9914653,-1.7611918,4.0000000,-1.5078069,1.0176347,10.6629410,-2.0145767
955,,-6.240997131150471,19.201328407536479,-13.2108650,-0.0047934,0.0000000,3.0003865,-1.7604172,4.0000000,-1.5038378,1.0175241,10.6302109,-2.0169966
956,,-6.233540491150471,19.201328407536479,-13.2106285,-0.0049587,0.0000000,2.9618795,-1.7467904,4.0000000,-1.4874498,1.0175811,10.6475754,-2.0061309
957,,-6.226083851150471,19.201328407536479,-13.2103004,-0.0052893,0.0000000,2.8830731,-1.7219938,4.0000000,-1.4605635,1.0178008,10.7136431,-1.9834242
