OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
43,-13,-4.473773451150471,20.103581847536478,-13.2535486,0.0000000,0.0000000,-0.3635837,-0.4699822,4.0000000,-0.1101096,1.0008361,2.3091629,-0.8298547,1.6148410
44,-13,-4.466316811150471,20.103581847536478,-13.2536860,0.0000000,0.0000000,-0.4747184,-0.4445215,4.0000000,-0.3706492,1.0008773,2.3633776,-0.5183937,1.7455426
45,-13,-4.458860171150471,20.103581847536478,-13.2537708,0.0000000,0.0000000,-0.5948861,-0.4101247,4.0000000,-0.6420119,1.0010073,2.5358553,-0.1782374,1.8706443
46,-13,-4.451403531150471,20.103581847536478,-13.2538033,0.0000000,0.0000000,-0.7184227,-0.3699799,5.0000000,-0.8606675,1.0012335,2.8092260,0.1207078,1.9957104
47,-13,-4.443946891150471,20.103581847536478,-13.2537870,-0.0000826,0.0000000,-0.8481147,-0.3206849,4.0000000,-1.0001180,1.0015574,3.1616638,0.3587483,2.1231422
48,-13,-4.436490251150471,20.103581847536478,-13.2537222,-0.0001653,0.0000000,-0.9808609,-0.2666589,4.0000000,-1.0803910,1.0019801,3.5711234,0.5470732,2.2670922
49,-13,-4.429033611150471,20.103581847536478,-13.2536135,-0.0003306,0.0000000,-1.1124244,-0.2079341,4.0000000,-1.1164851,1.0025069,4.0219684,0.7006169,2.4253471
50,-13,-4.421576971150471,20.103581847536478,-13.2534628,-0.0005785,0.0000000,-1.2469045,-0.1474618,4.0000000,-1.1282640,1.0031364,4.5025496,0.8333404,2.6165540
51,-13,-4.414120331150471,20.103581847536478,-13.2532759,-0.0008264,0.0000000,-1.3770939,-0.0848020,4.0000000,-1.1198512,1.0038710,5.0038118,0.9502472,2.8285716
52,-13,-4.518513291150471,20.096125207536478,-13.2515612,-0.0022314,0.0000000,0.0965995,-0.4938130,4.0000000,-0.1487893,1.0017852,3.4145095,-0.8388368,0.7853509
53,-13,-4.511056651150471,20.096125207536478,-13.2519712,-0.0013223,0.0000000,0.0667593,-0.5151239,4.0000000,-0.0849695,1.0015157,3.1442626,-0.9452783,0.9308180
